trait	perm	gw_max
vst_ctrl_pos-1_T2	0	8.6894
vst_ctrl_pos-1_T2	1	4.689359
vst_ctrl_pos-1_T2	2	5.460849
vst_ctrl_pos-1_T2	3	6.508978
vst_ctrl_pos-1_T2	4	4.445204
vst_ctrl_pos-1_T2	5	4.240881
vst_ctrl_pos-1_T2	6	3.399208
vst_ctrl_pos-1_T2	7	4.116321
vst_ctrl_pos-1_T2	8	5.019
vst_ctrl_pos-1_T2	9	6.781902
vst_ctrl_pos-1_T2	10	5.730864
vst_ctrl_pos-1_T2	11	9.268598
vst_ctrl_pos-1_T2	12	3.871707
vst_ctrl_pos-1_T2	13	3.81677
vst_ctrl_pos-1_T2	14	5.221818
vst_ctrl_pos-1_T2	15	4.737713
vst_ctrl_pos-1_T2	16	3.542527
vst_ctrl_pos-1_T2	17	3.667658
vst_ctrl_pos-1_T2	18	6.788989
vst_ctrl_pos-1_T2	19	5.17877
vst_ctrl_pos-1_T2	20	4.192908
