fid	iid	value
AB1	AB1	-0.0606743782656435
BRC20067	BRC20067	
BRC20263	BRC20263	-0.00402067261323548
CB4852	CB4852	
CB4854	CB4854	-0.0652088197313975
CB4856	CB4856	
CB4932	CB4932	
CX11254	CX11254	
CX11262	CX11262	
CX11264	CX11264	
CX11271	CX11271	-0.0360412569330262
CX11276	CX11276	
CX11285	CX11285	0.00404309178877647
CX11292	CX11292	
CX11307	CX11307	-0.0305428932577151
CX11314	CX11314	
CX11315	CX11315	-0.0312382483466299
DL200	DL200	
DL226	DL226	-0.0296603425960853
DL238	DL238	
ECA1069	ECA1069	
ECA1074	ECA1074	-0.07563523020925
ECA1185	ECA1185	-0.0107678595736141
ECA1186	ECA1186	
ECA1191	ECA1191	-0.00869135960146596
ECA1193	ECA1193	
ECA1194	ECA1194	-0.00991673977310594
ECA1195	ECA1195	-0.0119112116655334
ECA1208	ECA1208	
ECA1212	ECA1212	
ECA1216	ECA1216	
ECA1223	ECA1223	
ECA1225	ECA1225	-0.0045873504366053
ECA1228	ECA1228	
ECA1229	ECA1229	0.000694047596769578
ECA1232	ECA1232	
ECA1237	ECA1237	
ECA1238	ECA1238	0.0163339850293944
ECA1240	ECA1240	-0.00413774735531614
ECA1242	ECA1242	-0.000861796510357475
ECA1243	ECA1243	
ECA1247	ECA1247	-0.0182452720810292
ECA1251	ECA1251	
ECA1253	ECA1253	0.00152340862253422
ECA1255	ECA1255	0.228614665897587
ECA1257	ECA1257	-0.0100257083108773
ECA1260	ECA1260	
ECA1261	ECA1261	-0.00199546927016175
ECA1269	ECA1269	-0.00307694349272249
ECA1271	ECA1271	0.0249659649200776
ECA1276	ECA1276	-0.0147624058739776
ECA1278	ECA1278	-0.0517226042649741
ECA1281	ECA1281	-0.0665038579582998
ECA1283	ECA1283	
ECA1284	ECA1284	
ECA1286	ECA1286	0.0965906910663129
ECA1287	ECA1287	
ECA1288	ECA1288	-0.0142214771937672
ECA1289	ECA1289	-0.0128894451171334
ECA1293	ECA1293	
ECA1298	ECA1298	-0.0428360230279402
ECA1413	ECA1413	-0.0748281266809086
ECA1493	ECA1493	-0.0193751673315491
ECA189	ECA189	-0.163823404579855
ECA191	ECA191	-0.0182680001551916
CB4851	CB4851	
CB4853	CB4853	
CB4855	CB4855	-0.0100097970631689
CB4857	CB4857	-0.00501228576044184
CB4858	CB4858	-0.0311016046599794
PB306	PB306	-0.0868762904596206
ECA347	ECA347	
ECA348	ECA348	0.0161114744565278
ECA349	ECA349	-0.00350645860497552
ECA36	ECA36	-0.00941576712144887
ECA363	ECA363	
ECA369	ECA369	0.00313905883561717
ECA372	ECA372	
ECA396	ECA396	-0.00753472612615251
ECA592	ECA592	-0.0436550041192665
ECA593	ECA593	-0.0269656547492146
ECA594	ECA594	-0.0270761366863153
ECA640	ECA640	
ECA701	ECA701	
ECA703	ECA703	-0.043037039603513
ECA705	ECA705	-0.0709370207481297
ECA706	ECA706	-0.022884905108224
ECA710	ECA710	
ECA712	ECA712	0.0169840675960304
ECA722	ECA722	-0.0101205666531343
ECA723	ECA723	-0.00364040301441369
ECA724	ECA724	
ECA730	ECA730	0.00434747006695162
ECA732	ECA732	-0.0108325924111653
ECA733	ECA733	-0.00806840628881329
ECA738	ECA738	0.167213773231016
ECA740	ECA740	-0.0131942335755391
ECA741	ECA741	-0.0112269605132159
ECA742	ECA742	-0.0175234647881274
ECA743	ECA743	0.0515161928697626
ECA744	ECA744	
ECA745	ECA745	-0.0315830210349897
ECA746	ECA746	
ECA760	ECA760	0.192101607576409
ECA768	ECA768	
ECA777	ECA777	
ECA778	ECA778	0.0108221703758088
ECA807	ECA807	
ECA812	ECA812	-0.0252877728568928
ECA923	ECA923	-0.0354137001194747
ECA928	ECA928	-0.0274037443592112
ECA930	ECA930	
ED3005	ED3005	-0.105129797167481
ED3011	ED3011	-0.0669906401387993
ED3012	ED3012	
ED3017	ED3017	
ED3040	ED3040	-0.0331859274593561
ED3046	ED3046	-0.0770438674828791
ED3048	ED3048	
ED3049	ED3049	-0.0813484454180528
ED3052	ED3052	-0.0418818181754435
ED3073	ED3073	
ED3077	ED3077	-0.0829840224621745
EG4347	EG4347	-0.0750687990961969
EG4349	EG4349	-0.0120879442163803
EG4724	EG4724	-0.0119454250403951
EG4725	EG4725	
EG4946	EG4946	
GXW1	GXW1	-0.0940577360108261
JT11398	JT11398	
JU1088	JU1088	
JU1172	JU1172	-0.0496294512238192
JU1200	JU1200	
JU1212	JU1212	0.0349741999597133
JU1213	JU1213	
JU1242	JU1242	
JU1246	JU1246	0.155389821891564
JU1249	JU1249	-0.000871980431580408
JU1395	JU1395	
JU1400	JU1400	0.0160448520964286
JU1409	JU1409	
JU1440	JU1440	
JU1491	JU1491	
JU1530	JU1530	-0.0331666866901158
JU1543	JU1543	-0.051378374847002
JU1568	JU1568	
JU1581	JU1581	
JU1586	JU1586	
JU1652	JU1652	-0.00761075363751803
JU1666	JU1666	-0.0628003259665862
JU1792	JU1792	-0.0700830685589032
JU1793	JU1793	0.0429203460187663
JU1808	JU1808	
JU1896	JU1896	-0.00642075579871224
JU1934	JU1934	0.0472718809720832
JU2001	JU2001	0.0296494578681591
JU2007	JU2007	
JU2016	JU2016	-0.0270698536698514
JU2017	JU2017	
JU2106	JU2106	
JU2131	JU2131	-0.0246260526231071
JU2141	JU2141	-0.0141978929051181
JU2234	JU2234	
JU2250	JU2250	-0.0248168312575399
JU2257	JU2257	-0.0183246049775122
JU2316	JU2316	
JU2464	JU2464	
JU2466	JU2466	
JU2478	JU2478	
JU2513	JU2513	-0.0186294026783054
JU2519	JU2519	
JU2522	JU2522	0.105992666122103
JU2526	JU2526	
JU2534	JU2534	
JU2565	JU2565	
JU2566	JU2566	-0.0315982614461422
JU2570	JU2570	
JU2572	JU2572	
JU2575	JU2575	
JU2576	JU2576	
JU2578	JU2578	-0.00168876629773737
JU258	JU258	
JU2581	JU2581	-0.0164019369035657
JU2586	JU2586	-0.0846005811844785
JU2587	JU2587	-0.0240551611278228
JU2592	JU2592	-0.038354375959378
JU2593	JU2593	
JU2600	JU2600	
JU2610	JU2610	-0.00218003812004746
JU2619	JU2619	-0.0108146244438573
JU2800	JU2800	
JU2811	JU2811	-0.0312535954441593
JU2825	JU2825	
JU2829	JU2829	
JU2838	JU2838	
JU2841	JU2841	-0.0834414587729509
JU2853	JU2853	-0.021977982653131
JU2862	JU2862	
JU2866	JU2866	-0.0329205503446618
JU2878	JU2878	-0.00193950449614401
JU2879	JU2879	
JU2906	JU2906	0.00662070954188783
JU2907	JU2907	-0.0445430440903478
JU310	JU310	
JU311	JU311	
JU3125	JU3125	-0.0357685863486941
JU3127	JU3127	
JU3128	JU3128	
JU3132	JU3132	0.147580606303624
JU3134	JU3134	-0.040847341104583
JU3135	JU3135	-0.0211222114670231
JU3137	JU3137	
JU3140	JU3140	-0.0106324145801781
JU3141	JU3141	-0.102202074296014
JU3144	JU3144	-0.0277396231149052
JU3166	JU3166	-0.0188392709803304
JU3167	JU3167	0.0503384033567623
JU3169	JU3169	0.0137652516955065
JU3224	JU3224	-0.0205832662660796
JU3225	JU3225	
JU3226	JU3226	-0.002838336007496
JU3228	JU3228	
JU323	JU323	
JU3280	JU3280	-0.0607613942696391
JU3282	JU3282	
JU3291	JU3291	0.260681328780466
JU3318	JU3318	
JU346	JU346	
JU360	JU360	
JU367	JU367	
JU393	JU393	-0.049356364338055
JU394	JU394	-0.011902500566449
JU397	JU397	-0.126808205371745
JU406	JU406	0.0180232880462377
JU440	JU440	-0.0461267507975009
JU561	JU561	
JU642	JU642	
JU751	JU751	
JU774	JU774	0.00660415034549615
JU775	JU775	
JU778	JU778	-0.12988645936623
JU782	JU782	-0.00777012883924472
JU792	JU792	-0.0526396774947924
JU830	JU830	
JU847	JU847	0.00115763258859106
KR314	KR314	
LKC34	LKC34	
MY1	MY1	
MY10	MY10	-0.0212373175055459
MY16	MY16	
MY18	MY18	-0.0347540353017841
MY2147	MY2147	
MY2212	MY2212	-0.0338178724972977
MY23	MY23	
MY2453	MY2453	
MY2530	MY2530	
MY2535	MY2535	
MY2573	MY2573	-0.0182791990224678
