fid	iid	value
AB1	AB1	-0.0606743782656435
BRC20263	BRC20263	-0.00402067261323548
CB4854	CB4854	-0.0652088197313975
CX11271	CX11271	-0.0360412569330262
CX11285	CX11285	0.00404309178877647
CX11307	CX11307	-0.0305428932577151
CX11315	CX11315	-0.0312382483466299
DL226	DL226	-0.0296603425960853
ECA1074	ECA1074	-0.07563523020925
ECA1185	ECA1185	-0.0107678595736141
ECA1191	ECA1191	-0.00869135960146596
ECA1194	ECA1194	-0.00991673977310594
ECA1195	ECA1195	-0.0119112116655334
ECA1225	ECA1225	-0.0045873504366053
ECA1229	ECA1229	0.000694047596769578
ECA1238	ECA1238	0.0163339850293944
ECA1240	ECA1240	-0.00413774735531614
ECA1242	ECA1242	-0.000861796510357475
ECA1247	ECA1247	-0.0182452720810292
ECA1253	ECA1253	0.00152340862253422
ECA1255	ECA1255	0.228614665897587
ECA1257	ECA1257	-0.0100257083108773
ECA1261	ECA1261	-0.00199546927016175
ECA1269	ECA1269	-0.00307694349272249
ECA1271	ECA1271	0.0249659649200776
ECA1276	ECA1276	-0.0147624058739776
ECA1278	ECA1278	-0.0517226042649741
ECA1281	ECA1281	-0.0665038579582998
ECA1286	ECA1286	0.0965906910663129
ECA1288	ECA1288	-0.0142214771937672
ECA1289	ECA1289	-0.0128894451171334
ECA1298	ECA1298	-0.0428360230279402
ECA1413	ECA1413	-0.0748281266809086
ECA1493	ECA1493	-0.0193751673315491
ECA189	ECA189	-0.163823404579855
ECA191	ECA191	-0.0182680001551916
CB4855	CB4855	-0.0100097970631689
CB4857	CB4857	-0.00501228576044184
CB4858	CB4858	-0.0311016046599794
PB306	PB306	-0.0868762904596206
ECA348	ECA348	0.0161114744565278
ECA349	ECA349	-0.00350645860497552
ECA36	ECA36	-0.00941576712144887
ECA369	ECA369	0.00313905883561717
ECA396	ECA396	-0.00753472612615251
ECA592	ECA592	-0.0436550041192665
ECA593	ECA593	-0.0269656547492146
ECA594	ECA594	-0.0270761366863153
ECA703	ECA703	-0.043037039603513
ECA705	ECA705	-0.0709370207481297
ECA706	ECA706	-0.022884905108224
ECA712	ECA712	0.0169840675960304
ECA722	ECA722	-0.0101205666531343
ECA723	ECA723	-0.00364040301441369
ECA730	ECA730	0.00434747006695162
ECA732	ECA732	-0.0108325924111653
ECA733	ECA733	-0.00806840628881329
ECA738	ECA738	0.167213773231016
ECA740	ECA740	-0.0131942335755391
ECA741	ECA741	-0.0112269605132159
ECA742	ECA742	-0.0175234647881274
ECA743	ECA743	0.0515161928697626
ECA745	ECA745	-0.0315830210349897
ECA760	ECA760	0.192101607576409
ECA778	ECA778	0.0108221703758088
ECA812	ECA812	-0.0252877728568928
ECA923	ECA923	-0.0354137001194747
ECA928	ECA928	-0.0274037443592112
ED3005	ED3005	-0.105129797167481
ED3011	ED3011	-0.0669906401387993
ED3040	ED3040	-0.0331859274593561
ED3046	ED3046	-0.0770438674828791
ED3049	ED3049	-0.0813484454180528
ED3052	ED3052	-0.0418818181754435
ED3077	ED3077	-0.0829840224621745
EG4347	EG4347	-0.0750687990961969
EG4349	EG4349	-0.0120879442163803
EG4724	EG4724	-0.0119454250403951
GXW1	GXW1	-0.0940577360108261
JU1172	JU1172	-0.0496294512238192
JU1212	JU1212	0.0349741999597133
JU1246	JU1246	0.155389821891564
JU1249	JU1249	-0.000871980431580408
JU1400	JU1400	0.0160448520964286
JU1530	JU1530	-0.0331666866901158
JU1543	JU1543	-0.051378374847002
JU1652	JU1652	-0.00761075363751803
JU1666	JU1666	-0.0628003259665862
JU1792	JU1792	-0.0700830685589032
JU1793	JU1793	0.0429203460187663
JU1896	JU1896	-0.00642075579871224
JU1934	JU1934	0.0472718809720832
JU2001	JU2001	0.0296494578681591
JU2016	JU2016	-0.0270698536698514
JU2131	JU2131	-0.0246260526231071
JU2141	JU2141	-0.0141978929051181
JU2250	JU2250	-0.0248168312575399
JU2257	JU2257	-0.0183246049775122
JU2513	JU2513	-0.0186294026783054
JU2522	JU2522	0.105992666122103
JU2566	JU2566	-0.0315982614461422
JU2578	JU2578	-0.00168876629773737
JU2581	JU2581	-0.0164019369035657
JU2586	JU2586	-0.0846005811844785
JU2587	JU2587	-0.0240551611278228
JU2592	JU2592	-0.038354375959378
JU2610	JU2610	-0.00218003812004746
JU2619	JU2619	-0.0108146244438573
JU2811	JU2811	-0.0312535954441593
JU2841	JU2841	-0.0834414587729509
JU2853	JU2853	-0.021977982653131
JU2866	JU2866	-0.0329205503446618
JU2878	JU2878	-0.00193950449614401
JU2906	JU2906	0.00662070954188783
JU2907	JU2907	-0.0445430440903478
JU3125	JU3125	-0.0357685863486941
JU3132	JU3132	0.147580606303624
JU3134	JU3134	-0.040847341104583
JU3135	JU3135	-0.0211222114670231
JU3140	JU3140	-0.0106324145801781
JU3141	JU3141	-0.102202074296014
JU3144	JU3144	-0.0277396231149052
JU3166	JU3166	-0.0188392709803304
JU3167	JU3167	0.0503384033567623
JU3169	JU3169	0.0137652516955065
JU3224	JU3224	-0.0205832662660796
JU3226	JU3226	-0.002838336007496
JU3280	JU3280	-0.0607613942696391
JU3291	JU3291	0.260681328780466
JU393	JU393	-0.049356364338055
JU394	JU394	-0.011902500566449
JU397	JU397	-0.126808205371745
JU406	JU406	0.0180232880462377
JU440	JU440	-0.0461267507975009
JU774	JU774	0.00660415034549615
JU778	JU778	-0.12988645936623
JU782	JU782	-0.00777012883924472
JU792	JU792	-0.0526396774947924
JU847	JU847	0.00115763258859106
MY10	MY10	-0.0212373175055459
MY18	MY18	-0.0347540353017841
MY2212	MY2212	-0.0338178724972977
MY2573	MY2573	-0.0182791990224678
MY2585	MY2585	-0.0335930754319361
MY2693	MY2693	-0.050810239214236
MY2713	MY2713	-0.0416288244080996
MY518	MY518	-0.133457268072497
MY772	MY772	-0.0148793532333877
MY795	MY795	-0.0551743408754578
NIC1049	NIC1049	-0.0438198558324461
NIC1119	NIC1119	-0.00215979376710748
NIC1780	NIC1780	-0.0435259415801266
NIC1783	NIC1783	0.0109222360502459
NIC1785	NIC1785	-0.00752040598672862
NIC1786	NIC1786	0.0106818547264083
NIC1787	NIC1787	0.012069419184483
NIC1788	NIC1788	-0.0359947997283918
NIC1789	NIC1789	0.0343131415162448
NIC1794	NIC1794	-0.0436785701051145
NIC1796	NIC1796	-0.00490457377856277
NIC1798	NIC1798	-0.016197516363913
NIC1832	NIC1832	-0.00638083961154628
NIC195	NIC195	-0.0302751786760001
NIC2	NIC2	-0.0457952694793857
NIC231	NIC231	-0.0472351043071809
NIC242	NIC242	-0.0266020614472745
NIC251	NIC251	-0.0373617242104349
NIC256	NIC256	-0.00515207394368405
NIC258	NIC258	-0.0141085003644145
NIC261	NIC261	-0.0282197809771781
NIC262	NIC262	-0.0150650954685315
NIC265	NIC265	-0.108032901025208
NIC266	NIC266	-0.0378633070005224
NIC267	NIC267	-0.0451349014777593
NIC268	NIC268	0.0610270768391517
NIC269	NIC269	0.0589857333618046
NIC271	NIC271	0.0197199386807757
NIC272	NIC272	-0.0304044835248226
NIC275	NIC275	-0.0362853774913153
NIC277	NIC277	-0.0111941530187629
NIC501	NIC501	-0.0348701638671944
NIC511	NIC511	-0.119663501354996
NIC513	NIC513	0.0360292229201362
NIC514	NIC514	-0.0129769277874523
NIC515	NIC515	-0.0115945775720571
NIC526	NIC526	-0.00870573392274013
NIC527	NIC527	-0.0735866042786989
NIC529	NIC529	-0.0476081380035975
PB303	PB303	-0.0317674729753735
PX179	PX179	-0.101852622121328
QG2811	QG2811	-0.0329034390353374
QG2823	QG2823	-0.0553171463279642
QG2828	QG2828	-0.0526577594050048
QG2832	QG2832	0.0904208581090872
QG2835	QG2835	-0.106100443648894
QG2836	QG2836	-0.0211992071906941
QG2838	QG2838	-0.0364533707616277
QG2841	QG2841	0.0285021768686272
QG2846	QG2846	0.0128725902095664
QG2850	QG2850	-0.116032845171927
QG2857	QG2857	-0.0472546590363829
QG2874	QG2874	-0.0512063154616364
QG2875	QG2875	-0.00984190743707855
QG2932	QG2932	-0.0462248391420577
QG556	QG556	-0.0388927152499425
QW947	QW947	-0.113860921023235
QX1212	QX1212	-0.0319066093182809
QX1791	QX1791	-0.0247153333756212
QX1792	QX1792	0.0054688668351159
QX1793	QX1793	-0.0204981732753158
QX1794	QX1794	-0.024651634106634
