trait	perm	gw_max
vst_ctrl_pos-1_T2	0	8.875859
vst_ctrl_pos-1_T2	1	4.688914
vst_ctrl_pos-1_T2	2	5.460794
vst_ctrl_pos-1_T2	3	6.508943
vst_ctrl_pos-1_T2	4	4.030986
vst_ctrl_pos-1_T2	5	4.240847
vst_ctrl_pos-1_T2	6	3.487265
vst_ctrl_pos-1_T2	7	4.266486
vst_ctrl_pos-1_T2	8	5.018968
vst_ctrl_pos-1_T2	9	6.876117
vst_ctrl_pos-1_T2	10	5.209421
vst_ctrl_pos-1_T2	11	7.43579
vst_ctrl_pos-1_T2	12	3.871228
vst_ctrl_pos-1_T2	13	3.642814
vst_ctrl_pos-1_T2	14	4.607383
vst_ctrl_pos-1_T2	15	3.686205
vst_ctrl_pos-1_T2	16	3.542534
vst_ctrl_pos-1_T2	17	3.776135
vst_ctrl_pos-1_T2	18	8.152939
vst_ctrl_pos-1_T2	19	5.178807
vst_ctrl_pos-1_T2	20	4.293835
