species,species_id_method,strain,isotype,previous_names,release,source_lab,latitude,longitude,landscape,locality_description,substrate,substrate_comments,substrate_temp,ambient_temp,ambient_humidity,associated_organism,sampled_by,isolated_by,sampling_date,notes,strain_set,issues,issue_notes,isotype_ref_strain,sequenced
Caenorhabditis elegans,,AB1,AB1,,20160408,CGC,-34.93,138.59,,South Australia,Soil,soil under rotting vegetation,,,,,"D. Riddle, A. Bird","D. Riddle, A. Bird",1983-01-01,Tc1 pattern VII,2,False,,True,True
Caenorhabditis elegans,,AB2,ECA251,,20160408,CGC,-34.93,138.59,,South Australia,Soil,soil under rotting vegetation,,,,,"D. Riddle, A. Bird","D. Riddle, A. Bird",1983-01-01,Sampled at the Australian Wine Institute grounds,,False,,False,False
Caenorhabditis elegans,,AB3,ECA251,,20180413,CGC,-34.93,138.59,,South Australia,Soil,soil under rotting vegetation,,,,,"D. Riddle, A. Bird","D. Riddle, A. Bird",1983-01-01,Sampled at the Waite Agricultural Research Institue nursery plots,,False,,False,False
Caenorhabditis elegans,,AB4,ECA251,,20160408,CGC,-34.93,138.59,,South Australia,Soil,soil under rotting vegetation,,,,,"D. Riddle, A. Bird","D. Riddle, A. Bird",1983-01-01,Tc1 pattern VIII,,False,,False,True
Caenorhabditis elegans,ITS2,BBA2,BBA2,,20250625,,-38.0780833,-61.9288,Rural_garden,"Tornquist, Buenos Aires.",Vegetal_litter/mix,Soil with decaying organic matter; Collected under a linden tree,,23.0,,Lumbricidae,O. Turani,O. Turani,2023-04-09,I removed the leaf litter on the floor and colected the superficial soil (substrates).,,False,,True,True
Caenorhabditis elegans,,BRC20067,BRC20067,,20160408,BRC,24.072954,121.169736,,Taiwan,Rotting_nut/pod/seed/fruit,unknown orangish-yellowish colored fruit,,,,,J. Wang,C.-Y. Kao,2012-01-13,,1,False,,True,True
Caenorhabditis elegans,,BRC20113,BRC20067,,20170531,BRC,24.124167,121.283056,,Taiwan,Rotting_nut/pod/seed/fruit,fruit,,,,,"C. Lee, N. Chang",J.-C. Hsu,2014-05-09,,,False,,False,True
Caenorhabditis elegans,,BRC20231,MY23,,20170531,BRC,23.541517,120.908112,,Taiwan Province,Rotting_flower,"rotting flower, on tree",,,,,T. Volans,,2014-06-15,,,False,,False,True
Caenorhabditis elegans,,BRC20263,BRC20263,,20170531,BRC,-33.86748611,151.2069889,,New South Wales,,,,,,,"C. Lee, N. Chang",J.-C. Hsu,2014-08-04,,5,False,,True,True
Caenorhabditis elegans,ITS2,BRC20558,BRC20067,,20220216,BRC,24.38206389,121.3067778,Forest,,Rotting_nut/pod/seed/fruit,orange fruit,,,,,"Volans, Dai, Chiayi",J. Wang,2012-01-13,"BRC10065, starting strain, not necessarily isofemale",,False,,False,True
Caenorhabditis elegans,,CB3196,CB4854,GA13,20160408,CGC,,,Urban_garden,,Vegetal_litter/mix,vegetable garden,,,,,,C. Johnson,1974-05-01,,,False,,False,False
Caenorhabditis elegans,,CB3197,CB4854,GA23,20160408,CGC,,,Urban_garden,,Vegetal_litter/mix,vegetable garden,,,,,,C. Johnson,1974-05-01,,,False,,False,False
Caenorhabditis elegans,,CB3198,ECA246,PA2,20160408,CGC,34.13712,-118.12532,Urban_garden,California,Rotting_flower,flower bed,,,,,E. Hedgecock,E. Hedgecock,1973-01-01,"PA-2 strain, Isolated in the summer of 1973. Noted as identical to CB4853 by Hodgkin and Doniach.",,False,,False,False
Caenorhabditis elegans,,CB3199,ECA250,PA3,20160408,CGC,34.13712,-118.12532,Urban_garden,California,Rotting_flower,flower bed,,,,,,E. Hedgecock,1973-01-01,isolated in the summer of 1973,,False,,False,False
Caenorhabditis elegans,,CB4852,CB4852,N3,20160408,CGC,,,,,,,,,,,,,,"Isolated by workers at Imperial College, London. Obtained by S. Brenner in 1966 and kept in liquid medium for three years before freezing",3,False,,True,True
Caenorhabditis elegans,,CB4854,CB4854,GA9,20160408,CGC,34.189,-118.131,Urban_garden,California,Vegetal_litter/mix,vegetable garden,,,,,C. Johnson,C. Johnson,1973-12-01,"CGC says Isolated in May 1974 from vegetable garden on Garfias St, Altadena, California USA, Noted as identical to CB3198 by Hodgkin and Doniach. Hodgkin and Doniach say isolated December 1973",2,False,,True,True
Caenorhabditis elegans,,CB4856,CB4856,CB4856_(CGC_#3)|CB4856_CGC_3|CB4856_CGC|CB4856,20160408,CGC,21.33,-157.86,Rural_garden,Hawaii,Rotting_nut/pod/seed/fruit,pineapple field,,,,,L. Hollen,L. Hollen,1972-08-01,Isolated from an unknown Hawaiian island pineapple field,D,False,,True,True
Caenorhabditis elegans,,CB4932,CB4932,,20160408,CGC,51.02,-3.1,Rural_garden,England,Fungus,mushroom casing,,,,,P. Grewal,P. Grewal,1991-01-01,unique Tc1 pattern,2,False,,True,True
Caenorhabditis elegans,,CX11254,CX11254,HEY-046,20160408,CX,34.130138,-118.114835,Botanical_garden_or_zoo,California,Soil,soil,,,,,A. Sivasundar,A. Sivasundar,2003-09-01,"isolated in Huntington Gardens, exact location in garden is unknown",3,False,,True,True
Caenorhabditis elegans,,CX11258,ECA251,HEY-001,20160408,CX,34.13531,-118.30582,Urban_garden,California,Soil,soil,,,,,A. Sivasundar,A. Sivasundar,2003-09-01,"isolated in Griffith Park, exact location in park is unknown",,False,,False,False
Caenorhabditis elegans,,CX11259,CX11292,HEY-013,20160408,CX,34.13531,-118.30582,Urban_garden,California,Soil,soil,,,,,A. Sivasundar,A. Sivasundar,2004-02-01,"isolated in Griffith Park, exact location in park is unknown",,False,,False,False
Caenorhabditis elegans,,CX11262,CX11262,HEY-028,20160408,CX,34.130138,-118.114835,Botanical_garden_or_zoo,California,Soil,soil,,,,,A. Sivasundar,A. Sivasundar,2003-09-01,"isolated in Huntington Gardens, exact location in garden is unknown",3,False,,True,True
Caenorhabditis elegans,,CX11264,CX11264,HEY-034,20160408,CX,34.130138,-118.114835,Botanical_garden_or_zoo,California,Soil,soil,,,,,A. Sivasundar,A. Sivasundar,2003-09-01,"isolated in Huntington Gardens, exact location in garden is unknown",3,False,,True,True
Caenorhabditis elegans,,CX11268,CX11315,HEY-038,20160408,CX,34.130138,-118.114835,Botanical_garden_or_zoo,California,Soil,soil,,,,,A. Sivasundar,A. Sivasundar,2003-09-01,"isolated in Huntington Gardens, exact location in garden is unknown",,False,,False,False
Caenorhabditis elegans,,CX11271,CX11271,HEY-050,20160408,CX,34.13712,-118.12532,Urban_garden,California,Soil,soil,,,,,A. Sivasundar,A. Sivasundar,2003-09-01,"isolated at California Institue of Technology, exact location at CalTech is unknown",1,False,,True,True
Caenorhabditis elegans,,CX11276,CX11276,HEY-056,20160408,CX,34.20111,-118.21198,Botanical_garden_or_zoo,California,Soil,soil,,,,,A. Sivasundar,A. Sivasundar,2003-09-01,1783,1,False,,True,True
