rep1_d1	rep1_d9	rep1_d13	rep1_d17	rep3_d1	rep3_d9	rep3_d13	rep3_d17	rep4_d1	rep4_d9	rep4_d13	rep4_d17	rep2_d1	rep2_d9	rep2_d13	rep2_d17	rep5_d1	rep5_d9	rep5_d13	rep5_d17	rep1_BL	rep3_BL	rep4_BL	rep2_BL	rep5_BL
CB4854	0.00176798107955039	0.00218306439855946	0.00339566885980024	0.00174223131599654	0.0103670074269525	0.0117214389941576	0.00455115097103547	0.006364552008922	0.00664509346020192	0.00622917977494193	0.00443115526679498	0.00479225160827717	0.00322485586996719	0.00194138073103216	0.00180437608460503	0.00255836967768147	0.015958024401417	0.0283211468593457	0.00834646357337567	0.0134604339408311	0.00255556246521007	0.0108249054954583	0.00720233512188978	0.00265616792623106	0.0196783999262872
CB4856	0.00375058767077385	0.00427462184538152	0.00658264254461758	0.00470940402683326	0.0176164795246675	0.028329368665451	0.0749419123626063	0.0704226740687918	0.0126430123946517	0.0211438010649185	0.0469825433748703	0.0370356954344321	0.0175617032149232	0.0281881251071842	0.0858535196229013	0.0400010797293406	0.00745690766852031	0.0128799684276319	0.0210025242822259	0.0101714530265643	0.00528150641887388	0.025219127811882	0.0245577767249312	0.0217769559240747	0.00851046779638044
CX11254	0.000648543128229334	0.000971557312656923	0.00121969454924266	0.0013569998243161	0.00621881675740556	0.0102873462568141	0.020712215161036	0.0142622430042493	0.00242707981180972	0.00229802243674117	0.00215477367181987	0.00251703917847043	0.00639814280807835	0.0079827532256813	0.0135632677031093	0.0153549664330924	0.00139636594592091	0.00073340421848155	0.0013970041696007	0.000935632391465449	0.00161704070471008	0.0146975756040637	0.00522078320101461	0.0195151485571701	0.00169503327789999
CX11264	0.00594821393219453	0.00417915234390351	0.00232532075348692	0.005981990936509	0.00667458138839742	0.00473735905879794	0.00236534400859306	0.00404367162563593	0.00629931525121946	0.00335991252179896	0.00211451428740239	0.00259482587762349	0.00670298267494319	0.00577398435952364	0.00444515702298814	0.00696757185989176	0.0190764777115386	0.0106064168247161	0.0033300435541308	0.0091603164096798	0.00768314796533195	0.00752292109983253	0.00820050498040757	0.0083306588362276	0.0226500901732744
CX11271	0.0207707707168506	0.0122360439920585	0.00288925964047053	0.00984163833874915	0.00269239634027714	0.001628608438328	0.000628655199075775	0.00109835274402879	0.030462283253424	0.013781118402554	0.00580749938140416	0.0069146288833332	0.00413139603359049	0.00145185324813582	0.000462266130185372	0.00257069625548135	0.000272876983925498	0.000131025195805777	0.000206481233066376	0.000365627529849	0.0179562747329317	0.00290587864742015	0.0240573784351025	0.0040264485228805	0.000318613996821837
CX11276	0.0077180578115898	0.00929283777579452	0.00801170464753596	0.00674089739197942	0.00881666458492561	0.00905125229359603	0.00972993764757302	0.00765134201217786	0.0246492439156713	0.0342505516413056	0.0384465708128669	0.0360541483126172	0.0168025912851681	0.0132854686801652	0.0103162858444489	0.00960414831383839	0.00259337659171267	0.00248213933352447	0.001079442935914	0.00165345279952895	0.00639941871962633	0.00652294158439386	0.0185340312186716	0.0116817799943464	0.00165782836111733
CX11285	0.00768120680326333	0.0062647793948825	0.00803649659049855	0.00723132284613733	0.0101979248745806	0.00821318776963643	0.00861552204299889	0.00912260816650719	0.00280645116597825	0.0019781677223705	0.00484605426480433	0.00563908646442719	0.00406565279095081	0.00359097345756357	0.00378314238024794	0.00455758539159493	0.0222981927981417	0.026131586927185	0.0217183054156506	0.0139067291331937	0.00972944027627848	0.0127000599265744	0.0031132245827773	0.00422928841078558	0.0220478112891302
CX11307	0.00849528351186235	0.0163753289331476	0.0118202044910259	0.00911550776564322	0.0148482466834691	0.0215314315425578	0.0303551593752847	0.0150818320971822	0.0122402946544733	0.0169000135344375	0.0138641514845073	0.00913623980803932	0.00685735006137368	0.00834277878941923	0.0125309449278221	0.0055147737253767	0.0027015297019054	0.00179907341667053	0.00037995169491729	0.000533604082368384	0.00768578966598866	0.0107567513812604	0.0110900551023571	0.00535658332542966	0.00302952679415155
DL200	0.0364318552450867	0.0472350691491078	0.0472913886403628	0.0268330578812315	0.00546188993759027	0.00997276992937669	0.0104162892870925	0.0040868855332231	0.00475075564517764	0.00800636210436528	0.0147950206507327	0.0168254999363871	0.0108346839478146	0.0108833087212209	0.00943322633053107	0.00751813535525417	0.00178458211252886	0.00169852935000348	0.000327914019134185	0.000645366431616435	0.0272708767268336	0.00501365012006052	0.00387597413356556	0.00916927888186856	0.00124163371901973
DL226	0.00435786731842893	0.00353143327617164	0.00338378293231284	0.0046968454084935	0.00503949779823682	0.00225712801828389	0.0014143621148895	0.00297250070935205	0.00157255773954919	0.000841722473714356	0.00101152224184034	0.000906451162916476	0.0129459626644286	0.00904892419894473	0.00494775833368679	0.00945871891863293	0.0377629301861751	0.00613142351641564	0.00374750677855288	0.0160981136616967	0.00492007055452558	0.00549104322624084	0.00152833987541075	0.0123791186616364	0.0375649809986073
