strain	pellet_fog-2_S10	pellet_rpn-12_S11	pellet_spe-19_S12	pellet_spe-43_S13	pellet_vha-5_S14	pellet_unc-39_S15	pellet_mig-6_S16	pellet_pos-1_S17	pellet_rde-3_S18	supernatant_ric-3_S20	supernatant_fog-2_S21	supernatant_rpn-12_S22	supernatant_spe-19_S23	supernatant_spe-43_S24	supernatant_vha-5_S25	supernatant_unc-39_S26	supernatant_pos-1_S27	supernatant_rde-3_S29	pellet_ric-3_S30	pellet_fog-2_S31	pellet_rpn-12_S32	pellet_spe-19_S33	pellet_spe-43_S34	pellet_vha-5_S35	pellet_unc-39_S36	pellet_mig-6_S37	pellet_pos-1_S38	pellet_rde-3_S39	supernatant_ric-3_S41	supernatant_fog-2_S42	supernatant_rpn-12_S43	supernatant_spe-19_S44	supernatant_spe-43_S45	supernatant_vha-5_S46	supernatant_unc-39_S47	supernatant_pos-1_S49	supernatant_rde-3_S50	supernatant_ric-3_S55	pellet_ric-3_S9
AB1	-0.00445971924402414	-0.00256605277458494	-0.00343064382049865	-0.00464859793579519	-0.000941208867288866	-7.2633884418109e-05	-0.00823162998745548	0.00866808081552303	0.000316212240793994	-0.00538849693144569	-0.00575447924043366	0.00282480728886838	-0.00450191504050209	-0.00575447924043366	0.00258367603567338	-9.25221973135338e-05	0.00195892276448218	-0.00196537074077575	6.3437505590954e-05	-0.00105308138827482	-0.00231919365720986	0.00146353139154836	0.00089349249502727	0.00536523624189135	-0.000983374020366185	-0.00182749551298482	0.0112583494404353	-0.00168688640570822	0.00169737352793313	0.000481066735505777	0.0020767820795564	-0.00575447924043366	-0.00554185705930692	-0.00216267322589247	-0.00564115274289073	0.0022785732260331	-0.00515848576555485	-0.00535538473720197	0.00171556188635733
CB4932	0.00352757848209127	0.0115177064278985	0.00173465386819069	0.00100825169164805	0.0256580927757923	0.00112856548095372	-0.0139878882175524	0.00333856552493087	0.00652404578336585	0.00707451568505182	-0.00252728382144408	-0.0030982340899232	0.0101073861456099	-0.00107817708337948	0.0180417095023265	0.00478170612088993	-0.000392862669615926	0.0101163181043583	0.00567094064921438	0.00227073992529314	0.00811738510989378	-0.00252978664918829	0.00343942308738479	0.0109467583564221	0.00676675858196062	-0.0139878882175524	-0.0052586383481361	-0.0023511688040927	-0.00169993368794787	-0.00475840260726956	-0.000490298051573017	0.00214535391887404	-0.00104788522186231	0.0214729859919654	-0.000180180634003119	-0.00563488445815669	0.0113867949021245	0.00980227285506407	0.0066045798772275
CX11262	0.00340979382752494	0.00445135505058818	0.00303234200407572	0.00154830795322648	0.00984134324066005	0.00180636053620425	0.0541861686301238	0.0123627113044702	0.00129849934213201	0.00744200018671005	0.018656364897316	0.012400116122222	0.00604065919926816	0.0129231036809114	0.00433044968623235	0.00475602149595693	0.0155835444017901	0.000493226708373314	7.27094460678153e-05	0.00293865384966749	0.00412783358874313	0.0071612562893591	0.00337012810837486	0.00527804628097466	0.00238431839639424	0.0357544867331068	0.00898981731086045	0.00119464655797943	0.00161233252677416	0.00290310604080785	0.00344528487836409	0.00920035241266291	0.00283018243472447	0.00062987811809596	0.00175748413853852	0.00483139303319824	-0.00162724917315042	0.00601625520369797	0.000581886402548729
CX11271	-0.00176826038784803	-0.00247546490224505	-0.00347491052393265	0.000294518929614292	-0.00519410802707494	0.00167450824241149	-0.0160282507517417	-0.00914478133936919	0.00442763158231621	-0.000122657153500683	-0.00159711312218833	0.00214862504950524	0.00319523556038238	-0.0119884556881952	0.00388018611707653	0.00520099944198364	0.00466885951900544	0.00569767472055248	0.00232426908894568	-0.00564745116414453	-0.0026536548117315	-0.000469465735516136	-0.00479718074045085	0.00307267681692253	-0.00416641868342736	-0.00988407090192815	-0.0183128908295012	-0.00356668779912902	0.00243464234104947	-0.00087835744565011	0.00702151949944508	0.0034705178786349	-0.0012008854918843	0.00591631589583816	0.0063929081955247	-0.00346361192969134	0.00230494179726643	0.000214038487869984	-0.00349364752523637
CX11276	-0.0103720450686269	-0.00498601622750643	-0.00408093189505361	-0.0119530559311797	-0.000470941051226484	-0.00540715458598323	-0.013347554329019	-0.00987871377760193	-0.00282822197379208	0.00279579212957327	-0.00140703700462876	-0.000253522505995547	0.00248067138114924	-0.00757399352416977	0.00535687336000424	0.00747483189900271	-0.00543031919766981	0.0030121881918542	-0.00242851430080292	-0.0108363431038389	0.00233092835761628	-0.00394829908470474	-0.00568186686492754	0.00991261068420629	-0.00522147180953601	-0.0146101614029931	-0.00890258661603335	-0.00169245273850543	0.00210842315221491	-0.00538858365723923	0.00796232183408145	-0.00153204507605749	-0.00508737813562382	0.00853377421333517	-0.00119370001422785	-0.00787712249801222	0.00447591852949378	0.00105933984958178	-0.00656441656761719
CX11285	0.00196198145313483	0.00157929170227721	0.00709017054867286	0.000843770094623804	-0.00425880678734116	0.0012807900883064	0.00327039864063846	0.000184330956081289	-0.00636693973871415	-0.00302990488483398	0.00495134156766614	0.00223696621397014	0.00776689220403683	-0.00284388685291189	-0.00330616190873162	0.0101607251813215	-0.00354313355166559	-0.000175880380882667	-0.00158666574489233	0.00232803731880224	-0.000158720346179433	0.0013764810930934	0.00180031509177832	-0.00291708222679766	-0.000879423286393432	-0.00299442819664678	0.00260825464690944	0.00427407595965805	0.00143890398432442	0.0102277195379553	0.000332791083599107	-0.000590043977824251	0.00387196225089042	-0.00705127715234609	0.00196854930899808	-0.00162847773842011	0.00323845994413909	-0.00298528804521591	0.00110083089487214
DL200	-0.0076781052498108	-0.00639987432517847	-0.00436017910373294	-0.00175958296875952	0.0038306138976619	0.0010950830094562	0.000319715571400933	-0.000926344529381383	0.00407846347700845	0.00213964324074538	0.00214777918887986	-0.00372182815338714	-0.000124420784343156	-0.00259869753681499	0.0121438316760082	0.00421984056529237	0.000552917129911395	-0.000722291866517622	-0.000124881246963143	0.00224407632530381	-0.0027319947410013	-0.00542812071924162	-0.00204661759913448	0.00251867837942813	-0.00101034505576429	0.0221905773792414	0.0132051248843544	0.00149256867668854	0.000685805776899875	0.00408556407812903	-7.13319793438126e-05	-0.00021066560742474	0.0041154838527055	0.00568283341428722	-0.00105612925999764	0.00750467241634962	0.00409311408638226	0.000911650688870258	-0.00422176967935083
DL226	0.00338955696925681	-8.12548176650496e-05	-0.0180709963892309	-0.00468235978293959	-0.00304888358864992	0.000343485209864915	-0.0325179155500615	0.023893930288616	0.00131695532376094	-0.0097037976536123	-0.00447339920494316	-0.0119150795599358	0.00174446192113865	-0.0104849461416239	0.00442928853412633	-0.0112534086422247	0.000858302860920215	0.00787878050708251	0.000482866843533741	0.010187082370454	0.0132443723793637	-0.0190034604966517	-0.00546069756744837	-0.000355229704852571	-0.00316101280206608	-0.0338611751138604	0.0455929018038827	0.00463008342790237	0.00208575406063951	0.00655323661829155	0.0075298496837333	-0.00713968992052812	-0.0060605906154927	-0.0121634867348731	-6.44968861867948e-05	0.0192821251488631	0.00199724859268421	-0.00924952257487186	-0.0035032273664917
ECA191	-0.000132162752482559	-0.000132162752482559	-0.000132162752482559	-0.000132162752482559	-0.000132162752482559	-0.000132162752482559	0.00242634264687742	-0.000132162752482559	-0.000132162752482559	0.00162138436815164	-0.000626460969998607	0.000901484906773246	0.000582310784959923	0.0031164175937462	-0.000626460969998607	0.000835550491302016	-0.000626460969998607	0.000626460969998607	-0.000132162752482559	-0.000132162752482559	-0.000132162752482559	-0.000132162752482559	-0.000132162752482559	-0.000132162752482559	7.38301761310631e-06	0.00659429031779354	-0.000132162752482559	-0.000132162752482559	-0.000626460969998607	3.06411063782136e-05	-0.000269910967226586	0.000960447654698217	-0.000404729551709281	-0.000388673106054321	-0.000626460969998607	0.000654879763132323	-0.000626460969998607	0.00236920233232599	-0.000132162752482559
ECA348	0	0.0012558805201396	0.000369503251322349	0	0	0	0.00489543680518857	0	0	0.00187293509820505	-0.00211164300718365	0.00711952292809943	0.0108578779462444	-0.001239797230788	-0.00265017522861733	0.00262234256012097	-0.00265017522861733	0.00265017522861733	0	0	0.000164209309234416	0	0	0	0	0.0142905186842381	0.00418093163092158	0	-0.00209668938156346	-0.00138070068443573	0.00562217838932266	0.00293781928126386	-0.00265017522861733	0.000952902681156762	-6.47768839033818e-06	-0.000512907399898046	-0.00243364488402097	0.00348530356327581	0
