trait	metric	estimate	se	V1_additive	V2_epistatic	V3_residual	n_strains	n_markers
pellet_fog-2	narrow_sense_h2_additive	0	0.16144148127294813	0	4.2665085025201403e-5	0	86	52072
pellet_fog-2	broad_sense_H2_additive_plus_epistatic	1	0.18696553393452664	0	4.2665085025201403e-5	0	86	52072
pellet_mig-6	narrow_sense_h2_additive	0.1429502717344457	0.21205974669767014	1.064358312540235e-4	6.381296037228757e-4	0	86	52072
pellet_mig-6	broad_sense_H2_additive_plus_epistatic	1	0.18219586312491012	1.064358312540235e-4	6.381296037228757e-4	0	86	52072
pellet_pos-1	narrow_sense_h2_additive	0.12659438260514524	0.20599376966965854	3.664266711405085e-5	2.52806725189092e-4	0	86	52072
pellet_pos-1	broad_sense_H2_additive_plus_epistatic	1	0.1830406390211716	3.664266711405085e-5	2.52806725189092e-4	0	86	52072
pellet_rde-3	narrow_sense_h2_additive	0.15347845570887864	0.2178817546836109	1.0520738459520048e-6	1.8484086296418051e-6	3.954380906323467e-6	86	52072
pellet_rde-3	broad_sense_H2_additive_plus_epistatic	0.4231276852643206	0.28523984437496575	1.0520738459520048e-6	1.8484086296418051e-6	3.954380906323467e-6	86	52072
pellet_ric-3	narrow_sense_h2_additive	0	0.1614414812729472	0	1.6436607671942337e-5	0	86	52072
pellet_ric-3	broad_sense_H2_additive_plus_epistatic	1	0.18696553393452775	0	1.6436607671942337e-5	0	86	52072
pellet_rpn-12	narrow_sense_h2_additive	0	0.16144148127294747	0	5.7647155047012344e-5	0	86	52072
pellet_rpn-12	broad_sense_H2_additive_plus_epistatic	1	0.18696553393452778	0	5.7647155047012344e-5	0	86	52072
pellet_spe-19	narrow_sense_h2_additive	0	0.1646671970377128	0	4.5529233769781104e-5	2.3659885526803643e-5	86	52072
pellet_spe-19	broad_sense_H2_additive_plus_epistatic	0.6580403715592384	0.27356855862766544	0	4.5529233769781104e-5	2.3659885526803643e-5	86	52072
pellet_spe-43	narrow_sense_h2_additive	0	0.15640795116602235	0	4.887724417338621e-6	1.2772536793883472e-5	86	52072
pellet_spe-43	broad_sense_H2_additive_plus_epistatic	0.2767639934019067	0.28246967408391016	0	4.887724417338621e-6	1.2772536793883472e-5	86	52072
pellet_unc-39	narrow_sense_h2_additive	0	0.1371015960224445	0	2.1434944946554725e-7	1.5707268375936655e-5	86	52072
pellet_unc-39	broad_sense_H2_additive_plus_epistatic	0.013462793279936831	0.18764887536175567	0	2.1434944946554725e-7	1.5707268375936655e-5	86	52072
pellet_vha-5	narrow_sense_h2_additive	0.024101785454423492	0.17027788707592478	2.265085416318158e-6	9.171489878864614e-5	0	86	52072
pellet_vha-5	broad_sense_H2_additive_plus_epistatic	1	0.1865094959410561	2.265085416318158e-6	9.171489878864614e-5	0	86	52072
supernatant_fog-2	narrow_sense_h2_additive	0.13329085921754782	0.21357389839205115	6.974733768979116e-6	2.779250696476682e-5	1.7559931661440242e-5	86	52072
supernatant_fog-2	broad_sense_H2_additive_plus_epistatic	0.6644203984724452	0.2684611972800397	6.974733768979116e-6	2.779250696476682e-5	1.7559931661440242e-5	86	52072
supernatant_pos-1	narrow_sense_h2_additive	0.013673509124140688	0.16833150843674663	1.8867518890715857e-6	6.448372695411062e-5	7.161545234258125e-5	86	52072
supernatant_pos-1	broad_sense_H2_additive_plus_epistatic	0.4809945352604897	0.28990050503512427	1.8867518890715857e-6	6.448372695411062e-5	7.161545234258125e-5	86	52072
supernatant_rde-3	narrow_sense_h2_additive	0.07208242947166532	0.17817213127148993	3.1976635131517743e-6	0	4.11635426308328e-5	86	52072
supernatant_rde-3	broad_sense_H2_additive_plus_epistatic	0.07208242947166532	0.22738622739042386	3.1976635131517743e-6	0	4.11635426308328e-5	86	52072
supernatant_ric-3	narrow_sense_h2_additive	0.07373013791836383	0.17942132128735336	3.031204607630556e-6	0	3.808094699293738e-5	86	52072
supernatant_ric-3	broad_sense_H2_additive_plus_epistatic	0.07373013791836383	0.22835920047574457	3.031204607630556e-6	0	3.808094699293738e-5	86	52072
supernatant_rpn-12	narrow_sense_h2_additive	0	0.15395510806834437	0	2.2528970420269714e-5	8.006508243697618e-5	86	52072
supernatant_rpn-12	broad_sense_H2_additive_plus_epistatic	0.21959333697068745	0.273746040605595	0	2.2528970420269714e-5	8.006508243697618e-5	86	52072
supernatant_spe-19	narrow_sense_h2_additive	0	0.15329925793765098	0	1.3286706105074765e-5	5.134500026901322e-5	86	52072
supernatant_spe-19	broad_sense_H2_additive_plus_epistatic	0.2055756663482065	0.2711119562215993	0	1.3286706105074765e-5	5.134500026901322e-5	86	52072
supernatant_spe-43	narrow_sense_h2_additive	0.08925030206589668	0.19500171112862655	1.751396547305482e-6	3.977626974026765e-6	1.389440078946015e-5	86	52072
supernatant_spe-43	broad_sense_H2_additive_plus_epistatic	0.2919482059092727	0.28122237651769444	1.751396547305482e-6	3.977626974026765e-6	1.389440078946015e-5	86	52072
supernatant_unc-39	narrow_sense_h2_additive	-0.06195921143358483	0.09254754603946283	-2.6852576183041853e-6	0	4.602437630903446e-5	86	52072
supernatant_unc-39	broad_sense_H2_additive_plus_epistatic	-0.06195921143358483	0.15162586133037423	-2.6852576183041853e-6	0	4.602437630903446e-5	86	52072
supernatant_vha-5	narrow_sense_h2_additive	0.19207451200682882	0.22080068120790244	1.7627541277017937e-5	0	7.414695338571599e-5	86	52072
supernatant_vha-5	broad_sense_H2_additive_plus_epistatic	0.19207451200682882	0.25675423459621005	1.7627541277017937e-5	0	7.414695338571599e-5	86	52072
