strain	pellet_fog-2_S10	pellet_rpn-12_S11	pellet_spe-19_S12	pellet_spe-43_S13	pellet_vha-5_S14	pellet_unc-39_S15	pellet_mig-6_S16	pellet_rde-3_S18	supernatant_ric-3_S20	supernatant_fog-2_S21	supernatant_rpn-12_S22	supernatant_spe-19_S23	supernatant_spe-43_S24	supernatant_vha-5_S25	supernatant_unc-39_S26	supernatant_rde-3_S29	pellet_ric-3_S30	pellet_fog-2_S31	pellet_rpn-12_S32	pellet_spe-19_S33	pellet_spe-43_S34	pellet_vha-5_S35	pellet_unc-39_S36	pellet_mig-6_S37	pellet_rde-3_S39	supernatant_ric-3_S41	supernatant_fog-2_S42	supernatant_rpn-12_S43	supernatant_spe-19_S44	supernatant_spe-43_S45	supernatant_vha-5_S46	supernatant_unc-39_S47	supernatant_rde-3_S50	supernatant_ric-3_S55	pellet_ric-3_S9	PC1	PC2	PC3
AB1	-0.0144229343720033	-0.0125292679025641	-0.0133938589484778	-0.0146118130637743	-0.010904423995268	-0.0100358490123973	-0.0181948451154346	-0.00964700288718516	-0.00750724492670333	-0.0078732272356913	0.000706059293610735	-0.00662066303575973	-0.0078732272356913	0.000464928040415737	-0.00221127019257118	-0.0040841187360334	-0.0098997776223882	-0.011016296516254	-0.012282408785189	-0.0084996837364308	-0.00906972263295188	-0.0045979788860878	-0.0109465891483453	-0.011790710640964	-0.0116501015336874	-0.000421374467324513	-0.00163768125975186	-4.19659157012402e-05	-0.0078732272356913	-0.00766060505456456	-0.00428142122115011	-0.00775990073814837	-0.00727723376081249	-0.00747413273245961	-0.00824765324162182	-0.0482230961996134	-0.0170528216368171	0.00435469138491119
CB4932	0.00448761489369389	0.0124777428395011	0.00269469027979331	0.00196828810325067	0.0266181291873949	0.00208860189255633	-0.0130278518059498	0.00748408219496847	0.0100883892489381	0.000486589742442228	-8.43605260368897e-05	0.0131212597094962	0.00193569648050682	0.0210555830662128	0.00779557968477624	0.0131301916682446	0.006630977060817	0.00323077633689576	0.0090774215214964	-0.00156975023758568	0.00439945949898741	0.0119067947680248	0.00772679499356324	-0.0130278518059498	-0.00139113239249008	0.00131393987593844	-0.00174452904338326	0.00252357551231329	0.00515922748276034	0.00196598834202399	0.0244868595558517	0.00283369292988319	0.0144006684660109	0.0128161464189504	0.00756461628883011	0.0337790731960246	-0.0081283814974334	0.0344742578765147
CX11262	-0.0072664704801404	-0.00622490925707716	-0.00764392230358962	-0.00912795635443886	-0.000834921067005293	-0.00886990377146109	0.0435099043224585	-0.00937776496553333	-0.00276546853078414	0.00844889617982178	0.00219264740472777	-0.00416680951822603	0.00271563496341721	-0.00587701903126184	-0.00545144722153726	-0.00971424200912088	-0.0106035548615975	-0.00773761045799785	-0.00654843071892221	-0.00351500801830624	-0.00730613619929048	-0.00539821802669068	-0.0082919459112711	0.0250782224254414	-0.00948161774968591	-0.00859513619072003	-0.00730436267668634	-0.0067621838391301	-0.00100711630483128	-0.00737728628276972	-0.00957759059939823	-0.00844998457895567	-0.0118347178906446	-0.00419121351379622	-0.0100943779051166	-0.0322462772605835	0.0440748133847052	-0.0214524178102854
CX11271	0.0119605756965872	0.0112533711821902	0.0102539255605026	0.0140233550140495	0.00853472805736027	0.0154033443268467	-0.00229941466730646	0.0181564676667514	-0.000725280948157731	-0.00219973691684538	0.00154600125484819	0.00259261176572533	-0.0125910794828523	0.00327756232241948	0.00459837564732659	0.00509505092589543	0.0160531051733809	0.00808138492029067	0.0110751812727037	0.0132593703489191	0.00893165534398436	0.0168015129013577	0.00956241740100785	0.00384476518250706	0.0101621482853062	0.00183201854639243	-0.00148098124030716	0.00641889570478803	0.00286789408397785	-0.00180350928654135	0.00531369210118111	0.00579028440086765	0.00170231800260938	-0.000388585306787065	0.0102351885591988	0.045025338748226	-0.00310527056945809	-0.00552740012789356
CX11276	-0.000981394871809302	0.0044046339693112	0.00530971830176403	-0.0025624057343621	0.00891970914559115	0.00398349561083441	-0.00395690413220141	0.00656242822302556	0.00944951297741428	0.00524668384321225	0.00640019834184546	0.00913439222899025	-0.000920272676328763	0.0120105942078453	0.0141285527468437	0.00966590903969521	0.00696213589601472	-0.00144569290702124	0.0117215785544339	0.0054423511121129	0.00370878333189009	0.0193032608810239	0.00416917838728162	-0.00521951120617551	0.00769819745831221	0.00876214400005592	0.00126513719060178	0.0146160426819225	0.00512167577178352	0.00156634271221719	0.0151874950611762	0.00546002083361316	0.0111296393773348	0.0077130606974228	0.00282623362920045	0.0309030269411453	0.00329614507955871	0.0291000691494651
CX11285	0.00056568865163947	0.000182998900781852	0.0056938777471775	-0.000552522706871558	-0.00565509958883652	-0.000115502713188961	0.0018741058391431	-0.00776323254020951	-0.000444099239791136	0.00753714721270899	0.00482277185901298	0.0103526978490797	-0.00025808120786904	-0.000720356263688772	0.0127465308263643	0.00240992526416018	-0.00298295854638769	0.00093174451730688	-0.0015550131476748	-1.98117084019653e-05	0.000404022290282956	-0.00431337502829302	-0.00227571608788879	-0.00439072099814214	0.00287778315816268	0.00402470962936727	0.0128135251829982	0.00291859672864195	0.0019957616672186	0.00645776789593326	-0.00446547150730325	0.00455435495404093	0.00582426558918193	-0.000399482400173063	-0.000295461906623223	0.00428016306235744	0.00113368529249331	0.0105290187424596
DL200	-0.0138174954272973	-0.012539264502665	-0.0104995692812194	-0.00789897314624601	-0.00230877627982459	-0.00504430716803029	-0.00581967460608556	-0.00206092670047803	-0.00188915153238513	-0.00188101558425065	-0.00775062292651765	-0.00415321555747367	-0.0066274923099455	0.00811503690287774	0.000191045792161856	-0.00475108663964813	-0.00626427142444963	-0.00389531385218268	-0.00887138491848779	-0.0115675108967281	-0.00818600777662097	-0.00362071179805836	-0.00714973523325078	0.016051187201755	-0.00464682150079795	-0.00334298899623063	5.67693049985211e-05	-0.00410012675247432	-0.00423946038055525	8.66890795749933e-05	0.00165403864115671	-0.00508492403312815	6.43193132517494e-05	-0.00311714408426025	-0.0103611598568373	-0.0300382708749784	0.0108631428545323	-0.000616081464905187
DL226	-0.0313538590769926	-0.0348246708639144	-0.0528144124354802	-0.039425775829189	-0.0377922996348993	-0.0343999308363844	-0.0672613315963109	-0.0334264607224884	-0.019774011658504	-0.0145436132098348	-0.0219852935648274	-0.00832575208375301	-0.0205551601465156	-0.00564092547076533	-0.0213236226471164	-0.00219143349780915	-0.0342605492027156	-0.0245563336757953	-0.0214990436668856	-0.0537468765429011	-0.0402041136136977	-0.0350986457511019	-0.0379044288483154	-0.0686045911601098	-0.030113332618347	-0.00798445994425216	-0.00351697738660012	-0.00254036432115837	-0.0172099039254198	-0.0161308046203844	-0.0222337007397648	-0.0101347108910785	-0.00807296541220746	-0.0193197365797635	-0.0382466434127411	-0.159464471042241	-0.0817378078272148	0.0370949555966813
ECA191	0	0	0	0	0	0	0.00255850539935998	0	0.00160717497158479	-0.000640670366565465	0.000887275510206389	0.000568101388393065	0.00310220819717934	-0.000640670366565465	0.000821341094735158	0.00061225157343175	0	0	0	0	0	0	0.000139545770095665	0.0067264530702761	0	-0.000640670366565465	1.6431709811356e-05	-0.000284120363793444	0.000946238258131359	-0.000418938948276139	-0.000402882502621179	-0.000640670366565465	-0.000640670366565465	0.00235499293575913	0	0.000910311188545326	0.0070218030621659	-0.0016931805560001
ECA348	-0.00209046581546079	-0.000834585295321188	-0.00172096256413844	-0.00209046581546079	-0.00209046581546079	-0.00209046581546079	0.00280497098972778	-0.00209046581546079	0.00345447641246274	-0.000530101692925959	0.00870106424235712	0.0124394192605021	0.000341744083469687	-0.00106863391435964	0.00420388387437866	0.00423171654287503	-0.00209046581546079	-0.00209046581546079	-0.00192625650622637	-0.00209046581546079	-0.00209046581546079	-0.00209046581546079	-0.00209046581546079	0.0122000528687773	-0.00209046581546079	-0.000515148067305773	0.000200840629821965	0.00720371970358035	0.00451936059552155	-0.00106863391435964	0.00253444399541445	0.00157506362586735	-0.000852103569763279	0.0050668448775335	-0.00209046581546079	-0.00252210308067458	0.0165759896693802	0.00796827709196211
