trait	metric	estimate	se	V1_additive	V2_epistatic	V3_residual	n_strains	n_markers
pellet_fog-2	narrow_sense_h2_additive	0.376463178352893	0.2506927011953952	9.232084913916046e-5	1.2412717968271548e-4	2.878405348451042e-5	86	52806
pellet_fog-2	broad_sense_H2_additive_plus_epistatic	0.8826252535402428	0.21386405343895937	9.232084913916046e-5	1.2412717968271548e-4	2.878405348451042e-5	86	52806
pellet_mig-6	narrow_sense_h2_additive	0.1164427140237277	0.20380133693471014	7.231693993740902e-5	5.487347123168736e-4	0	86	52806
pellet_mig-6	broad_sense_H2_additive_plus_epistatic	1	0.19022230992021127	7.231693993740902e-5	5.487347123168736e-4	0	86	52806
pellet_rde-3	narrow_sense_h2_additive	0.17227126442357954	0.2177491430151173	5.05775647983504e-5	2.4301501413571136e-4	0	86	52806
pellet_rde-3	broad_sense_H2_additive_plus_epistatic	1	0.18758434667481175	5.05775647983504e-5	2.4301501413571136e-4	0	86	52806
pellet_ric-3	narrow_sense_h2_additive	0.25186014263275186	0.23713516398039292	6.33034453826246e-5	1.536914603575259e-4	3.434873569870183e-5	86	52806
pellet_ric-3	broad_sense_H2_additive_plus_epistatic	0.8633395477917498	0.22690641377679	6.33034453826246e-5	1.536914603575259e-4	3.434873569870183e-5	86	52806
pellet_rpn-12	narrow_sense_h2_additive	0.44807172493966874	0.2577493253316771	8.277653409553556e-5	0	1.0196293837771886e-4	86	52806
pellet_rpn-12	broad_sense_H2_additive_plus_epistatic	0.44807172493966874	0.2660312658851509	8.277653409553556e-5	0	1.0196293837771886e-4	86	52806
pellet_spe-19	narrow_sense_h2_additive	0.29509906007819414	0.2464424837602453	8.61799823740027e-5	6.153130871715907e-5	1.4432617711076026e-4	86	52806
pellet_spe-19	broad_sense_H2_additive_plus_epistatic	0.5057956843709879	0.2784751579198034	8.61799823740027e-5	6.153130871715907e-5	1.4432617711076026e-4	86	52806
pellet_spe-43	narrow_sense_h2_additive	0.2020681244509653	0.227917046127069	6.248640885857426e-5	2.0359324948363767e-4	4.315471015779103e-5	86	52806
pellet_spe-43	broad_sense_H2_additive_plus_epistatic	0.8604465914732546	0.23065293805443254	6.248640885857426e-5	2.0359324948363767e-4	4.315471015779103e-5	86	52806
pellet_unc-39	narrow_sense_h2_additive	0.16790873654665892	0.21633346479268953	5.140279325355032e-5	2.5473251757505787e-4	0	86	52806
pellet_unc-39	broad_sense_H2_additive_plus_epistatic	1	0.18785948175833964	5.140279325355032e-5	2.5473251757505787e-4	0	86	52806
pellet_vha-5	narrow_sense_h2_additive	0.221757503837567	0.22972681969818348	3.8875754409117746e-5	1.0237269392879544e-5	1.2619447982860577e-4	86	52806
pellet_vha-5	broad_sense_H2_additive_plus_epistatic	0.280153574632408	0.2740743146100965	3.8875754409117746e-5	1.0237269392879544e-5	1.2619447982860577e-4	86	52806
supernatant_fog-2	narrow_sense_h2_additive	0	0.15542814264767194	0	1.483100423820871e-5	4.651272295019795e-5	86	52806
supernatant_fog-2	broad_sense_H2_additive_plus_epistatic	0.241768880339759	0.2811730604806424	0	1.483100423820871e-5	4.651272295019795e-5	86	52806
supernatant_rde-3	narrow_sense_h2_additive	0.03698408921592843	0.1781974839264391	3.7468817945275e-6	9.283075112881551e-5	4.733008327051246e-6	86	52806
supernatant_rde-3	broad_sense_H2_additive_plus_epistatic	0.9532822192354564	0.2100451721896617	3.7468817945275e-6	9.283075112881551e-5	4.733008327051246e-6	86	52806
supernatant_ric-3	narrow_sense_h2_additive	0	0.16455293461186515	0	6.225862295107443e-5	3.012896266732162e-5	86	52806
supernatant_ric-3	broad_sense_H2_additive_plus_epistatic	0.6738851603745948	0.2775575012585727	0	6.225862295107443e-5	3.012896266732162e-5	86	52806
supernatant_rpn-12	narrow_sense_h2_additive	0.17734516399762182	0.21660586055196002	1.4683841124781848e-5	0	6.811425042610339e-5	86	52806
supernatant_rpn-12	broad_sense_H2_additive_plus_epistatic	0.17734516399762182	0.25686743315001115	1.4683841124781848e-5	0	6.811425042610339e-5	86	52806
supernatant_spe-19	narrow_sense_h2_additive	-0	0.13934598361070985	-0	0	1.2426198260607406e-4	86	52806
supernatant_spe-19	broad_sense_H2_additive_plus_epistatic	0	0.19721089412702839	-0	0	1.2426198260607406e-4	86	52806
supernatant_spe-43	narrow_sense_h2_additive	0	0.15914942300684423	0	3.1645419338040237e-5	6.0053282389216146e-5	86	52806
supernatant_spe-43	broad_sense_H2_additive_plus_epistatic	0.34510215239649356	0.2930232297321283	0	3.1645419338040237e-5	6.0053282389216146e-5	86	52806
supernatant_unc-39	narrow_sense_h2_additive	0	0.16232652237179343	0	4.587721184042005e-5	5.017669098362653e-5	86	52806
