sample_number	sample_id	aser_file_a	aser_file_b	sample_name	bacteria_pellet	sample_type	gene	timepoint	rep	exclude	exclude_reason
1	S1	S1_A_1.table	S1_B_1.table	0A	0	supernatant	NA	0	1	FALSE	NA
2	S2	S2_A_1.table	S2_B_1.table	0B	0	supernatant	NA	0	2	FALSE	NA
3	S3	S3_A_1.table	S3_B_1.table	13p	2	pellet	fog-2	1	1	FALSE	NA
4	S4	S4_A_1.table	S4_B_1.table	13s	2	supernatant	fog-2	1	1	FALSE	NA
5	S5	S5_A_1.table	S5_B_1.table	21p	10	pellet	rde-3	1	1	FALSE	NA
6	S6	S6_A_1.table	S6_B_1.table	21s	10	supernatant	rde-3	1	1	FALSE	NA
7	S7	S7_A_1.table	S7_B_1.table	22p	11	pellet	ctrl	1	1	FALSE	NA
8	S8	S8_A_1.table	S8_B_1.table	22s	11	supernatant	ctrl	1	1	FALSE	NA
9	S9	S9_A_1.table	S9_B_1.table	23	1	pellet	ric-3	2	1	FALSE	NA
10	S10	S10_A_1.table	S10_B_1.table	24	2	pellet	fog-2	2	1	FALSE	NA
11	S11	S11_A_1.table	S11_B_1.table	25	3	pellet	rpn-12	2	1	FALSE	NA
12	S12	S12_A_1.table	S12_B_1.table	26	4	pellet	spe-19	2	1	FALSE	NA
13	S13	S13_A_1.table	S13_B_1.table	27	5	pellet	spe-43	2	1	FALSE	NA
14	S14	S14_A_1.table	S14_B_1.table	28	6	pellet	vha-5	2	1	FALSE	NA
15	S15	S15_A_1.table	S15_B_1.table	29	7	pellet	unc-39	2	1	FALSE	NA
16	S16	S16_A_1.table	S16_B_1.table	30	8	pellet	mig-6	2	1	FALSE	NA
17	S17	S17_A_1.table	S17_B_1.table	31	9	pellet	pos-1	2	1	FALSE	NA
18	S18	S18_A_1.table	S18_B_1.table	32	10	pellet	rde-3	2	1	FALSE	NA
19	S19	S19_A_1.table	S19_B_1.table	33	11	pellet	ctrl	2	NA	TRUE	flagged bad/low-quality original prep; replaced by 33_b (sample_number 54)
20	S20	S20_A_1.table	S20_B_1.table	34	1	supernatant	ric-3	2	NA	TRUE	flagged bad/low-quality original prep; replaced by 34_b (sample_number 55)
21	S21	S21_A_1.table	S21_B_1.table	35	2	supernatant	fog-2	2	1	FALSE	NA
22	S22	S22_A_1.table	S22_B_1.table	36	3	supernatant	rpn-12	2	1	FALSE	NA
23	S23	S23_A_1.table	S23_B_1.table	37	4	supernatant	spe-19	2	1	FALSE	NA
24	S24	S24_A_1.table	S24_B_1.table	38	5	supernatant	spe-43	2	1	FALSE	NA
25	S25	S25_A_1.table	S25_B_1.table	39	6	supernatant	vha-5	2	1	FALSE	NA
26	S26	S26_A_1.table	S26_B_1.table	40	7	supernatant	unc-39	2	1	FALSE	NA
27	S27	S27_A_1.table	S27_B_1.table	42	9	supernatant	pos-1	2	1	FALSE	NA
28	S28	S28_A_1.table	S28_B_1.table	43	10	supernatant	rde-3	2	1	FALSE	NA
29	S29	S29_A_1.table	S29_B_1.table	44	11	supernatant	ctrl	2	1	FALSE	NA
30	S30	S30_A_1.table	S30_B_1.table	45	12	pellet	ric-3	2	2	FALSE	NA
31	S31	S31_A_1.table	S31_B_1.table	46	13	pellet	fog-2	2	2	FALSE	NA
32	S32	S32_A_1.table	S32_B_1.table	47	14	pellet	rpn-12	2	2	FALSE	NA
33	S33	S33_A_1.table	S33_B_1.table	48	15	pellet	spe-19	2	2	FALSE	NA
34	S34	S34_A_1.table	S34_B_1.table	49	16	pellet	spe-43	2	2	FALSE	NA
35	S35	S35_A_1.table	S35_B_1.table	50	17	pellet	vha-5	2	2	FALSE	NA
36	S36	S36_A_1.table	S36_B_1.table	51	18	pellet	unc-39	2	2	FALSE	NA
37	S37	S37_A_1.table	S37_B_1.table	52	19	pellet	mig-6	2	2	FALSE	NA
38	S38	S38_A_1.table	S38_B_1.table	53	20	pellet	pos-1	2	2	FALSE	NA
39	S39	S39_A_1.table	S39_B_1.table	54	21	pellet	rde-3	2	2	FALSE	NA
40	S40	S40_A_1.table	S40_B_1.table	55	22	pellet	ctrl	2	1	FALSE	NA
41	S41	S41_A_1.table	S41_B_1.table	56	12	supernatant	ric-3	2	1	FALSE	NA
42	S42	S42_A_1.table	S42_B_1.table	57	13	supernatant	fog-2	2	2	FALSE	NA
43	S43	S43_A_1.table	S43_B_1.table	58	14	supernatant	rpn-12	2	2	FALSE	NA
44	S44	S44_A_1.table	S44_B_1.table	59	15	supernatant	spe-19	2	2	FALSE	NA
45	S45	S45_A_1.table	S45_B_1.table	60	16	supernatant	spe-43	2	2	FALSE	NA
46	S46	S46_A_1.table	S46_B_1.table	61	17	supernatant	vha-5	2	2	FALSE	NA
47	S47	S47_A_1.table	S47_B_1.table	62	18	supernatant	unc-39	2	2	FALSE	NA
48	S48	S48_A_1.table	S48_B_1.table	63	19	supernatant	mig-6	2	NA	TRUE	failed NNLS frequency deconvolution (all-NA frq in processed_strain_fq.rda)
49	S49	S49_A_1.table	S49_B_1.table	64	20	supernatant	pos-1	2	2	FALSE	NA
50	S50	S50_A_1.table	S50_B_1.table	65	21	supernatant	rde-3	2	2	FALSE	NA
51	S51	S51_A_1.table	S51_B_1.table	66	22	supernatant	ctrl	2	2	FALSE	NA
54	S54	S54_A_1.table	S54_B_1.table	33_b	11	pellet	ctrl	2	2	FALSE	NA
55	S55	S55_A_1.table	S55_B_1.table	34_b	1	supernatant	ric-3	2	2	FALSE	NA
