strain,delta_ctrl_fog-2_T2,delta_ctrl_mig-6_T2,delta_ctrl_pos-1_T2,delta_ctrl_rde-3_T2,delta_ctrl_ric-3_T2,delta_ctrl_rpn-12_T2,delta_ctrl_spe-19_T2,delta_ctrl_spe-43_T2,delta_ctrl_unc-39_T2,delta_ctrl_vha-5_T2,vst_ctrl_fog-2_T2,vst_ctrl_mig-6_T2,vst_ctrl_pos-1_T2,vst_ctrl_rde-3_T2,vst_ctrl_ric-3_T2,vst_ctrl_rpn-12_T2,vst_ctrl_spe-19_T2,vst_ctrl_spe-43_T2,vst_ctrl_unc-39_T2,vst_ctrl_vha-5_T2,log2fc_ctrl_fog-2_T2,log2fc_ctrl_mig-6_T2,log2fc_ctrl_pos-1_T2,log2fc_ctrl_rde-3_T2,log2fc_ctrl_ric-3_T2,log2fc_ctrl_rpn-12_T2,log2fc_ctrl_spe-19_T2,log2fc_ctrl_spe-43_T2,log2fc_ctrl_unc-39_T2,log2fc_ctrl_vha-5_T2,PC1_delta_ctrl,PC1_vst_ctrl,negctrl_growth_HT115_delta_t0,negctrl_abundance_log10
"AB1",-0.00165498889998214,-0.00303562536550869,0.0104330969663211,0.000280852824041793,0.00119170750623861,-0.00149908996799293,-0.000737467135122399,-0.00248721281539478,0.000703297452643184,0.00216319365890704,-0.0138554455477117,-0.0291115152639431,0.0555259104134444,0.00207650597501426,0.00841997167856959,-0.0124002183066718,-0.00578597803271962,-0.0224208597086781,0.00508769458013157,0.0146467407565853,-0.668322235013984,-1.64413407469267,1.73867878471728,0.088031086560386,0.341387482891229,-0.590389490861058,-0.260519009826831,-1.17528097616111,0.211083887445967,0.570087384702391,0.0162554328769351,0.0383844274774986,-0.00830787352525164,-2.35114515409792
"CB4932",0.000663841415246341,-0.00997829582271114,-0.00113119081084539,0.00381907910515339,0.00698477215246095,0.0102705894472513,0.00167078505052753,0.00231073299324543,0.00205149006820688,0.0168035592462522,0.00315127724616061,-0.0743391828517243,-0.00559726653473282,0.0170343858315916,0.0295519555891703,0.041438437937097,0.00776516399278751,0.0106029654608455,0.00946173633718368,0.0626450503608318,0.0852979305642563,-3.56488724350501,-0.15808428470184,0.433383396551124,0.714439907542877,0.957778399983389,0.205758969469794,0.277398640785092,0.248804678741167,1.34579958757251,0.117037513686025,0.135415574846088,-0.00752177253374324,-1.96294737322096
"CX11262",0.00339295021054957,0.0430951065735338,0.0107721421504963,0.00154860411165196,0.00129767434767448,0.0048853963006524,0.00476619440872101,0.00287848274807105,0.00183036117508788,0.00745285255928521,0.027827739871188,0.167322341266991,0.0670530643515785,0.0142758235303441,0.0121950718105101,0.037226267052365,0.0365140529516284,0.0243046468775681,0.016531693200081,0.0513365402764052,1.33203660936302,4.34165266521601,2.54054772967761,0.759283921373746,0.660304290540028,1.6713434172004,1.64698958848183,1.1937530365417,0.862886061835757,2.11552164440954,-0.168010393607343,-0.158843116191515,-0.0137199810154512,-2.6522624082426
"CX11271",-0.00552619945456117,-0.0130302228492228,-0.0140477307891458,3.74502073719786e-05,-0.0019151507748228,-0.00477195056470203,-0.00269955107854906,-0.00174814589987651,-0.00112980311220327,-0.00106869840818032,-0.0229166974528525,-0.0652318427789172,-0.0731998541048083,0.000142138874537845,-0.00747768006578872,-0.0195218289603234,-0.0106690227223177,-0.00680840447980508,-0.00435999165266868,-0.00412050484915388,-0.541565269612065,-1.93215940854925,-2.29045976236463,0.00305669107519029,-0.165635159889127,-0.454541998227294,-0.239376023022642,-0.150410268908492,-0.0953981561612468,-0.0900740313802661,0.127569137674953,0.119975905345126,0.00409905155227391,-1.75329641958941
"CX11276",-0.0108602937420181,-0.0144463540379979,-0.00943453262287238,-0.00220841806682708,-0.00430739596778775,-0.00240133185180083,-0.00484042218267846,-0.00898350718061115,-0.00595860353037717,0.00450829619309473,-0.0413890109734686,-0.0588614896678241,-0.035146611884847,-0.00748551590418173,-0.0149632806000555,-0.00815716415823092,-0.0169256385286103,-0.0332381446442311,-0.0211343822992971,0.0142784523630075,-0.900966834856084,-1.38775377344443,-0.74539489568615,-0.143132945928686,-0.293745140364113,-0.15633766998778,-0.334634218168877,-0.699480289561838,-0.424372317105736,0.254364855177889,0.0988429500636484,0.10316258499469,-0.00684288728256725,-1.63127942453329
"CX11285",0.00129903836990735,-0.000357425998576646,0.0012430384110784,-0.0015545087042573,-0.00104422638740534,-4.4690198776242e-05,0.0030307077580695,0.000364721221267319,-0.000254573366197343,-0.00451066516843217,0.00538587019505932,-0.00152431537046635,0.00515841100246257,-0.00677724977373136,-0.00450914623322472,-0.000189541608819815,0.0122292544036938,0.00153594761330908,-0.00108369984158942,-0.0209248776233029,0.126905146776601,-0.0369689427291273,0.121658603141848,-0.168173812667622,-0.11077974994487,-0.00457086591567432,0.280386321848362,0.0367716389835851,-0.0262333581802122,-0.55485526918753,-0.0101152753928067,-0.0101728692231434,0.000719918645411001,-1.85019067476564
"CX11292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"DL200",-0.00119526934440337,0.0167376867771377,0.0108856929602869,0.0051924940796377,0.00125098657699319,-0.000908479997123832,-0.000562397003967093,0.00137280264820247,0.00125293194842296,0.00669457520156936,-0.00694300914492847,0.0681977164544588,0.0481550465772145,0.0254589044706617,0.00673964203509493,-0.00522576522391285,-0.00319828973461082,0.00737128582120214,0.00674976122507501,0.0318494484994447,-0.230852459245835,1.61854273923774,1.23062557100477,0.715781027194028,0.207595083451885,-0.1720014837853,-0.104038343757011,0.226300995151306,0.207895725786473,0.870421588570193,-0.143224828344702,-0.126345022013834,0.0013056877591448,-2.09287711290846
"DL226",0.00860139529942107,-0.0334855238613411,0.0354331777254274,0.00254530329541543,-0.00130557080334793,0.00763558855962556,-0.0172156572057601,-0.00442612179484225,-0.000118309383112955,-0.00189234591055491,0.0218648150208087,-0.13979540646663,0.0795684410719517,0.00670806685513042,-0.00352904672366108,0.0195165624797126,-0.0532758424502002,-0.012232189294413,-0.000317240510688793,-0.00513588268133161,0.308023923463299,-3.76776562682913,0.985848745021321,0.0981925628518961,-0.0530845677921176,0.276539306623614,-0.933401483804111,-0.188489585641537,-0.00473078686015503,-0.0775942632433941,0.0855012238902335,0.114804096997363,0.00935189106813566,-1.44213208312596
"ECA191",-0.000357391970970421,0.00459690698968393,0.000101036692668932,4.57701913117381e-05,4.13974367653302e-06,8.61540461268759e-05,-0.000460392126716805,-9.07054729814389e-06,0.000389714239589854,0.000156954207778289,-0.00940689322796019,0.0481814689738076,0.00204391640906332,0.000946893627757395,8.71919687271162e-05,0.00175314800389916,-0.0136341680630662,-0.0001921748771785,0.00714696859267274,0.00310825921632977,-1.4207306809089,3.17918879666017,0.235247305271657,0.11134005378729,0.0104312717946942,0.20291355226446,-2.37353052255412,-0.0231229915075555,0.751150920170535,0.35064096549848,-0.158470945452602,-0.140334091849893,-0.00154598917357022,-3.25041678823825
"ECA348",0.000417654505568239,0.0146279735095048,0.00287868833246081,-0.000499282114608395,-0.000499282114608395,0.00248645052476717,0.00154026634221094,-0.000499282114608395,-0.00028651733173592,0.001333927933156,0.00793910947936911,0.100958648374393,0.0358065999963526,-0.0223464813998117,-0.0223464813998117,0.0323226041371745,0.0228302443894774,-0.0223464813998117,-0.00775950521546812,0.020482613430714,0.865697501459591,4.89712092721564,2.73707312412391,-5.87134517731855,-5.87134517731855,2.55948692209041,2.01158988898528,-5.87134517731855,-1.19778430770781,1.85839996647608,-0.165677437412759,-0.144354043880849,-0.00539423533696889,-3.30165399105686
"ECA349",-0.0015579348385911,0.00890499443423132,0.00089662910898097,-0.0032267626993156,-0.000203449201285081,0.000838620987633419,0.00206139363457884,-0.000754681970044768,-0.000637956069363974,0.00217352276741297,-0.0149848544177085,0.0522386302646426,0.00712016417502082,-0.0417419723545984,-0.001736835859533,0.00668255100331888,0.015371469934536,-0.00672745900910479,-0.00563228125345728,0.0161186717603849,-0.832500016059194,1.80986904429521,0.324621127562557,-3.44375510188037,-0.0850621381272606,0.305690964937566,0.660044659105455,-0.344442593544925,-0.285491531086994,0.688572204612017,-0.152880664359401,-0.128623818808393,-0.00733506204600952,-2.45042738280642
"ECA363",-0.00111297273878064,0.00134517488614231,-0.00188960122668552,-0.000205545302305639,-0.00114224435802767,-0.00221525241478013,-0.00104764972630107,-0.000688179353042317,-0.000102220967171088,-0.00143700453626752,-0.0127966849228593,0.0120438069756664,-0.0253937806151206,-0.00210553785872083,-0.0131931822285605,-0.0333029663524955,-0.0119267372728733,-0.00745639653450318,-0.00103582154700731,-0.0174539559506471,-0.849590168922288,0.620972086825433,-2.03278599136298,-0.123738611399121,-0.8803459048087,-3.13086228668199,-0.783231398449055,-0.464326150934386,-0.0602112208825364,-1.23321689388852,-0.108261842979485,-0.0837898781995686,0.000573851392682053,-2.60344128930104
"ECA396",0.000312153314431542,0.060759421544494,0.00827842572290243,-0.00120852095012018,-0.0011444852293076,0.00213116770363337,0.00557908849044988,1.70872634549651e-05,0.000197226241599529,0.00444968658655433,0.00218133716520424,0.188608400471419,0.0447430404298449,-0.0091650798013508,-0.00864568163863538,0.0137873855182187,0.03228674283052,0.000121132462123461,0.00138584745987901,0.0266105846744965,0.0873720799212062,3.71725090805213,1.40912007672702,-0.39918573129248,-0.375021723938449,0.512227477138259,1.08124575010578,0.00492213305994379,0.0558159568825848,0.918365549492255,-0.167447046943025,-0.160392958656767,-0.00929481894182333,-2.30180173476578
