strain A10 A13 mean_rep
AB1 0.000151911493761872 -0.00127299709009192 -0.000560542798165025
BRC20263 -0.000567293208712584 0.00016830870790853 -0.000199492250402027
CB4852 -0.000358211612532168 -0.000128543320849902 -0.000243377466691035
CB4854 -0.0203272184285509 -0.00963037231588488 -0.0149787953722179
CB4855 -0.000919030289713457 -0.000165575140861341 -0.000542302715287399
CB4857 -0.00183030116435528 -0.000312361061581644 -0.00107133111296846
CB4932 -0.0101494838201186 -0.0100170831589035 -0.010083283489511
CX11254 0.00245023650803135 -0.00284513786373765 -0.000197450677853152
CX11262 0.000863077437101016 -0.000931739463486147 -3.43310131925654e-05
CX11264 0 -7.98385932064459e-07 -3.9919296603223e-07
CX11315 0.00246469859841729 -0.000134458154081617 0.00116512022216784
ECA1074 -0.00638330622550536 -0.00279818137688939 -0.00459074380119737
ECA1186 0.0023805048890498 0.00785596835914388 0.00511823662409684
ECA1194 -0.00113575943112188 -0.000665936046039914 -0.000900847738580895
ECA1225 -0.000900792295448367 -0.000382607155172645 -0.000641699725310506
ECA1228 -0.00128842616880541 -0.000418202017576539 -0.000853314093190976
ECA1238 -0.000132506074826406 1.87787090359014e-06 -6.5314101961408e-05
ECA1240 2.22354842576714e-06 -2.38364354898244e-05 -1.08064435320286e-05
ECA1242 -4.58331358439792e-07 -0.000382306231494779 -0.000191382281426609
ECA1247 -0.000987811182294593 -0.00146338514558281 -0.0012255981639387
ECA1255 0.0847638977907287 0.0639869397381097 0.0743754187644192
ECA1257 0.00319787786771072 0.00184720822282627 0.0025225430452685
ECA1271 0.00905746582530922 0.0053695923359381 0.00721352908062366
ECA1278 -0.000252252722782483 -0.00118492666977054 -0.000718589696276512
ECA1281 -0.00522252271417225 -0.00570753314223335 -0.0054650279282028
ECA1286 0.0165260360037768 0.0101227701097939 0.0133244030567853
ECA1288 0.00172951180277997 0.0032455307390173 0.00248752127089863
ECA1289 -2.27153048991383e-05 0 -1.13576524495691e-05
ECA1298 -0.00271053142195101 -0.00510272861892006 -0.00390663002043553
ECA1413 -0.00902315554238081 -0.00675117633005892 -0.00788716593621987
ECA1493 -0.000397780356788312 -0.000284871572237843 -0.000341325964513078
ECA1793 -3.81387910303883e-05 0.000132499342170751 4.71802755701814e-05
ECA189 -0.036742476726521 -0.0345212783761977 -0.0356318775513593
ECA191 -5.86976693416579e-05 -5.81275101591256e-07 -2.96394722216246e-05
ECA2648 -0.00327140460296372 -0.003933849046779 -0.00360262682487136
ECA2672 -0.00507481621896993 -0.00484162261735965 -0.00495821941816479
ECA369 0.00064061043616223 -5.06843825737679e-05 0.000294963026794231
ECA592 -0.00226506776290638 -0.00138524659399901 -0.00182515717845269
ECA593 -1.70329476077092e-05 0.00145374272665029 0.000718354889521291
