strain	og_trait	half	strict	loose
AB1	1	0	0	0
BRC20263	2	0	0	0
CB4852	2	0	0	0
CB4854	3	0	0	1
CB4932	1	0	0	0
CX11262	1	0	0	0
CX11264	2	0	0	0
CX11271	0	0	0	0
CX11276	1	0	0	0
CX11285	1	0	0	0
CX11292	1	0	0	0
CX11315	2	0	0	0
DL200	1	0	0	0
DL226	1	0	0	0
ECA1186	5	1	1	1
ECA1255	5	1	1	1
ECA1286	5	1	1	1
ECA189	2	0	0	0
ECA191	1	0	0	0
ECA348	1	0	0	0
ECA349	1	0	0	0
ECA363	1	0	0	0
ECA369	3	0	0	1
ECA372	2	0	0	0
ECA396	1	0	0	0
ECA738	5	1	1	1
ECA760	5	1	1	1
ED3005	0	0	0	0
ED3011	1	0	0	0
ED3012	1	0	0	0
ED3040	3	0	0	1
ED3046	2	0	0	0
ED3048	1	0	0	0
ED3049	1	0	0	0
ED3052	4	1	0	1
ED3073	0	0	0	0
ED3077	1	0	0	0
EG4347	2	0	0	0
EG4349	3	0	0	1
EG4724	3	0	0	1
EG4946	0	0	0	0
GXW1	1	0	0	0
JU1088	1	0	0	0
JU1172	1	0	0	0
JU1200	1	0	0	0
JU1213	2	0	0	0
JU1242	1	0	0	0
JU1246	4	1	0	1
JU1249	2	0	0	0
JU1409	3	0	0	1
JU1440	2	0	0	0
JU1491	1	0	0	0
JU1530	2	0	0	0
JU1543	1	0	0	0
JU1568	1	0	0	0
JU1581	4	1	0	1
JU1586	1	0	0	0
JU1652	1	0	0	0
JU1666	1	0	0	0
JU1792	1	0	0	0
JU1793	2	0	0	0
JU1808	1	0	0	0
JU1896	1	0	0	0
JU1934	2	0	0	0
JU2001	1	0	0	0
JU2007	1	0	0	0
JU2016	1	0	0	0
JU2017	2	0	0	0
JU2131	2	0	0	0
JU2141	3	0	0	1
JU2234	3	0	0	1
JU2250	1	0	0	0
JU2257	2	0	0	0
JU2466	1	0	0	0
JU2478	2	0	0	0
JU2513	2	0	0	0
JU2519	1	0	0	0
JU2522	5	1	1	1
JU2526	4	1	0	1
JU2534	1	0	0	0
JU2565	1	0	0	0
JU2566	3	0	0	1
JU2570	3	0	0	1
JU2572	4	1	0	1
JU2575	2	0	0	0
JU2578	1	0	0	0
JU2581	1	0	0	0
JU2587	2	0	0	0
JU2592	4	1	0	1
JU2593	3	0	0	1
JU2610	3	0	0	1
JU2619	2	0	0	0
JU2800	1	0	0	0
JU2811	1	0	0	0
JU2862	2	0	0	0
JU2878	2	0	0	0
JU2906	1	0	0	0
JU310	0	0	0	0
JU311	0	0	0	0
JU3125	1	0	0	0
JU3127	1	0	0	0
JU3132	5	1	1	1
JU3134	2	0	0	0
JU3135	2	0	0	0
JU3137	1	0	0	0
JU323	3	0	0	1
JU3291	5	1	1	1
JU346	3	0	0	1
JU360	3	0	0	1
JU367	3	0	0	1
JU393	4	1	0	1
JU394	2	0	0	0
JU397	2	0	0	0
JU406	3	0	0	1
JU440	2	0	0	0
JU642	1	0	0	0
JU774	2	0	0	0
JU778	2	0	0	0
JU782	2	0	0	0
JU792	2	0	0	0
JU830	3	0	0	1
JU847	3	0	0	1
KR314	3	0	0	1
MY1	4	1	0	1
MY10	4	1	0	1
MY18	2	0	0	0
MY2212	1	0	0	0
MY2453	0	0	0	0
MY2530	1	0	0	0
MY2535	2	0	0	0
MY2573	2	0	0	0
MY2693	1	0	0	0
MY2741	1	0	0	0
MY679	0	0	0	0
MY920	1	0	0	0
NIC1	3	0	0	1
NIC1107	2	0	0	0
NIC166	3	0	0	1
NIC195	1	0	0	0
NIC199	2	0	0	0
NIC2	1	0	0	0
NIC207	1	0	0	0
NIC236	3	0	0	1
NIC242	3	0	0	1
NIC251	1	0	0	0
NIC252	5	1	1	1
NIC255	3	0	0	1
NIC256	2	0	0	0
NIC259	2	0	0	0
NIC260	1	0	0	0
NIC261	1	0	0	0
NIC262	1	0	0	0
NIC265	0	0	0	0
NIC266	1	0	0	0
NIC268	5	1	1	1
NIC269	3	0	0	1
NIC271	1	0	0	0
NIC272	3	0	0	1
NIC274	4	1	0	1
NIC275	4	1	0	1
NIC276	1	0	0	0
NIC277	3	0	0	1
NIC3	5	1	1	1
NIC513	4	1	0	1
NIC514	3	0	0	1
NIC522	2	0	0	0
NIC523	1	0	0	0
NIC526	1	0	0	0
NIC527	1	0	0	0
NIC528	1	0	0	0
NIC529	0	0	0	0
PB303	1	0	0	0
PX179	1	0	0	0
QG2075	1	0	0	0
QG2832	4	1	0	1
QG536	1	0	0	0
QG556	1	0	0	0
QG557	1	0	0	0
QW947	1	0	0	0
QX1211	5	1	1	1
QX1212	3	0	0	1
QX1233	2	0	0	0
QX1791	1	0	0	0
QX1792	2	0	0	0
QX1793	2	0	0	0
QX1794	0	0	0	0
RC301	1	0	0	0
WN2001	3	0	0	1
WN2002	1	0	0	0
XZ1513	1	0	0	0
XZ1516	1	0	0	0
