Strain	Set
AB1	B
CB4854	B
CB4932	B
ECA248	B
ECA259	B
ED3005	B
ED3046	B
ED3073	B
ED3077	B
EG4349	B
JU1200	B
JU1212	B
JU1246	B
JU1400	B
JU1530	B
JU1580	B
JU1586	B
JU2001	B
JU2513	B
JU2522	B
JU310	B
JU367	B
JU393	B
JU394	B
JU406	B
JU778	B
JU792	B
JU847	B
MY10	B
MY18	B
NIC166	B
NIC195	B
NIC207	B
NIC236	B
NIC242	B
NIC251	B
NIC255	B
NIC265	B
NIC266	B
NIC271	B
NIC272	B
NIC276	B
PX179	B
QG557	B
QW947	B
QX1212	B
CB4852	C
CX11254	C
CX11262	C
CX11264	C
CX11292	C
CX11315	C
ECA250	C
ECA252	C
ED3011	C
ED3012	C
EG4347	C
EG4724	C
EG4946	C
GXW1	C
JU1491	C
JU1652	C
JU1896	C
JU2526	C
JU397	C
JU642	C
JU751	C
JU782	C
LSJ1	C
NIC259	C
NIC262	C
NIC268	C
NIC269	C
NIC526	C
NIC527	C
NIC528	C
NIC529	C
QG536	C
QG556	C
QX1211	C
QX1233	C
QX1791	C
QX1792	C
QX1793	C
RC301	C
WN2001	C
CX11271	A
CX11276	A
CX11285	A
DL200	A
DL226	A
ECA251	A
ECA36	A
ED3040	A
ED3048	A
ED3049	A
ED3052	A
JU1088	A
JU1172	A
JU1213	A
JU1242	A
JU1409	A
JU1440	A
JU1568	A
JU1581	A
JU2007	A
JU2466	A
JU2519	A
JU311	A
JU323	A
JU346	A
JU360	A
JU440	A
JU774	A
JU830	A
KR314	A
MY1	A
NIC1	A
NIC199	A
NIC2	A
NIC252	A
NIC256	A
NIC260	A
NIC261	A
NIC274	A
NIC275	A
NIC277	A
NIC3	A
PB303	A
QG2075	A
QX1794	A
WN2002	A
ECA348	D
ECA349	D
ECA363	D
ECA372	D
ECA396	D
JU1793	D
JU1543	D
JU1808	D
JU2131	D
JU2141	D
JU2234	D
JU2534	D
JU2565	D
JU2566	D
JU2578	D
JU2587	D
JU2593	D
JU2800	D
JU2862	D
JU2878	D
JU2906	D
JU3125	D
JU3127	D
JU3134	D
JU3135	D
JU3137	D
MY2212	D
MY2453	D
MY2530	D
MY2535	D
MY2573	D
MY2693	D
MY2741	D
MY679	D
MY920	D
NIC1107	D
NIC513	D
NIC514	D
NIC522	D
NIC523	D
XZ1513	D
XZ1516	D
BRC20263	E
ECA189	E
ECA191	E
JU1666	E
ECA369	E
JU1249	E
JU1792	E
JU1934	E
JU2016	E
JU2017	E
JU2250	E
JU2257	E
JU2478	E
JU2570	E
JU2572	E
JU2575	E
JU2581	E
JU2586	E
JU2592	E
JU2610	E
JU2619	E
JU2811	E
JU2825	E
JU2838	E
JU2841	E
JU2853	E
JU2907	E
JU3128	E
JU3132	E
JU3144	E
MY2147	E
MY2585	E
MY2713	E
MY518	E
MY772	E
MY795	E
NIC1049	E
NIC501	E
NIC511	E
NIC515	E
WN2050	E
WN2063	E
WN2064	E
WN2066	E
XZ1515	E
ECA347	F
ECA592	F
ECA593	F
ECA1278	F
ECA703	F
ECA705	F
ECA706	F
ECA712	F
ECA722	F
ECA730	F
ECA733	F
ECA738	F
ECA740	F
ECA742	F
ECA743	F
ECA744	F
ECA760	F
ECA778	F
ECA1247	F
ECA923	F
ECA928	F
ECA930	F
JU3166	F
JU3169	F
JU3225	F
JU3282	F
JU3291	F
NIC1119	F
ECA1288	F
NIC1780	F
QG2823	F
NIC1788	F
QG2832	F
NIC1794	F
QG2837	F
QG2841	F
TWN2530	F
QG2846	F
QG2855	F
QG2857	F
QG2873	F
ECA1186	F
XZ1734	F
ECA1255	F
XZ1756	F
XZ2019	F
XZ2020	F
ECA1413	G
ECA1286	G
ECA1257	G
ECA1793	G
ECA1271	G
ECA2648	G
ECA1289	G
ECA1281	G
ECA723	G
ECA1242	G
ECA1225	G
ECA710	G
ECA745	G
XZ2211	G
ECA1240	G
ECA741	G
ECA1194	G
ECA777	G
ECA812	G
ECA1074	G
ECA1195	G
ECA1228	G
ECA1238	G
ECA1251	G
JU3141	G
JU3167	G
JU3224	G
JU3226	G
ECA2672	G
JU3280	G
NIC1785	G
NIC1789	G
NIC1799	G
ECA1298	G
ECA1493	G
QG2827	G
QG2828	G
QG2835	G
QG2838	G
QG2850	G
QG2854	G
QG2874	G
QG2875	G
QG2932	G
WN2069	G
WN2086	G
XZ1672	G
XZ2018	G
QG2818	H
NIC258	H
NIC231	H
JU1395	H
JU2464	H
JU3228	H
ECA246	H
ECA724	H
ECA768	H
ECA594	H
ECA807	H
QG2813	H
QG2836	H
XZ1735	H
JU2106	H
XZ1514	H
JU3140	H
JU2866	H
ECA1223	H
ECA1232	H
ECA1229	H
ECA1216	H
ECA1261	H
ECA1269	H
ECA1208	H
ECA1193	H
ECA1069	H
ECA1260	H
ECA1191	H
ECA1237	H
ECA1276	H
NIC1796	H
ECA1253	H
NIC1779	H
ECA2659	H
NIC1801	H
ECA1887	H
NIC1798	H
NIC1786	H
ECA2660	H
NIC1783	H
NIC1787	H
QG2843	H
ECA1185	H
CX11307	H
ECA1287	H
ECA1283	H
QG2811	H
QG2825	H
QG2877	H
NIC267	H
QG2824	H
ECA732	H
NIC1832	H
ECA1293	H
