strain	rep	ctrl_frq_boot	ctrl_frq_boot_se	pos1_frq_boot	pos1_frq_boot_se	delta_freq	direction
AB1	A	1.7076615522722727e-4	5.126037240459669e-4	3.2267764898909955e-4	8.303212439694875e-4	1.5191149376187228e-4	increase
AB1	B	0.0012729970900919223	0.0016421657591883312	0	0	-0.0012729970900919223	decrease
BRC20263	A	9.821901105424452e-4	0.001248549453056181	4.1489690182986116e-4	8.187583864580823e-4	-5.672932087125841e-4	decrease
BRC20263	B	1.6340196656143612e-4	3.885655603084439e-4	3.317106744699658e-4	7.543652602822733e-4	1.683087079085297e-4	increase
CB4852	A	3.582116125321675e-4	9.214029183841185e-4	0	0	-3.582116125321675e-4	decrease
CB4852	B	1.2854332084990164e-4	4.587311874408875e-4	0	0	-1.2854332084990164e-4	decrease
CB4854	A	0.03018948164374478	0.005419458130813712	0.009862263215193921	0.006311806188311647	-0.02032721842855086	decrease
CB4854	B	0.03178582007443172	0.005737443127036942	0.02215544775854684	0.004428801626145396	-0.009630372315884875	decrease
CB4855	A	9.190302897134573e-4	0.002243814365886803	0	0	-9.190302897134573e-4	decrease
CB4855	B	1.8931452091031168e-4	7.009998076987939e-4	2.3739380048970936e-5	1.7250358238489003e-4	-1.6557514086134074e-4	decrease
CB4857	A	0.001830301164355284	0.0020055014286020118	0	0	-0.001830301164355284	decrease
CB4857	B	3.123610615816443e-4	8.58421509953653e-4	0	0	-3.123610615816443e-4	decrease
CB4932	A	0.01216042515710304	0.007110879161990082	0.0020109413369844777	0.0034257626887323903	-0.010149483820118562	decrease
CB4932	B	0.01564298947366855	0.006451816849730657	0.005625906314765075	0.005197275784230312	-0.010017083158903473	decrease
CX11254	A	0.002166169845599851	0.001814093632398816	0.0046164063536312	0.0026096696669124604	0.002450236508031349	increase
CX11254	B	0.003942364388012891	0.0017939589592321946	0.0010972265242752384	0.001158372834275029	-0.0028451378637376528	decrease
CX11262	A	0.007085672072818762	0.002875178689576729	0.007948749509919778	0.004130096372362168	8.630774371010163e-4	increase
CX11262	B	0.007469465519433219	0.0028711417423670227	0.006537726055947072	0.003348014997579018	-9.31739463486147e-4	decrease
CX11264	A	0	0	0	0	0	increase
CX11264	B	7.983859320644595e-7	7.983859320644594e-6	0	0	-7.983859320644595e-7	decrease
CX11292	A	0	0	0	0	0	increase
CX11292	B	0	0	0	0	0	increase
CX11315	A	5.90171116800669e-6	4.2710369811682236e-5	0.0024706003095852956	0.0026329092140300638	0.002464698598417289	increase
CX11315	B	3.2297752238299586e-4	7.23419806319328e-4	1.885193683013785e-4	5.523776895052883e-4	-1.3445815408161737e-4	decrease
ECA1074	A	0.006540598744338728	0.004778800189782883	1.5729251883337222e-4	6.03362096896208e-4	-0.006383306225505356	decrease
ECA1074	B	0.002916868702159522	0.0033270936807301035	1.1868732527013068e-4	4.944997041386259e-4	-0.002798181376889391	decrease
ECA1186	A	2.0236575906384832e-4	5.37510959222547e-4	0.0025828706481136493	0.002597910506710008	0.002380504889049801	increase
ECA1186	B	2.4570734840692333e-4	6.234767287272608e-4	0.008101675707550805	0.002694360524321363	0.007855968359143883	increase
ECA1194	A	0.0011368411548789109	3.2871023491013373e-4	1.0817237570345607e-6	1.0817237570345606e-5	-0.0011357594311218763	decrease
ECA1194	B	6.659360460399141e-4	4.67301553825439e-4	0	0	-6.659360460399141e-4	decrease
ECA1195	A	0	0	0	0	0	increase
ECA1195	B	0	0	0	0	0	increase
ECA1225	A	9.98040900770013e-4	3.911505490693662e-4	9.724860532164593e-5	1.8988328132733695e-4	-9.00792295448367e-4	decrease
ECA1225	B	6.418937788673171e-4	3.9000871101392245e-4	2.592866236946726e-4	3.1729077644867637e-4	-3.8260715517264457e-4	decrease
ECA1228	A	0.0013713662666332946	3.340973794137963e-4	8.294009782788224e-5	1.8194963871987694e-4	-0.0012884261688054124	decrease
ECA1228	B	0.0011748239229410087	3.582252320542794e-4	7.566219053644693e-4	3.95944342650811e-4	-4.182020175765394e-4	decrease
ECA1238	A	1.7275937751735218e-4	2.4187140405090485e-4	4.02533026909461e-5	1.3213349813806814e-4	-1.325060748264061e-4	decrease
ECA1238	B	0	0	1.877870903590142e-6	1.877870903590142e-5	1.877870903590142e-6	increase
ECA1240	A	0	0	2.2235484257671406e-6	2.2235484257671404e-5	2.2235484257671406e-6	increase
ECA1240	B	2.383643548982435e-5	8.331032848670241e-5	0	0	-2.383643548982435e-5	decrease
ECA1242	A	4.583313584397916e-7	4.583313584397916e-6	0	0	-4.583313584397916e-7	decrease
ECA1242	B	3.82306231494779e-4	5.197907864939746e-4	0	0	-3.82306231494779e-4	decrease
ECA1247	A	0.0010320162061876394	5.001089024043123e-4	4.4205023893046525e-5	1.298561293220594e-4	-9.87811182294593e-4	decrease
ECA1247	B	0.0017104899262019432	5.734002450379106e-4	2.471047806191369e-4	3.1322959183732236e-4	-0.0014633851455828064	decrease
ECA1251	A	0	0	0	0	0	increase
ECA1251	B	0	0	0	0	0	increase
ECA1255	A	0.0034887042470476146	9.097946849776274e-4	0.08825260203777634	0.002366256180153705	0.08476389779072872	increase
ECA1255	B	0.004692037170420324	9.800355009161861e-4	0.06867897690853002	0.001298143667605277	0.06398693973810969	increase
ECA1257	A	1.1375319930287369e-4	2.8209223539870575e-4	0.003311631067013597	0.0015216564591381306	0.0031978778677107236	increase
ECA1257	B	5.712442361451756e-4	6.491666874806354e-4	0.0024184524589714457	0.0012926488035389682	0.00184720822282627	increase
ECA1271	A	0.001946751542527765	0.001092300161882344	0.011004217367836983	0.003382302972245464	0.009057465825309217	increase
ECA1271	B	0.0039046962012755176	0.0012861471334335087	0.009274288537213621	0.0026826577492415292	0.005369592335938103	increase
ECA1278	A	2.522527227824829e-4	3.0112529442053094e-4	0	0	-2.522527227824829e-4	decrease
ECA1278	B	0.0011849266697705407	3.7299388161115855e-4	0	0	-0.0011849266697705407	decrease
ECA1281	A	0.005222522714172255	3.952477427730855e-4	0	0	-0.005222522714172255	decrease
ECA1281	B	0.005707533142233352	4.09580963842588e-4	0	0	-0.005707533142233352	decrease
ECA1286	A	7.47204067956344e-4	4.4948666580641355e-4	0.017273240071733097	4.713468909409333e-4	0.016526036003776754	increase
ECA1286	B	6.324962601910138e-4	4.4256063990387814e-4	0.010755266369984895	4.4497170772247823e-4	0.01012277010979388	increase
ECA1288	A	0.001110401314721234	0.001424498635734946	0.002839913117501202	0.002541881976318824	0.001729511802779968	increase
ECA1288	B	0.0011600872127981495	0.0014702353401199813	0.0044056179518154465	0.002233083718939979	0.003245530739017297	increase
ECA1289	A	2.2715304899138298e-5	1.0384762611820533e-4	0	0	-2.2715304899138298e-5	decrease
ECA1289	B	0	0	0	0	0	increase
ECA1298	A	0.003250566960827463	9.643068739295924e-4	5.40035538876451e-4	6.639955249962286e-4	-0.002710531421951012	decrease
ECA1298	B	0.006670836471886454	9.123760175120087e-4	0.0015681078529663972	8.793635995313831e-4	-0.005102728618920057	decrease
ECA1413	A	0.0091578451291818	0.0010423300818569404	1.3468958680098672e-4	3.3281272834022086e-4	-0.009023155542380814	decrease
ECA1413	B	0.007933691439933287	0.0011301639408398578	0.001182515109874364	7.425308479360603e-4	-0.006751176330058923	decrease
ECA1493	A	6.121110147328426e-4	3.444225207627357e-4	2.143306579445308e-4	2.7336852475455016e-4	-3.977803567883118e-4	decrease
ECA1493	B	4.101551854240776e-4	3.391603074239188e-4	1.2528361318623436e-4	1.8204537064507337e-4	-2.848715722378433e-4	decrease
ECA1793	A	4.164185927646851e-5	7.685506171185193e-5	3.503068246080169e-6	2.7168643739580872e-5	-3.813879103038834e-5	decrease
ECA1793	B	2.1144571386800273e-5	5.997931394764765e-5	1.5364391355755138e-4	1.7289738799981647e-4	1.324993421707511e-4	increase
ECA189	A	0.03963977008599664	9.847997815984018e-4	0.0028972933594756446	0.001203982260031826	-0.03674247672652099	decrease
ECA189	B	0.03673337552993893	0.0010003051902575564	0.002212097153741258	0.0010968727609051805	-0.03452127837619767	decrease
ECA191	A	5.8697669341657855e-5	1.9460737132036932e-4	0	0	-5.8697669341657855e-5	decrease
ECA191	B	5.812751015912561e-7	5.812751015912562e-6	0	0	-5.812751015912561e-7	decrease
ECA2648	A	0.00327140460296372	0.0017714311513341238	0	0	-0.00327140460296372	decrease
ECA2648	B	0.003939249906091829	0.0020336233147922812	5.400859312825868e-6	5.400859312825868e-5	-0.003933849046779003	decrease
ECA2672	A	0.005628720035289719	0.0017438000535562334	5.539038163197861e-4	0.001067826475066517	-0.0050748162189699336	decrease
ECA2672	B	0.004992737298660992	0.0017251412906910677	1.5111468130134495e-4	0.00049701817855419975	-0.004841622617359647	decrease
ECA347	A	0	0	0	0	0	increase
ECA347	B	0	0	0	0	0	increase
ECA369	A	0.002090838531625217	6.726591987890107e-4	0.0027314489677874474	6.488787004981823e-4	6.406104361622303e-4	increase
ECA369	B	0.0021622680457081887	6.254862973371408e-4	0.002111583663134421	5.000276613864257e-4	-5.068438257376786e-5	decrease
ECA592	A	0.002265067762906375	0.0012425323226630696	0	0	-0.002265067762906375	decrease
ECA592	B	0.0014413512091946302	0.0011172753145185968	5.610461519561534e-5	2.3817123566439283e-4	-0.0013852465939990148	decrease
ECA593	A	2.1647500353522254e-5	1.74887968696668e-4	4.614552745813014e-6	3.55541445485328e-5	-1.703294760770924e-5	decrease
ECA593	B	2.071667170547115e-4	4.2673867329415753e-4	0.0016609094437050023	0.0011717874239521406	0.0014537427266502908	increase
ECA703	A	5.42257131288023e-4	9.115635253484201e-4	6.717159519150482e-4	0.0010946912346283043	1.2945882062702526e-4	increase
ECA703	B	5.990141204236409e-4	0.001015897415983708	3.607454695493971e-4	5.88828669947177e-4	-2.3826865087424385e-4	decrease
ECA705	A	0.007576517612441079	0.0011231494087213087	0.002518550637943405	9.489606866984005e-4	-0.005057966974497674	decrease
ECA705	B	0.008260266989295334	0.0010865217493170915	4.78052792899776e-4	6.12240008263191e-4	-0.007782214196395558	decrease
ECA706	A	1.2355667217126795e-4	2.978905274849167e-4	3.9855397266863066e-5	1.5298611874165608e-4	-8.37012749044049e-5	decrease
ECA706	B	5.723313696259513e-4	8.179717419556661e-4	1.000708772276212e-4	2.9165636568072507e-4	-4.7226049239833007e-4	decrease
ECA710	A	2.1539014116750884e-5	1.866782145571069e-4	2.815395338386696e-4	8.759342683293201e-4	2.600005197219187e-4	increase
ECA710	B	1.1498236547833183e-5	8.619837917376677e-5	1.4649553024219626e-5	1.1897486512573662e-4	3.1513164763864425e-6	increase
ECA712	A	0.005479407554813862	0.001659031750752582	0.006285579498070369	0.00182497311027001	8.061719432565072e-4	increase
ECA712	B	0.00622941464878275	0.0018587633634569412	0.006686681814606961	0.0012005883863105932	4.5726716582421105e-4	increase
ECA722	A	4.823462928555918e-4	3.401629643258287e-4	0	0	-4.823462928555918e-4	decrease
ECA722	B	3.394387858102812e-5	9.111014930234941e-5	0	0	-3.394387858102812e-5	decrease
ECA723	A	5.699004318768675e-4	3.195647638629942e-4	0	0	-5.699004318768675e-4	decrease
ECA723	B	2.0191191811165486e-5	5.869674338927794e-5	1.3639564641684647e-6	1.3639564641684646e-5	-1.8827235346997022e-5	decrease
ECA730	A	7.10582708133861e-5	1.799456632663841e-4	0	0	-7.10582708133861e-5	decrease
ECA730	B	5.5204085421869375e-5	1.418620964910261e-4	9.62846920423485e-5	1.9915019765348756e-4	4.108060662047913e-5	increase
ECA733	A	1.2978395170705224e-4	3.732980711327153e-4	4.304535020489706e-4	8.599082620655827e-4	3.0066955034191835e-4	increase
ECA733	B	7.645955256004146e-5	2.3619978304914528e-4	2.2898510795176874e-4	5.244575825952641e-4	1.5252555539172727e-4	increase
ECA738	A	0.00390977942587594	7.917929455392973e-4	0.07512409987150846	0.0015522864992487636	0.07121432044563253	increase
ECA738	B	0.004962210630618959	7.780382891321645e-4	0.036241565441643475	9.505703236293656e-4	0.031279354811024514	increase
ECA740	A	0	0	0	0	0	increase
ECA740	B	1.0702688760455732e-4	1.731234914867508e-4	0	0	-1.0702688760455732e-4	decrease
ECA741	A	0	0	0	0	0	increase
ECA741	B	1.0206442718761832e-6	1.0206442718761831e-5	0	0	-1.0206442718761832e-6	decrease
ECA742	A	2.3607805119581192e-6	1.674192006718962e-5	0	0	-2.3607805119581192e-6	decrease
ECA742	B	0	0	0	0	0	increase
ECA743	A	0.0039726175431498475	9.577083738786926e-4	0.007982042511653964	0.0010436293637000238	0.0040094249685041165	increase
ECA743	B	9.329602205107666e-4	8.015560831380516e-4	0.006138751031760719	8.321933310512818e-4	0.005205790811249952	increase
ECA744	A	0	0	0	0	0	increase
ECA744	B	3.419463413316888e-6	3.419463413316888e-5	3.4520359630074113e-4	3.424207736489942e-4	3.4178413288742424e-4	increase
ECA745	A	0	0	0	0	0	increase
ECA745	B	1.6957758222921915e-4	2.4403921385345243e-4	0	0	-1.6957758222921915e-4	decrease
ECA760	A	2.23678545891298e-4	7.2808377937028e-4	0.010584740183143608	0.01643278503606724	0.010361061637252311	increase
ECA760	B	2.8140992299488792e-5	1.5199926893459467e-4	0.009196793063509059	0.013318281482803972	0.00916865207120957	increase
ECA777	A	0.0052692600806530055	0.0021009778928519785	0.04473667893161291	0.016843955805495192	0.039467418850959904	increase
ECA777	B	0.003727723636627589	0.0018781529951098612	0.03942708421681361	0.014213538478083373	0.035699360580186024	increase
ECA778	A	3.122955193293348e-4	9.660191513353551e-4	7.931888696499414e-4	0.0012509970278512333	4.808933503206066e-4	increase
ECA778	B	2.426590261127984e-4	8.05106493861372e-4	0.0018723372164514886	0.0019812617144451517	0.0016296781903386902	increase
ECA812	A	5.094713108069457e-4	6.455077139993778e-4	3.0734675410324974e-4	5.702802919183385e-4	-2.0212455670369592e-4	decrease
ECA812	B	4.758554040224676e-6	3.690070476606693e-5	0.001093120783157501	0.0011137124221196806	0.0010883622291172764	increase
ECA923	A	0.010308726101689588	0.002194267723929412	0.004933746673939738	0.0013006770708306997	-0.00537497942774985	decrease
ECA923	B	0.01019307488502948	0.0021377508582950825	0.007130573417213181	0.0011797661063333252	-0.003062501467816299	decrease
ECA928	A	1.1632014422598293e-5	7.611574122143683e-5	0	0	-1.1632014422598293e-5	decrease
ECA928	B	6.18466036982423e-5	2.3827741080297872e-4	0	0	-6.18466036982423e-5	decrease
ECA930	A	0.00574345346608961	0.003515546955199694	2.7174050772630823e-4	9.00404326840815e-4	-0.005471712958363302	decrease
ECA930	B	0.0040739940103782036	0.003029103662046195	1.2629737571960103e-4	5.522157891889441e-4	-0.003947696634658602	decrease
ED3005	A	0.001378803948991686	0.002054948989589286	0	0	-0.001378803948991686	decrease
ED3005	B	0.003063741412325912	0.0029657677880694172	1.5709064114477157e-5	9.815234636355565e-5	-0.003048032348211435	decrease
ED3011	A	0.0037936819127737526	0.0035022323375918742	0	0	-0.0037936819127737526	decrease
ED3011	B	0.0011709583718227607	0.0020554446233885743	0	0	-0.0011709583718227607	decrease
ED3012	A	0	0	0	0	0	increase
ED3012	B	0	0	0	0	0	increase
ED3046	A	0.011322781318852646	0.004058254528783938	0	0	-0.011322781318852646	decrease
ED3046	B	0.006715258172052054	0.004020729412117376	0	0	-0.006715258172052054	decrease
ED3073	A	0.0109174234189831	0.006954134855202289	0.0028479162618736177	0.003855750800336331	-0.008069507157109483	decrease
ED3073	B	0.011613739436073044	0.007513253442426975	0.0024431482544021235	0.0028111601315564676	-0.00917059118167092	decrease
ED3077	A	0.014803681542283634	0.0025589598100008455	0	0	-0.014803681542283634	decrease
ED3077	B	0.00958285878373491	0.003277364285731813	0	0	-0.00958285878373491	decrease
EG4347	A	0.002096633580767883	0.0037124228918979205	0	0	-0.002096633580767883	decrease
EG4347	B	0.004056403357705767	0.005224812122547431	0	0	-0.004056403357705767	decrease
EG4349	A	2.374132423495764e-4	5.960311853509475e-4	1.4865554073647115e-4	4.915036710552032e-4	-8.875770161310525e-5	decrease
EG4349	B	4.417127236278605e-4	9.090463801493734e-4	0.0012907505751423637	0.0013881861312102781	8.490378515145032e-4	increase
EG4724	A	1.845821567061341e-5	1.2423138099422758e-4	1.1203991453945209e-4	4.907511187758019e-4	9.358169886883868e-5	increase
EG4724	B	1.521314878059029e-4	5.435027268163333e-4	3.876572693084183e-5	2.289966372486696e-4	-1.1336576087506106e-4	decrease
EG4946	A	2.4332158744486146e-4	8.355046668284006e-4	0	0	-2.4332158744486146e-4	decrease
EG4946	B	1.837293233428179e-4	7.426722832982478e-4	0	0	-1.837293233428179e-4	decrease
GXW1	A	0.005652351898495768	0.0037791371387253104	0	0	-0.005652351898495768	decrease
GXW1	B	0.002792900865872219	0.0030118305776177944	0	0	-0.002792900865872219	decrease
JU1200	A	7.888329815949436e-5	7.502325908358528e-4	0	0	-7.888329815949436e-5	decrease
JU1200	B	1.247678132648634e-4	6.135983050329872e-4	0	0	-1.247678132648634e-4	decrease
JU1212	A	0.015135390800336221	0.005850548152047552	0.030201529958807906	0.009185031403495929	0.015066139158471685	increase
JU1212	B	0.013796460115689182	0.006171467847728203	0.01752628891447059	0.0058592807718250445	0.0037298287987814083	increase
JU1246	A	0.014012492411489939	0.004311947410365703	0.06434019284987681	0.0032574297465804833	0.05032770043838687	increase
JU1246	B	0.016768105923112786	0.0038180162191865136	0.05006417567166739	0.0025319206901429784	0.033296069748554605	increase
JU1249	A	0	0	0	0	0	increase
JU1249	B	0	0	6.308941566548214e-5	3.012465550230216e-4	6.308941566548214e-5	increase
JU1400	A	0.0012151579072677606	0.0015819728224528244	0.0051267647457397285	0.003976846221399974	0.003911606838471968	increase
JU1400	B	0.0019731536518489325	0.002197779763793279	0.001486113614590864	0.0017877788717916376	-4.870400372580686e-4	decrease
JU1491	A	2.1246216426787996e-5	1.2443368771885316e-4	0	0	-2.1246216426787996e-5	decrease
JU1491	B	0	0	3.204313300048217e-6	3.204313300048217e-5	3.204313300048217e-6	increase
JU1530	A	5.709811759628268e-4	0.001790520480916286	2.32053151476824e-4	8.677166080668457e-4	-3.389280244860028e-4	decrease
JU1530	B	6.802912821455982e-4	0.001984487699573141	0.0013378125003555093	0.0030148346720230822	6.575212182099111e-4	increase
JU1586	A	0.00270353752707438	0.0035675461200135807	2.1415690000629777e-4	7.99406163457595e-4	-0.002489380627068082	decrease
