strain	mean_delta_freq	n_reps
JU3291	0.10125250975681555	2
ECA1255	0.07437541876441921	2
ECA738	0.05124683762832852	2
JU1246	0.04181188509347074	2
ECA777	0.037583389715572964	2
JU3132	0.032515011912650896	2
JU2522	0.032483124252383797	2
QG2832	0.021281972310864723	2
JU1934	0.017171872660998184	2
JU2610	0.014767642084733551	2
ECA1286	0.013324403056785318	2
JU1793	0.0129205069616516	2
ECA760	0.009764856854230942	2
JU1212	0.009397983978626546	2
ECA1271	0.00721352908062366	2
NIC269	0.006881000204687651	2
JU3167	0.006722170031746897	2
WN2050	0.005602629309710455	2
ECA1186	0.005118236624096842	2
WN2063	0.004791743771860099	2
ECA743	0.004607607889877035	2
JU3144	0.003932401296255677	2
NIC268	0.0034328156086034026	2
XZ2019	0.003131102198518289	2
NIC501	0.002899841016838866	2
ECA1257	0.0025225430452684968	2
ECA1288	0.0024875212708986324	2
NIC1785	0.0024625599507902664	2
JU1400	0.0017122834006069497	2
JU394	0.0016735534278322145	2
QX1792	0.0012850883017102026	2
CX11315	0.0011651202221678357	2
ECA778	0.0010552857703296484	2
ECA593	7.183548895212908e-4	2
ECA712	6.317195545403591e-4	2
ECA812	4.431188362067903e-4	2
XZ1734	4.289040753009569e-4	2
JU393	4.231424877038175e-4	2
EG4349	3.8014007495069897e-4	2
JU3226	3.6620804145736817e-4	2
QG556	3.550586412296293e-4	2
JU2825	3.131111936844664e-4	2
ECA369	2.949630267942312e-4	2
ECA733	2.265975528668228e-4	2
JU2570	1.8465354984350578e-4	2
ECA744	1.7089206644371212e-4	2
JU1530	1.5929659686195414e-4	2
QG2837	1.4612659948354929e-4	2
ECA710	1.3157591809915257e-4	2
JU3169	1.1103475518015973e-4	2
MY2147	6.863871907916339e-5	2
ECA1793	4.7180275570181385e-5	2
WN2086	3.818195608746201e-5	2
JU1249	3.154470783274107e-5	2
JU2838	1.901413144328427e-5	2
JU2592	8.25427576068436e-6	2
QG2841	1.2767405268569202e-6	2
CX11292	0	2
ECA1195	0	2
ECA1251	0	2
ECA347	0	2
ED3012	0	2
JU1896	0	2
JU2016	0	2
JU2478	0	2
JU2853	0	2
JU310	0	2
QG2932	0	2
CX11264	-3.9919296603222974e-7	2
ECA741	-5.103221359380916e-7	2
ECA742	-1.1803902559790596e-6	2
JU3225	-1.4067032851190183e-6	2
NIC195	-1.962237182125061e-6	2
XZ1672	-3.2227991220809233e-6	2
NIC528	-4.0273971973063384e-6	2
NIC272	-4.447523836484208e-6	2
JU2001	-8.233284213579608e-6	2
JU2575	-8.831771558920362e-6	2
JU1491	-9.02095156336989e-6	2
EG4724	-9.89203100311119e-6	2
ECA1240	-1.0806443532028606e-5	2
JU751	-1.0987218158665564e-5	2
ECA1289	-1.1357652449569149e-5	2
NIC207	-1.2209858728106037e-5	2
XZ1515	-1.3765469588813053e-5	2
ECA730	-1.4988832096453487e-5	2
JU3128	-1.5464552156770314e-5	2
ECA191	-2.9639472221624554e-5	2
JU2513	-3.164214881816143e-5	2
CX11262	-3.433101319256539e-5	2
ECA928	-3.67393090604203e-5	2
NIC1789	-3.692277677925306e-5	2
JU2017	-3.954564822620483e-5	2
QG2838	-5.266514149663349e-5	2
