strain,delta_ctrl_pos-1_T2,vst_ctrl_pos-1_T2,log2fc_ctrl_pos-1_T2,negctrl_growth_HT115_delta_t0,negctrl_abundance_log10
"AB1",-0.00628795294875347,-0.0606743782656435,-3.85528011448759,0.00176102526942011,-2.17039619670832
"BRC20263",-1.61657211518907e-05,-0.00402067261323548,-59.1771200933632,-0.00631612673898425,-4.79140491676842
"CB4852",NA,NA,NA,0,NA
"CB4853",NA,NA,NA,-0.00118700087372639,NA
"CB4854",-0.016191766831008,-0.0652088197313975,-1.52578261723014,0.00133138237931484,-1.60542528725619
"CB4855",-0.000100192690875238,-0.0100097970631689,-61.8088875875982,-0.00107391356129833,-3.99916395939026
"CB4857",-2.51227981565133e-05,-0.00501228576044184,-59.8131793852819,2.51227981565133e-05,-4.59993199088009
"CB4858",-0.000966997956558486,-0.0311016046599794,-65.0796231618381,0.000966997956558486,-3.01457444365879
"CB4932",NA,NA,NA,-0.00272236205476592,NA
"CX11254",NA,NA,NA,0,NA
"CX11262",NA,NA,NA,0,NA
"CX11264",NA,NA,NA,0,NA
"CX11271",-0.00155505457664439,-0.0360412569330262,-6.94749493663788,0.00156775664010609,-2.80472135112966
"CX11276",NA,NA,NA,0,NA
"CX11285",0.000175717103855047,0.00404309178877647,0.538143657679473,-0.00118734868929562,-3.41042322461122
"CX11292",NA,NA,NA,-0.000983813697849211,NA
"CX11307",-0.00093257828352463,-0.0305428932577151,-65.0273351555728,0.00093257828352463,-3.03031470195812
"CX11315",-0.000975510787529189,-0.0312382483466299,-65.0922681475419,0.000975510787529189,-3.01076792366721
"DL200",NA,NA,NA,0,NA
"DL226",-0.00203635046709957,-0.0296603425960853,-2.66441000014932,0.00103245818306914,-2.61659536826415
"ECA1069",NA,NA,NA,0,NA
"ECA1074",-0.00570978760890279,-0.07563523020925,-67.6414754973114,0.00526516207967601,-2.24338004621949
"ECA1185",-0.000377612650945522,-0.0107678595736141,-1.83037585663941,0.000525331259342708,-3.27956675614315
"ECA1186",NA,NA,NA,-0.00104651897759233,NA
"ECA1191",-7.55378296574626e-05,-0.00869135960146596,-61.4013815589788,7.55378296574626e-05,-4.12183549741859
"ECA1193",NA,NA,NA,0,NA
"ECA1194",-9.83385040713e-05,-0.00991673977310594,-61.7819386349198,9.83385040713e-05,-4.00727640249818
"ECA1195",-0.000141870253777155,-0.0119112116655334,-62.3106824491293,0.000141870253777155,-3.84810865439934
"ECA1208",NA,NA,NA,0,NA
"ECA1216",NA,NA,NA,0,NA
"ECA1223",NA,NA,NA,0,NA
"ECA1225",-7.35564979916168e-05,-0.0045873504366053,-1.69823671087545,-0.000375405510712357,-3.97338304458483
"ECA1228",NA,NA,NA,0,NA
"ECA1229",1.89850326515895e-05,0.000694047596769578,0.146424449034678,-0.000643355879688499,-3.75025317308184
"ECA1232",NA,NA,NA,0,NA
"ECA1237",NA,NA,NA,0,NA
"ECA1238",0.000323177327001187,0.0163339850293944,6.77309633759043,2.98211782097224e-06,-5.52547520193358
"ECA1240",-0.000141299281159373,-0.00413774735531614,-0.702478447643086,-0.00105331223169101,-3.43586684920036
"ECA1242",-1.92989954757628e-05,-0.000861796510357475,-0.22216174641201,-0.000301331753245921,-3.8689503819254
"ECA1247",-0.000332853016376603,-0.0182452720810292,-63.5409955630972,0.000261218610102848,-3.47774750303625
"ECA1251",NA,NA,NA,-6.05261198872396e-06,NA
"ECA1253",1.33876470541144e-05,0.00152340862253422,1.01056086855851,1.3193775222314e-05,-4.87963091911416
"ECA1255",0.0843542258422172,0.228614665897587,3.95270514453055,-0.00164718256656833,-2.23478129778767
"ECA1257",-0.000100511459436438,-0.0100257083108773,-61.8134703150447,0.000100511459436438,-3.99778442096692
"ECA1260",NA,NA,NA,0,NA
"ECA1261",-3.4630090057206e-05,-0.00199546927016175,-0.666442809287258,-0.0002174153221806,-4.02867968923443
