sample,sample_info,time,rnai,replicate,depth_cutoff,strain,frq,t0_frq,ctrl_frq,delta_t0,delta_ctrl,log2fc_t0,log2fc_ctrl
A10,T2_pos-1_1,T2,pos-1,1,3,AB1,0.000877552207239029,0.00637221707300204,0.0083556948736834,-0.00549466486576301,-0.00747814266644437,-2.8602385521458,-3.25120294849211
A11,T2_pos-1_2,T2,pos-1,2,3,AB1,0.00310716912489236,0.00637221707300204,0.0083556948736834,-0.00326504794810967,-0.00524852574879103,-1.03619464361626,-1.42715903996256
A12,T2_pos-1_3,T2,pos-1,3,3,AB1,1.90909267024002e-05,0.00637221707300204,0.0083556948736834,-0.00635312614629963,-0.008336603946981,-8.38276446862096,-8.77372886496726
A13,T2_pos-1_4,T2,pos-1,4,3,AB1,0,0.00637221707300204,0.0083556948736834,-0.00637221707300204,-0.0083556948736834,-67.7998338295785,-68.1907982259248
A6,T2_ctrl_A,T2,ctrl,A,3,AB1,0.00666010452937782,0.00637221707300204,0.0083556948736834,0.000287887456375781,-0.00169559034430558,0.0637494064814493,-0.327214989864853
A7,T2_ctrl_B,T2,ctrl,B,3,AB1,0.010051285217989,0.00637221707300204,0.0083556948736834,0.00367906814498695,0.00169559034430558,0.65751266589832,0.266548269552018
A10,T2_pos-1_1,T2,pos-1,1,5,AB1,0,0.00499363954997598,0.00675466481939609,-0.00499363954997598,-0.00675466481939609,-67.4481301043566,-67.8839225974756
A11,T2_pos-1_2,T2,pos-1,2,5,AB1,0.00186684748257048,0.00499363954997598,0.00675466481939609,-0.0031267920674055,-0.00488781733682561,-1.41948762136862,-1.85528011448759
A12,T2_pos-1_3,T2,pos-1,3,5,AB1,0,0.00499363954997598,0.00675466481939609,-0.00499363954997598,-0.00675466481939609,-67.4481301043566,-67.8839225974756
A13,T2_pos-1_4,T2,pos-1,4,5,AB1,0,0.00499363954997598,0.00675466481939609,-0.00499363954997598,-0.00675466481939609,-67.4481301043566,-67.8839225974756
A6,T2_ctrl_A,T2,ctrl,A,5,AB1,0.00506864590747197,0.00499363954997598,0.00675466481939609,7.50063574959901e-05,-0.00168601891192412,0.0215086929862806,-0.414283800132692
A7,T2_ctrl_B,T2,ctrl,B,5,AB1,0.00844068373132022,0.00499363954997598,0.00675466481939609,0.00344704418134424,0.00168601891192412,0.757268179445797,0.321475686326825
A10,T2_pos-1_1,T2,pos-1,1,10,AB1,0,0.00321663873811838,0.00493569677037635,-0.00321663873811838,-0.00493569677037635,-66.8135923311729,-67.4312921794471
A11,T2_pos-1_2,T2,pos-1,2,10,AB1,0.000841183423806115,0.00321663873811838,0.00493569677037635,-0.00237545531431227,-0.00409451334657024,-1.93506158947747,-2.55276143775168
A12,T2_pos-1_3,T2,pos-1,3,10,AB1,0,0.00321663873811838,0.00493569677037635,-0.00321663873811838,-0.00493569677037635,-66.8135923311729,-67.4312921794471
A13,T2_pos-1_4,T2,pos-1,4,10,AB1,0,0.00321663873811838,0.00493569677037635,-0.00321663873811838,-0.00493569677037635,-66.8135923311729,-67.4312921794471
A6,T2_ctrl_A,T2,ctrl,A,10,AB1,0.00354177201717189,0.00321663873811838,0.00493569677037635,0.000325133279053504,-0.00139392475320446,0.138917433743776,-0.47878241453043
A7,T2_ctrl_B,T2,ctrl,B,10,AB1,0.00632962152358082,0.00321663873811838,0.00493569677037635,0.00311298278546243,0.00139392475320447,0.976565321557481,0.358865473283274
A10,T2_pos-1_1,T2,pos-1,1,3,BRC20263,0,0.00635387964998472,0.000277120840564997,-0.00635387964998472,-0.000277120840564997,-67.7956761796509,-63.2766255319855
A11,T2_pos-1_2,T2,pos-1,2,3,BRC20263,0,0.00635387964998472,0.000277120840564997,-0.00635387964998472,-0.000277120840564997,-67.7956761796509,-63.2766255319855
A12,T2_pos-1_3,T2,pos-1,3,3,BRC20263,0,0.00635387964998472,0.000277120840564997,-0.00635387964998472,-0.000277120840564997,-67.7956761796509,-63.2766255319855
A13,T2_pos-1_4,T2,pos-1,4,3,BRC20263,0,0.00635387964998472,0.000277120840564997,-0.00635387964998472,-0.000277120840564997,-67.7956761796509,-63.2766255319855
