strain	plate_score	mean_leth	n_wells
AB1	1	0.7219593290181431	16
CB4852	2	0.7112490931714164	16
CB4932	1	0.9525271030481571	16
ED3040	3	0.5257322464636317	16
ED3046	2	0.74710539637092	16
ED3073	0	0.8494966466018082	30
EG4347	2	0.8998771186938105	16
EG4724	3	0.7658867599443469	15
JU1088	1	0.9497439731210551	16
JU1172	1	0.6524849936526697	16
JU406	3	0.6362313986978018	16
JU440	2	0.8554033709898425	16
KR314	3	0.7712811828621221	16
MY1	4	0.3708661088345235	16
MY18	2	0.8842088604043957	27
PB303	1	0.9618140552055724	16
PX179	1	0.7949569877611332	16
JU642	1	0.6792242173743203	16
QX1211	5	0.35864794609673656	15
