strain	plate_score	mean_delta_freq	n_reps
AB1	1	-5.60542798165025e-4	2
CB4852	2	-2.4337746669103456e-4	2
CB4854	3	-0.01497879537221786	2
CB4932	1	-0.01008328348951101	2
CX11262	1	-3.433101319256539e-5	2
CX11264	2	-3.991929660322298e-7	2
CX11292	1	0	2
CX11315	2	0.00116512022216783	2
ED3005	0	-0.00221341814860156	2
ED3011	1	-0.00248232014229825	2
ED3012	1	0	2
ED3046	2	-0.00901901974545235	2
ED3073	0	-0.0086200491693902	2
ED3077	1	-0.01219327016300927	2
EG4347	2	-0.00307651846923682	2
EG4349	3	3.8014007495069897e-4	2
EG4724	3	-9.89203100311119e-6	2
EG4946	0	-2.135254553938397e-4	2
JU1200	1	-1.0182555571217888e-4	2
JU1246	4	0.04181188509347074	2
JU1530	2	1.5929659686195414e-4	2
JU1586	1	-0.00225098458821663	2
JU2001	1	-8.233284213579608e-6	2
JU2513	2	-3.164214881816143e-5	2
JU2522	5	0.03248312425238379	2
JU310	0	0	2
JU367	3	-6.45427364774687e-4	2
JU393	4	4.231424877038175e-4	2
JU394	2	0.00167355342783221	2
JU406	3	-1.6694687450151437e-4	2
JU778	2	-0.00638771483012206	2
JU792	2	-0.00107865854035507	2
JU847	3	-0.00110527750575718	2
MY10	4	-4.59890493824249e-4	2
MY18	2	-0.001737062933551	2
NIC166	3	-0.00470254442407002	2
NIC195	1	-1.962237182125061e-6	2
NIC207	1	-1.2209858728106037e-5	2
NIC236	3	-0.00614737344374478	2
NIC242	3	-0.00236092110382192	2
NIC251	1	-6.681643973645698e-4	2
NIC255	3	-8.867205759093293e-5	2
NIC265	0	-0.01152083380045377	2
NIC266	1	-1.2000208330707172e-4	2
NIC271	1	-0.00159341536818548	2
NIC272	3	-4.447523836484208e-6	2
NIC276	1	-4.7056194779054536e-4	2
PX179	1	-0.01555199249759861	2
QG557	1	-0.00605704670339943	2
QW947	1	-0.0111996772984999	2
QX1212	3	-0.00552025482790975	2
GXW1	1	-0.00422262638218399	2
JU1491	1	-9.02095156336989e-6	2
JU1652	1	-0.00566354142895477	2
JU1896	1	0	2
JU2526	4	-5.786445886902812e-4	2
JU397	2	-0.05312985930361685	2
JU642	1	-2.001518979788899e-4	2
JU782	2	-0.00401083721275608	2
NIC259	2	-0.00581318281707755	2
NIC262	1	-3.79467276287784e-4	2
NIC268	5	0.0034328156086034	2
NIC269	3	0.00688100020468765	2
NIC526	1	-8.61863627026448e-5	2
NIC527	1	-0.01038920919986216	2
NIC528	1	-4.0273971973063384e-6	2
NIC529	0	-0.00137025495618459	2
QG536	1	-0.00117530263206554	2
QG556	1	3.550586412296293e-4	2
QX1211	5	-1.6547452929056215e-4	2
QX1233	2	-0.00532697599189397	2
QX1791	1	-0.00139296793954901	2
QX1792	2	0.0012850883017102	2
QX1793	2	-7.079710155551652e-4	2
RC301	1	-0.00474430397463853	2
WN2001	3	-1.7809228534972646e-4	2
JU1793	2	0.0129205069616516	2
BRC20263	2	-1.994922504020272e-4	2
ECA189	2	-0.03563187755135933	2
ECA191	1	-2.963947222162455e-5	2
JU1666	1	-0.00496546736892279	2
ECA369	3	2.949630267942312e-4	2
JU1249	2	3.154470783274107e-5	2
JU1792	1	-7.526733129263082e-4	2
JU1934	2	0.01717187266099818	2
JU2016	1	0	2
JU2017	2	-3.954564822620483e-5	2
JU2250	1	-0.01372002046567879	2
JU2257	2	-1.927819585889956e-4	2
JU2478	2	0	2
JU2570	3	1.8465354984350575e-4	2
JU2572	4	-0.00405701504934193	2
JU2575	2	-8.831771558920362e-6	2
JU2581	1	-0.00359890680774607	2
JU2592	4	8.25427576068436e-6	2
JU2610	3	0.01476764208473355	2
JU2619	2	-1.6387176658701365e-4	2
JU2811	1	-6.478728855643164e-5	2
ECA738	5	0.05124683762832852	2
ECA760	5	0.00976485685423094	2
ECA1186	5	0.00511823662409684	2
ECA1255	5	0.07437541876441921	2
ECA1286	5	0.01332440305678531	2
JU3132	5	0.03251501191265089	2
JU3291	5	0.10125250975681556	2
QG2832	4	0.02128197231086472	2
