SAMPLE NAME	SAMPLE NUMBER	BACTERIA_PELLET	sample_type	Gene	Timepoint
0A	1	0	supernatant	NA	0
0B	2	0	supernatant	NA	0
13p	3	2	pellet	fog-2	1
13s	4	2	supernatant	fog-2	1
21p	5	10	pellet	rde-3	1
21s	6	10	supernatant	rde-3	1
22p	7	11	pellet	ctrl	1
22s	8	11	supernatant	ctrl	1
23	9	1	pellet	ric-3	2
24	10	2	pellet	fog-2	2
25	11	3	pellet	rpn-12	2
26	12	4	pellet	spe-19	2
27	13	5	pellet	spe-43	2
28	14	6	pellet	vha-5	2
29	15	7	pellet	unc-39	2
30	16	8	pellet	mig-6	2
31	17	9	pellet	pos-1	2
32	18	10	pellet	rde-3	2
33	19	11	pellet	ctrl	2
34	20	1	supernatant	ric-3	2
35	21	2	supernatant	fog-2	2
36	22	3	supernatant	rpn-12	2
37	23	4	supernatant	spe-19	2
38	24	5	supernatant	spe-43	2
39	25	6	supernatant	vha-5	2
40	26	7	supernatant	unc-39	2
42	28	9	supernatant	pos-1	2
43	29	10	supernatant	rde-3	2
44	30	11	supernatant	ctrl	2
45	31	12	pellet	ric-3	2
46	32	13	pellet	fog-2	2
47	33	14	pellet	rpn-12	2
48	34	15	pellet	spe-19	2
49	35	16	pellet	spe-43	2
50	36	17	pellet	vha-5	2
51	37	18	pellet	unc-39	2
52	38	19	pellet	mig-6	2
53	39	20	pellet	pos-1	2
54	40	21	pellet	rde-3	2
55	41	22	pellet	ctrl	2
56	42	12	supernatant	ric-3	2
57	43	13	supernatant	fog-2	2
58	44	14	supernatant	rpn-12	2
59	45	15	supernatant	spe-19	2
60	46	16	supernatant	spe-43	2
61	47	17	supernatant	vha-5	2
62	48	18	supernatant	unc-39	2
63	49	19	supernatant	mig-6	2
64	50	20	supernatant	pos-1	2
65	51	21	supernatant	rde-3	2
66	52	22	supernatant	ctrl	2
33_b	55	11	pellet	ctrl	2
34_b	56	1	supernatant	ric-3	2
