replicate	trait	depth	r2
1	Albendazole_q75.TOF	1	0.5393056873798394
1	Albendazole_q75.TOF	3	0.7584944199372984
1	Albendazole_q75.TOF	5	0.8457626733963893
1	Albendazole_q75.TOF	10	0.9225651086014396
1	Albendazole_q75.TOF	30	0.9701490391186254
1	Albendazole_q75.TOF	50	0.9864125780178309
1	Albendazole_q75.TOF	100	0.9924494066986334
1	Albendazole_q75.TOF	500	0.9982030609703818
1	PC1	1	0.9321882935127082
1	PC1	3	0.962336809302873
1	PC1	5	0.9850387549623212
1	PC1	10	0.9917653573437011
1	PC1	30	0.9975621054203058
1	PC1	50	0.9988203790506291
1	PC1	100	0.9992703928842575
1	PC1	500	0.99979486084369
1	amsacrine_f.L1	1	0.8400991846638538
1	amsacrine_f.L1	3	0.9251491245528676
1	amsacrine_f.L1	5	0.9543015697855984
1	amsacrine_f.L1	10	0.9812038386957037
1	amsacrine_f.L1	30	0.9922283949256292
1	amsacrine_f.L1	50	0.9956828158253053
1	amsacrine_f.L1	100	0.9976351234139332
1	amsacrine_f.L1	500	0.9995089220840674
1	assay_norm	1	0.7559547058241943
1	assay_norm	3	0.8946208740165165
1	assay_norm	5	0.9431399257490692
1	assay_norm	10	0.9743107264494185
1	assay_norm	30	0.9887329597114288
1	assay_norm	50	0.9935365999941848
1	assay_norm	100	0.9975763138503441
1	assay_norm	500	0.9993941795805515
1	etoposide_median.TOF	1	0.7345906061647336
1	etoposide_median.TOF	3	0.8870041807775536
1	etoposide_median.TOF	5	0.9394507578648978
1	etoposide_median.TOF	10	0.9677148461458994
1	etoposide_median.TOF	30	0.992640046591989
1	etoposide_median.TOF	50	0.994069100383195
1	etoposide_median.TOF	100	0.9976299489068612
1	etoposide_median.TOF	500	0.9991098093036409
1	mtDNA_ratio	1	0.5146863164824086
1	mtDNA_ratio	3	0.6746721178210595
1	mtDNA_ratio	5	0.7324366161913158
1	mtDNA_ratio	10	0.8373769186466699
1	mtDNA_ratio	30	0.9487172757666315
1	mtDNA_ratio	50	0.9641379988220439
1	mtDNA_ratio	100	0.9840368496460538
1	mtDNA_ratio	500	0.9972049639383835
1	value	1	0.8520674098797091
1	value	3	0.9609294100036068
1	value	5	0.9807150674359313
1	value	10	0.9833186466846299
1	value	30	0.9958285758143923
1	value	50	0.9971893966440245
1	value	100	0.998478915671099
1	value	500	0.9997249325662476
2	Albendazole_q75.TOF	1	0.5622329821040232
2	Albendazole_q75.TOF	3	0.7758070076862661
2	Albendazole_q75.TOF	5	0.8749352804853812
2	Albendazole_q75.TOF	10	0.9315101586376491
2	Albendazole_q75.TOF	30	0.9725288635319413
2	Albendazole_q75.TOF	50	0.9802501921822487
2	Albendazole_q75.TOF	100	0.9926892015291422
2	Albendazole_q75.TOF	500	0.9981570406917597
2	PC1	1	0.9158046111791323
2	PC1	3	0.9746857317485895
2	PC1	5	0.9793590220060534
2	PC1	10	0.9930910065179572
2	PC1	30	0.9961903412850386
2	PC1	50	0.9983817111830491
2	PC1	100	0.9987041857302926
2	PC1	500	0.9998825475753806
2	amsacrine_f.L1	1	0.8531286373688441
2	amsacrine_f.L1	3	0.9333311618305492
2	amsacrine_f.L1	5	0.9483158735005294
2	amsacrine_f.L1	10	0.9765001686434605
2	amsacrine_f.L1	30	0.9928790095387178
2	amsacrine_f.L1	50	0.9946737872391631
2	amsacrine_f.L1	100	0.9979389927573181
2	amsacrine_f.L1	500	0.9995933035639649
2	assay_norm	1	0.8124947223770843
2	assay_norm	3	0.879837018488563
2	assay_norm	5	0.9346431310110568
2	assay_norm	10	0.9660778396659907
2	assay_norm	30	0.9903494985583053
2	assay_norm	50	0.9942956707298495
2	assay_norm	100	0.9970531910344766
2	assay_norm	500	0.9994154547983967
2	etoposide_median.TOF	1	0.78803364487401
2	etoposide_median.TOF	3	0.9264992063488481
2	etoposide_median.TOF	5	0.9513049848218567
2	etoposide_median.TOF	10	0.96880033971604
2	etoposide_median.TOF	30	0.9910020440384955
2	etoposide_median.TOF	50	0.9950346986401736
2	etoposide_median.TOF	100	0.9966784278283287
2	etoposide_median.TOF	500	0.999256942862987
2	mtDNA_ratio	1	0.49136106171488925
2	mtDNA_ratio	3	0.7282846411266687
2	mtDNA_ratio	5	0.7732967442421673
2	mtDNA_ratio	10	0.8764418664217029
2	mtDNA_ratio	30	0.9491952317577658
2	mtDNA_ratio	50	0.968217041629204
2	mtDNA_ratio	100	0.9823045328651573
2	mtDNA_ratio	500	0.9966672112153964
2	value	1	0.8830387541989371
2	value	3	0.9635612938642278
2	value	5	0.9635162147695868
2	value	10	0.9857086590019872
2	value	30	0.9959575282999428
2	value	50	0.9977431365424323
2	value	100	0.9984815183812754
2	value	500	0.9997307208419627
3	Albendazole_q75.TOF	1	0.5592834288738815
3	Albendazole_q75.TOF	3	0.7664014222228254
3	Albendazole_q75.TOF	5	0.848154828008222
3	Albendazole_q75.TOF	10	0.910254689445222
3	Albendazole_q75.TOF	30	0.975017060782863
3	Albendazole_q75.TOF	50	0.9794751273114456
3	Albendazole_q75.TOF	100	0.9906910079511844
3	Albendazole_q75.TOF	500	0.998270909098295
3	PC1	1	0.9052065203646961
3	PC1	3	0.9677548054947867
3	PC1	5	0.9862760437205429
3	PC1	10	0.9945628866517914
3	PC1	30	0.9965973764835435
3	PC1	50	0.9982273642412874
3	PC1	100	0.999119008096821
3	PC1	500	0.99984921685104855
3	amsacrine_f.L1	1	0.8223670785518411
3	amsacrine_f.L1	3	0.9321109082356752
3	amsacrine_f.L1	5	0.9563889872956216
3	amsacrine_f.L1	10	0.977728681936862
3	amsacrine_f.L1	30	0.9905900595149085
3	amsacrine_f.L1	50	0.995239922218626
3	amsacrine_f.L1	100	0.9980001427755784
3	amsacrine_f.L1	500	0.9995372262149199
3	assay_norm	1	0.7599688706092693
3	assay_norm	3	0.8849626656741222
3	assay_norm	5	0.9413944368109014
3	assay_norm	10	0.9783533415419717
3	assay_norm	30	0.991246867121534
3	assay_norm	50	0.9942997584698962
3	assay_norm	100	0.9973483605572581
3	assay_norm	500	0.9994500152953409
3	etoposide_median.TOF	1	0.7727773700705148
3	etoposide_median.TOF	3	0.9105786008395751
3	etoposide_median.TOF	5	0.9343238932635554
3	etoposide_median.TOF	10	0.9701351999797697
3	etoposide_median.TOF	30	0.98959863920422
3	etoposide_median.TOF	50	0.9932466531869678
3	etoposide_median.TOF	100	0.9975796371668855
3	etoposide_median.TOF	500	0.9994888428664409
3	mtDNA_ratio	1	0.4575361630082192
3	mtDNA_ratio	3	0.7505658527218695
3	mtDNA_ratio	5	0.8148371523823191
3	mtDNA_ratio	10	0.8794596109036898
