strain	Albendazole_q75.TOF	PC1	assay_norm	mtDNA_ratio	value	amsacrine_f.L1	etoposide_median.TOF
AB1	21.2473608236901	-1.43486459884392	-0.106032927929693	10.6300879311	-1.32852663574762	NA	13.9348781451542
AB4	NA	NA	NA	NA	NA	0.0328637069220515	2.85772904576406
BRC20067	5.76558924459948	NA	NA	20.068639594	-0.414886761266272	0.0404361864913772	3.44925836368901
BRC20263	-41.2861532362734	NA	0.234006810431797	14.3951500357	NA	NA	NA
CB4851	NA	NA	NA	24.2112425609	-3.56700574994128	NA	NA
CB4852	3.74431183903694	-6.20745794658563	0.0426575504887594	14.5040881613	-3.17549724571009	-0.0412354366627608	-4.91122648152942
CB4853	NA	NA	NA	35.8511998763	1.62777170598373	-0.0313154963201554	-6.29415269171699
CB4854	NA	-1.95756269943127	NA	16.6686076047	-2.40301894264782	0.0479029697775984	-29.0639690166243
CB4855	NA	NA	NA	39.7681289963	-2.61012673709902	-0.00579816094107656	33.7772388943228
CB4856	-32.7898483030857	9.89411090364372	NA	13.2623350069	0.040813220752379	-0.0863110504643282	-65.7109234443128
CB4857	NA	-6.48351641229042	NA	15.718325729	-2.57300014933503	0.226892110929354	-20.0398007041331
CB4858	NA	3.78968572480034	NA	25.5346319745	-5.17868365423738	-0.122213338938568	22.3689429555034
CB4932	-2.85468211666069	-5.70703860788266	-0.12955575950142	25.9206107405	-3.55592551394604	-0.00896317758344324	20.061513089008
CX11254	NA	NA	NA	16.3133226904	-0.125919856330954	0.0359061176751966	-9.52496202196276
CX11262	-26.1309656559332	-8.12019874609842	-0.0797525103812315	13.0798795778	-3.17549724571009	-0.0444593284869841	10.0689626795829
CX11264	-20.6122650175747	2.45072178103283	-0.185729749511241	20.8737727972	-0.83746163472897	NA	-42.2777440469788
CX11271	90.9057592077307	5.38011475776138	-0.115726089568203	26.5918081168	-0.0678638410996057	-0.0357822166855364	23.2762913259283
CX11276	-33.175997463967	5.66163735903653	NA	29.2641567826	1.50834525625238	0.015745824755064	22.0451912150503
CX11285	2.4367935030432	-8.09236361012601	-0.441783925867457	29.6975369712	-1.1873030269883	-0.0239921089711286	11.9575417621802
CX11292	4.51160304273542	-1.37753052073133	0.37674973700391	29.4822671876	2.66774278633571	-0.0291700316095847	15.6095690210902
CX11307	-58.3938548760639	-3.77121431004053	0.0384594896187683	13.09315371	-4.13927545025532	-0.111237896711871	-12.2804650963067
CX11314	31.8955201558006	-7.17345972683619	-0.255477481766099	12.0406081487	NA	-0.0170685305817706	13.5843828841456
CX11315	13.9256570789949	-10.0100829372147	NA	12.9654497687	-4.6831519353393	0.0394754353860309	-12.7665128256548
DL200	-16.7295650941266	0.755855831339838	NA	22.8634240258	-0.408023604425796	-0.0259108630440859	NA
