strain	nn_pool_ibs	nn_pool	mean_pool_ibs
AB1	0.97906	N2	0.9297040196078431
BRC20067	0.98158	GXW1	0.9309945098039215
BRC20263	0.975125	JU2811	0.9249507843137255
CB4851	0.97905	N2	0.9274380392156862
CB4852	0.987495	N2	0.9338566666666667
CB4853	0.97651	N2	0.9281332352941176
CB4854	0.97506	N2	0.9247706930693069
CB4855	0.972645	N2	0.9252771568627451
CB4856	0.92597	N2	0.8945245544554455
CB4857	0.977395	XZ1515	0.9286
CB4858	0.980295	XZ1515	0.9297380392156863
CB4932	0.98021	JU2592	0.9299420588235294
CX11254	0.97084	XZ1515	0.9208066336633663
CX11262	0.97268	CX11264	0.9167853465346535
CX11264	0.97268	CX11262	0.9160951485148515
CX11271	0.97556	N2	0.9290706930693069
CX11276	0.96994	N2	0.923740396039604
CX11285	0.959895	CX11271	0.918049702970297
CX11292	0.9813	N2	0.9319954901960784
CX11307	0.959355	CX11254	0.9159334653465346
CX11314	0.98209	XZ1515	0.9239588235294117
CX11315	0.97364	CX11264	0.9216387254901961
DL200	0.96893	ED3017	0.922178910891089
DL226	0.96707	N2	0.9223224752475248
DL238	0.920295	N2	0.889820297029703
ECA1069	0.973085	N2	0.9271237254901961
ECA1074	0.97291	N2	0.928103431372549
ECA1185	0.91297	ECA363	0.8102614705882353
ECA1186	0.961405	N2	0.9205152941176471
ECA1187	0.91416	ECA363	0.8161042156862746
ECA1191	0.914755	ECA363	0.8146138235294118
ECA1192	0.91231	ECA363	0.8116305882352941
ECA1193	0.91637	ECA363	0.8233036274509804
ECA1194	0.91274	ECA363	0.8115369607843137
ECA1195	0.916385	ECA363	0.8261208823529411
ECA1196	0.91109	ECA363	0.8176513725490197
ECA1200	0.939775	XZ1513	0.901789705882353
ECA1202	0.92675	ECA191	0.8300530392156863
ECA1206	0.914925	ECA396	0.8261842156862745
ECA1208	0.92196	ECA396	0.8270222549019608
ECA1212	0.92458	ECA396	0.8315006862745098
ECA1216	0.925585	ECA396	0.8303972549019608
ECA1223	0.931075	ECA191	0.8290119607843137
ECA1225	0.93237	ECA191	0.8295745098039216
ECA1228	0.925195	ECA396	0.8288616666666667
ECA1229	0.918855	ECA191	0.8277736274509804
ECA1232	0.909925	ECA363	0.811233431372549
ECA1237	0.93967	ECA191	0.827785
ECA1238	0.91488	ECA363	0.8187355882352941
ECA1240	0.911355	ECA363	0.8133572549019608
ECA1242	0.91087	ECA363	0.8143750980392157
ECA1243	0.94736	DL238	0.90407
ECA1247	0.91735	ECA396	0.8305600980392157
