source	label	hatched	n	pct	wilson	exact
ju_allele_swaps	JU1793 JU1793[96T] [pos]	202	213	94.84	91.0-97.1	90.9-97.4
ju_allele_swaps	JU1793 JU1793[96T] [ht115]	222	223	99.55	97.5-99.9	97.5-100.0
ju_allele_swaps	JU2466_A JU2466_A[96K] [pos]	11	204	5.39	3.0-9.4	2.7-9.4
ju_allele_swaps	JU2466_A JU2466_A[96K] [ht115]	209	209	100	98.2-100.0	98.3-100.0
ju_allele_swaps	JU2466_B JU2466_B[96K] [pos]	8	215	3.72	1.9-7.2	1.6-7.2
ju_allele_swaps	JU2466_B JU2466_B[96K] [ht115]	203	204	99.51	97.3-99.9	97.3-100.0
ju_allele_swaps	wSZ200 JU1793[96K] [pos]	110	207	53.14	46.3-59.8	46.1-60.1
ju_allele_swaps	wSZ200 JU1793[96K] [ht115]	198	201	98.51	95.7-99.5	95.7-99.7
ju_allele_swaps	wSZ206 JU2466[96T] [pos]	40	217	18.43	13.8-24.1	13.5-24.2
ju_allele_swaps	wSZ206 JU2466[96T] [ht115]	212	214	99.07	96.7-99.7	96.7-99.9
ju_allele_swaps	wSZ209 JU1793[94A] [pos]	265	267	99.25	97.3-99.8	97.3-99.9
ju_allele_swaps	wSZ209 JU1793[94A] [ht115]	173	174	99.43	96.8-99.9	96.8-100.0
ju_allele_swaps	wSZ208 JU2466[94A] [pos]	88	207	42.51	36.0-49.3	35.7-49.6
ju_allele_swaps	wSZ208 JU2466[94A] [ht115]	173	177	97.74	94.3-99.1	94.3-99.4
ju_allele_swaps	JU2466_A+B POOLED [pos]	19	419	4.53	2.9-7.0	2.8-7.0
ju_allele_swaps	JU2466_A+B POOLED [ht115]	412	413	99.76	98.6-100.0	98.7-100.0
n2_allele_swaps	N2 N2[96T] dose100	0	236	0	-0.0-1.6	0.0-1.6
n2_allele_swaps	N2 N2[96T] dose75	8	236	3.39	1.7-6.5	1.5-6.6
n2_allele_swaps	N2 N2[96T] dose50	13	217	5.99	3.5-10.0	3.2-10.0
n2_allele_swaps	N2 N2[96T] dose25	71	220	32.27	26.4-38.7	26.1-38.9
n2_allele_swaps	N2 N2[96T] dose0	203	206	98.54	95.8-99.5	95.8-99.7
n2_allele_swaps	wSZ203 N2[96K] dose100	0	247	0	-0.0-1.5	0.0-1.5
n2_allele_swaps	wSZ203 N2[96K] dose75	1	234	0.43	0.1-2.4	0.0-2.4
n2_allele_swaps	wSZ203 N2[96K] dose50	9	302	2.98	1.6-5.6	1.4-5.6
n2_allele_swaps	wSZ203 N2[96K] dose25	12	273	4.4	2.5-7.5	2.3-7.6
n2_allele_swaps	wSZ203 N2[96K] dose0	236	236	100	98.4-100.0	98.4-100.0
n2_allele_swaps	wSZ204 N2[96K] dose100	3	203	1.48	0.5-4.3	0.3-4.3
n2_allele_swaps	wSZ204 N2[96K] dose75	13	293	4.44	2.6-7.4	2.4-7.5
n2_allele_swaps	wSZ204 N2[96K] dose50	11	293	3.75	2.1-6.6	1.9-6.6
n2_allele_swaps	wSZ204 N2[96K] dose25	11	295	3.73	2.1-6.6	1.9-6.6
n2_allele_swaps	wSZ204 N2[96K] dose0	250	254	98.43	96.0-99.4	96.0-99.6
n2_allele_swaps	wSZ203+wSZ204 POOLED dose25	23	568	4.05	2.7-6.0	2.6-6.0
