ref_size	fraction	strain	leak	nn_pool_ibs	nn_pool
540	1	JU1543	0.005177842777687866	0.988935	N2
540	1	NIC236	0.00513146989535598	0.971255	LKC34
540	1	JU4098	0.005085961087737871	0.972945	N2
540	1	NIC2	0.005033427695737033	0.994075	N2
540	1	NIC1	0.0047533032082638675	0.977885	N2
540	1	JU3226	0.00439296154896552	0.989765	ECA36
540	1	JU311	0.003944444701542792	0.98576	MY2453
540	1	JU3135	0.003930131815129251	0.97256	N2
540	1	PB306	0.003704346316523262	0.968465	XZ1515
540	1	NIC259	0.0035456770969185085	0.969465	N2
540	1	ECA2523	0.003334273020300997	0.9966	MY23
540	1	NIC276	0.0033318854010768086	0.9747	N2
540	1	XZ2019	0.0032361036705663604	0.93734	N2
540	1	ECA1413	0.0031655801517437767	0.95706	XZ1515
540	1	JU4073	0.0030447385870460532	0.98119	GXW1
540	1	JU2581	0.0029372726331272025	0.983185	JU2829
540	1	NIC207	0.0027202397961442206	0.982875	N2
540	1	ED3040	0.00247441113435986	0.97539	LKC34
540	1	ECA2568	0.0024273818410837657	0.982715	N2
540	1	JU1530	0.0023422922763066396	0.98112	NIC3
540	1	CB4932	0.002282204593392214	0.98021	JU2592
540	1	ECA928	0.002232620770363279	0.96742	QX1212
540	1	ECA1186	0.0021769644238464883	0.961405	N2
540	1	CB4855	0.002124181135606475	0.972645	N2
540	1	ECA2452	0.0021226401491390404	0.940105	DL238
540	1	QG2837	0.001998401229611286	0.965325	JU774
540	1	JU1395	0.0019446029778155396	0.98615	N2
540	1	ECA2554	0.0018714411645230392	0.9808	N2
540	1	XZ1735	0.0017778949433342479	0.96162	N2
540	1	TWN2530	0.001648843045583982	0.970785	N2
540	1	JU1213	0.0015852723677569325	0.963465	ED3017
540	1	JU3224	0.0015205750341813287	0.96311	JU774
540	1	JU3166	0.0015140619048500874	0.948205	N2
540	1	JU1491	0.0014411617772173238	0.96919	JU3137
540	1	ECA1196	0.0013991560304316111	0.91109	ECA363
540	1	WN2002	0.0013757651796946493	0.967385	N2
540	1	XZ1672	0.0013041681939949688	0.979085	N2
540	1	ECA2111	0.0013035060402385753	0.9491	N2
540	1	NIC1806	0.0012376860530836408	0.948645	NIC268
540	1	JU3318	0.0012109179077259967	0.962705	N2
540	1	JU3282	0.0011959337147763596	0.97417	N2
540	1	WN2064	0.0011557743173214465	0.983415	N2
540	1	NIC269	0.0011408085798401862	0.958235	CX11271
540	1	JU3144	0.0010868717928894827	0.96024	N2
540	1	NIC1810	0.0010624648762066953	0.943665	N2
540	1	QG2836	0.0010495350712828116	0.96879	LKC34
540	1	MY2212	9.887476101664348e-4	0.97339	N2
540	1	ECA2332	9.848626652679434e-4	0.94072	ECA372
540	1	JU2906	9.804065527839214e-4	0.98086	N2
540	1	ECA1298	9.686198066869135e-4	0.931235	ECA189
540	1	JU847	9.488398948121614e-4	0.96663	N2
540	1	ECA930	9.096749254320057e-4	0.972505	MY18
540	1	ECA2081	8.771266951624071e-4	0.924865	ECA396
540	1	ECA744	8.517920825205167e-4	0.922855	ECA396
540	1	JU1088	8.063560983997292e-4	0.97413	N2
540	1	XZ2211	7.991471351078255e-4	0.95388	XZ1515
540	1	ECA1889	7.86073706293689e-4	0.9442	XZ1515
540	1	NIC1783	7.488482091844496e-4	0.94636	N2
540	1	ECA1074	7.47119164769985e-4	0.97291	N2
540	1	NIC522	7.435146181358704e-4	0.976265	N2
540	1	ECA1887	7.199329718298087e-4	0.942625	XZ1515
540	1	JR4305	7.147974778989548e-4	0.95616	XZ1515
540	1	ECA2195	7.005163802347496e-4	0.928275	XZ1516
540	1	NIC1791	6.9784264276262e-4	0.940035	NIC527
540	1	RC301	6.955366480291541e-4	0.977015	N2
540	1	ECA1225	6.811054995857781e-4	0.93237	ECA191
540	1	ECA2549	6.421463524895769e-4	0.974585	N2
540	1	ECA2183	5.887930699786417e-4	0.84932	XZ1514
540	1	ECA1693	5.643102286393734e-4	0.892775	XZ1515
540	1	ECA2565	5.527523853992045e-4	0.991205	N2
540	1	ECA592	5.446575843787913e-4	0.949055	N2
540	1	ED3011	5.238530531609233e-4	0.97333	N2
540	1	ECA2602	5.147704851315867e-4	0.97699	N2
540	1	ECA594	4.707601939651285e-4	0.95793	MY23
540	1	ECA2360	4.468073848861028e-4	0.939805	ECA363
540	1	ECA1228	4.2950275850542883e-4	0.925195	ECA396
540	1	CB4857	4.285287100399687e-4	0.977395	XZ1515
540	1	NIC1780	4.259055352369931e-4	0.94007	N2
540	1	QG557	4.192029618339182e-4	0.96999	XZ1515
540	1	JU2575	4.1414678911141966e-4	0.985405	N2
540	1	JU3280	3.9098838162707146e-4	0.965485	N2
540	1	NIC1812	3.6158373198069634e-4	0.95138	N2
540	1	ECA730	3.5614383813291144e-4	0.94972	ECA191
540	1	ECA2119	3.449040635701118e-4	0.97144	N2
540	1	QG2846	3.2937868722201114e-4	0.952605	N2
540	1	QG2841	3.178381726037033e-4	0.96825	N2
540	1	JU642	3.0945547227661016e-4	0.974565	N2
540	1	ECA1761	3.045259907577617e-4	0.941755	XZ1514
540	1	ECA2367	2.880956925819979e-4	0.918755	ECA363
540	1	EG4946	2.874590038585119e-4	0.98329	N2
540	1	ECA1713	2.844889883161949e-4	0.88351	XZ1516
540	1	ECA2533	2.7600077583028065e-4	0.95185	N2
540	1	WN2082	2.743854637743754e-4	0.972105	N2
540	1	JU2586	2.650111438827697e-4	0.96568	EG4724
540	1	NIC1802	2.6001211532174494e-4	0.931215	EG4724
540	1	NIC274	2.524220165769494e-4	0.96641	ED3052
540	1	ECA1757	2.4221995484596502e-4	0.940665	MY23
540	1	BRC20067	2.4167632704158844e-4	0.98158	GXW1
540	1	QG2825	2.372340492814018e-4	0.97929	N2
540	1	XZ2020	2.253772696640086e-4	0.96675	N2
540	1	ECA2041	2.1946444757494946e-4	0.939465	N2
540	1	ECA1875	2.1054039497809605e-4	0.944235	QX1794
540	1	ECA1194	1.9837167236577333e-4	0.91274	ECA363
540	1	ECA2555	1.9064160194400735e-4	0.966895	N2
540	1	JU346	1.6806841879916777e-4	0.973225	N2
540	1	ECA2560	1.6692430875977216e-4	0.981085	N2
540	1	EG4349	1.576664231984739e-4	0.95655	ED3017
540	1	ECA2467	1.5241090890747583e-4	0.95381	DL238
540	1	NIC231	1.4997355345685223e-4	0.97714	N2
540	1	ECA1977	1.4774287079180606e-4	0.95287	DL238
540	1	JU3225	1.4734606808545177e-4	0.97581	N2
540	1	NIC267	1.4413404935453755e-4	0.972135	N2
540	1	JU2566	1.38019570556663e-4	0.98428	N2
540	1	JU1246	1.3235357619412514e-4	0.96364	JU1793
540	1	ECA2191	1.2851268752297104e-4	0.906155	XZ1516
540	1	MY518	1.2799327545413437e-4	0.973525	N2
540	1	ECA2527	1.2101055739989953e-4	0.952295	N2
540	1	JU4047	1.2021171485928645e-4	0.959805	XZ1515
540	1	NIC1832	1.1540135635436942e-4	0.962685	JU2593
540	1	XZ1756	1.1511439960419904e-4	0.969515	N2
540	1	ECA1261	1.0651720956436813e-4	0.91766	ECA191
540	1	JU1409	1.0338807410448383e-4	0.978375	N2
540	1	MY1	1.0176432371138079e-4	0.96696	N2
540	1	NIC1808	1.0121923152604445e-4	0.95669	N2
540	1	NIC1792	9.278870524372034e-5	0.93699	NIC527
540	1	QG4080	9.138912792028155e-5	0.954665	N2
540	1	QG4008	8.982834859191512e-5	0.977695	N2
540	1	ECA1223	8.391300122127617e-5	0.931075	ECA191
540	1	WN2050	8.142549927042527e-5	0.974115	JU2106
540	1	ECA1805	7.85743482564129e-5	0.945355	QX1794
540	1	ECA1885	7.48855260764687e-5	0.88524	ECA36
540	1	QG4003	7.346169951006766e-5	0.9783	N2
540	1	JU2862	7.341893852514949e-5	0.97454	N2
540	1	ECA1891	7.15466865326513e-5	0.91693	ECA396
540	1	NIC1809	7.143475053892206e-5	0.959765	N2
540	1	JU2565	6.922931473798861e-5	0.98921	N2
540	1	JU2534	6.867457474911668e-5	0.98098	N2
540	1	JU830	6.851717957699314e-5	0.97083	N2
540	1	ECA1287	6.387205025950129e-5	0.89795	ECA396
540	1	ECA2350	5.8403996348761575e-5	0.941625	QX1793
540	1	ECA1202	5.760685648564558e-5	0.92675	ECA191
540	1	NIC1796	5.7065176840702824e-5	0.934945	N2
540	1	ECA1255	5.668819620251685e-5	0.942325	XZ1515
540	1	ECA2199	5.59051973714469e-5	0.829135	N2
540	1	ECA2091	5.522678548602994e-5	0.844255	N2
540	1	ECA1717	5.511642894821671e-5	0.887815	ECA36
540	1	ECA778	4.972274733731866e-5	0.94229	XZ1515
540	1	ECA768	4.554287803033033e-5	0.93335	N2
540	1	JU2466	4.282332376033954e-5	0.981725	N2
540	1	ECA1815	4.070982106596879e-5	0.943635	N2
540	1	NIC515	3.940331272715279e-5	0.961335	ED3017
540	1	ED3073	3.7664674645152654e-5	0.9765	N2
540	1	ECA2251	3.7468273674629204e-5	0.92222	ECA191
540	1	NIC275	3.7137009811364564e-5	0.969245	ED3052
540	1	ECA2482	3.6430875267392976e-5	0.924365	ECA396
540	1	ECA2109	2.8673154043108444e-5	0.837725	XZ1514
540	1	ECA2594	2.4776108304201963e-5	0.975385	N2
540	1	ECA2437	2.472163571795655e-5	0.93503	N2
540	1	ECA712	2.4663095992159785e-5	0.93709	N2
540	1	ECA706	2.4631425816522852e-5	0.93346	N2
540	1	ECA705	2.361197114877354e-5	0.95049	QX1794
540	1	MY679	2.1821355397653723e-5	0.97568	N2
540	1	ECA1769	2.083699475257604e-5	0.89176	ECA396
540	1	ECA807	2.0646933991218962e-5	0.932025	N2
540	1	ECA1237	2.0357158071468107e-5	0.93967	ECA191
540	1	ECA1751	2.0151653368774967e-5	0.91576	ECA396
540	1	ECA1288	1.6909267393165576e-5	0.94331	DL238
540	1	ECA2187	1.5625203594959482e-05	0.86995	XZ1514
540	1	JU3169	1.529847513468632e-5	0.95284	NIC252
540	1	QG2823	1.4761520186843419e-5	0.977595	N2
540	1	ECA1825	1.453471127264076e-5	0.90133	ECA36
540	1	ECA738	1.4272465897776276e-5	0.945345	XZ1515
540	1	MY795	1.3885599973559597e-5	0.984645	MY18
540	1	ECA1997	1.3629451316517149e-5	0.918065	ECA396
540	1	ECA1191	1.219077277030658e-5	0.914755	ECA363
540	1	ECA2607	1.195814564720083e-5	0.98047	N2
540	1	ECA703	1.190425904117152e-5	0.936495	CB4856
540	1	ECA1229	1.1720481532144804e-5	0.918855	ECA191
540	1	ECA2417	8.21923268903032e-6	0.926235	ECA396
540	1	ECA1281	7.899437014569768e-6	0.93022	ECA396
540	1	ECA1284	7.412290613839792e-6	0.92915	ECA396
540	1	NIC1788	7.117565262629845e-6	0.93573	JU258
540	1	ECA2334	4.03393213222951e-6	0.801735	XZ1514
540	1	JU3228	3.6322267204165696e-6	0.957125	JU774
540	1	NIC1790	3.525014311847931e-6	0.932575	NIC528
540	1	MY772	2.802752875725514e-6	0.973025	MY2147
540	1	ED3012	2.4507097445367287e-6	0.98787	N2
540	1	MY2585	1.8368300160039202e-6	0.96866	N2
540	1	JU367	8.425994871134188e-7	0.990555	N2
540	1	AB1	0	0.97906	N2
540	1	BRC20263	0	0.975125	JU2811
540	1	CB4851	0	0.97905	N2
540	1	CB4852	0	0.987495	N2
540	1	CB4853	0	0.97651	N2
540	1	CB4858	0	0.980295	XZ1515
540	1	CX11292	0	0.9813	N2
