strain	mip_mean	wgs_mean	d_signed	d_abs	alr	rho_s	min_r	boot_partner	nn_ibs	nn_partner	mean_ibs	nn_ibs_n2	nn_partner_n2	well_posed
NIC256	0.010921149765014704	0.028142532708309888	0.017221382943295185	0.017221382943295185	1.4295695766095988	0.37648221343873517	-0.6893494463386819	NIC271	0.994828	NIC271	0.9133648	0.994828	NIC271	TRUE
NIC271	0.02292173987682518	0.007606528885372295	-0.015315210991452884	0.015315210991452884	2.3206825138108127	0.8374580992647022	-0.6893494463386819	NIC256	0.994828	NIC256	0.91234636	0.994828	NIC256	TRUE
ED3049	0.020090926332386932	0.007870179743482083	-0.012220746588904848	0.012220746588904848	1.7218026002036537	0.7104907525668104	-0.11636233234155106	DL200	0.957964	JU561	0.9202129	0.963548	N2	TRUE
JU782	0.012301461424143477	0.003008466714399365	-0.009292994709744111	0.009292994709744111	3.2301383300053126	0.7986031390491785	-0.15451437657606168	NIC256	0.981612	NIC271	0.91060468	0.981612	NIC271	TRUE
JU775	1.705431050575916e-4	0.007897673783597485	0.007727130678539892	0.007727130678539892	5.382991963831144	-0.009881422924901186	-0.35475267188827636	NIC258	0.960818	NIC258	0.8950541	0.960818	NIC258	TRUE
JU2576	0.013241091513892597	0.006608698918862422	-0.006632392595030175	0.006632392595030175	1.0364179686059611	0.9604743083003953	-0.15337054487240312	NIC501	0.9559	JU1581	0.91743598	0.963184	N2	TRUE
JU2526	0.022133253042094354	0.028043065038834084	0.005909811996739732	0.005909811996739732	0.462932538631192	0.9802371541501976	-0.35500737431966845	NIC258	0.96819	JU2316	0.88366222	0.96819	JU2316	TRUE
NIC528	0.012156084489738398	0.0063687611253316805	-0.005787323364406718	0.005787323364406718	11.892201604265809	0.9191938740624611	-0.11092091198997243	NIC526	0.962482	ED3017	0.92266926	0.967416	N2	TRUE
NIC265	0.0188059120820571	0.023961775464431376	0.005155863382374276	0.005155863382374276	0.33347542341698244	0.9901185770750989	-0.28978048619756996	JU2526	0.963036	JU2316	0.89132616	0.963036	JU2316	TRUE
JU2316	0.005726077291227155	0.0010463182243543373	-0.0046797590668728175	0.0049425365421431125	11.422427402082011	0.6064914827233379	-0.22154634193727973	JU2526	0.96819	JU2526	0.8893943599999999	0.96819	JU2526	TRUE
JU2593	0.04434652741194005	0.039798836004947956	-0.004547691406992096	0.004547691406992096	0.16282628838756957	0.9913516487471756	-0.2863713974661183	JU2829	0.962052	JU2829	0.91830686	0.962052	JU2829	TRUE
CX11285	0.009122005050323526	0.004646517045818754	-0.00447548800450477	0.00447548800450477	1.261026706007957	0.9454633211621908	-0.17099213625357315	PS2025	0.959286	CX11271	0.9172559	0.959286	CX11271	TRUE
QW947	0.011765633027642093	0.007465608348589283	-0.00430002467905281	0.00430002467905281	0.7853519310842226	0.8517786561264822	-0.1852283721710233	CX11276	0.954822	JU2464	0.9174054	0.958442	N2	TRUE
JU1652	0.0274334466870405	0.03050579633669218	0.0030723496496516778	0.00418069285955619	0.18881177391204193	0.9861660079051384	-0.32868922033510456	JU1896	0.967646	JU1896	0.92011038	0.967646	JU1896	TRUE
DL238	0.04131875119564466	0.04525505517408421	0.0039363039784395424	0.003975373204092571	0.11789226847937663	0.9940711462450593	-0.10445169812313505	NIC195	0.91234	XZ1515	0.8890066	0.919654	N2	TRUE
DL200	0.013046561389316409	0.01688097483510835	0.0038344134457919407	0.003863525042892485	0.5147994738077851	0.9762845849802371	-0.17661777246681548	NIC501	0.968892	ED3017	0.92186248	0.968892	ED3017	TRUE
NIC258	0.030752040772568632	0.026968579154749036	-0.0037834616178195946	0.0038475529595407695	0.19295105074471736	0.9940711462450593	-0.47598853526000684	JU2519	0.96697	JU2519	0.89549348	0.96697	JU2519	TRUE
CB4856	0.025275933313087955	0.028787109726705493	0.0035111764136175365	0.0038359389268954524	0.12327478055908685	0.9960474308300395	-0.11541461096305407	XZ1514	0.918814	XZ1515	0.89425942	0.925948	N2	TRUE
EG4725	0.022243160670564237	0.021412526105735793	-8.306345648284413e-4	0.0037429748876974256	0.2892645508656811	0.9881422924901185	-0.19045657286402595	NIC526	0.951942	NIC266	0.90684794	0.951942	NIC266	TRUE
JU2841	0.011640195666945545	0.014971430685946053	0.003331235019000507	0.003641634005758135	0.18137778802819593	0.950592885375494	-0.2868251891967054	GXW1	0.957352	GXW1	0.91609772	0.961098	N2	TRUE
ED3052	0.008843579125376212	0.01213196598080931	0.0032883868554330997	0.003638270568002629	0.9465641833037597	0.8547430830039526	-0.26801239568624907	LKC34	0.972086	LKC34	0.92583262	0.97348	N2	TRUE
NIC262	0.0070584271600495916	0.01059815022035534	0.00353972306030575	0.0035994549060431045	0.7763772629651933	0.941699604743083	-0.2807167841012508	NIC261	0.981254	NIC271	0.9069457	0.981254	NIC271	TRUE
NIC195	0.005460026125085957	0.009050024210462231	0.003589998085376274	0.003589998085376274	0.7524265585437491	0.7638339920948616	-0.3275789943352908	NIC251	0.9328	JU561	0.9008145	0.9328	JU561	TRUE
CX11276	0.012056703448239312	0.01563247055046259	0.0035757671022232772	0.0035757671022232772	0.3666736841347272	0.9426877470355732	-0.1852283721710233	QW947	0.967878	CX11271	0.92327842	0.969992	N2	TRUE
NIC523	0.015412902382984504	0.018714600258762704	0.0033016978757782005	0.003496785287102211	0.32653081983941296	0.9871541501976284	-0.2288018535430595	JU561	0.952244	JU561	0.91488474	0.95726	N2	TRUE
NIC3	0.003916232574668972	0.007308344288489236	0.003392111713820264	0.0034739929235752926	1.4965744549964333	0.8913043478260869	-0.18978310057196088	NIC501	0.962094	ED3017	0.92413678	0.971088	N2	TRUE
JU2234	0.005720150672651177	0.0022718166219063453	-0.003448334050744832	0.003448334050744832	3.095034291283919	0.9325961492454858	-0.19437397994014907	JU1896	0.969328	JU1896	0.91944944	0.969328	JU1896	TRUE
JU1793	0.008796446787148929	0.005367439825097703	-0.0034290069620512265	0.0034290069620512265	1.2359817606640289	0.9568243387836143	-0.2634090053303036	JU2106	0.972618	JU2106	0.90729886	0.972618	JU2106	TRUE
QX1793	0.014729563720581111	0.018061268849706623	0.0033317051291255123	0.0033317051291255123	0.34723643982409513	0.992094861660079	-0.12976070373314363	ECA189	0.93891	XZ1515	0.90335966	0.93891	XZ1515	TRUE
JU1581	0.0026124373620045834	0.005889281505518203	0.0032768441435136204	0.0032768441435136204	1.3954961748526784	0.8774703557312253	-0.20490516841642706	JU1793	0.960798	MY2147	0.91856074	0.96218	N2	TRUE
ED3017	0.002383022255139037	0.005644935623337208	0.0032619133681981707	0.0032619133681981707	1.3107163433434788	0.6472332015810277	-0.25897380117994023	ED3077	0.968912	ED3077	0.92830152	0.97679	N2	TRUE
JU2464	0.006942615926424169	0.009594257035985643	0.0026516411095614746	0.003215634351256961	1.088717181279982	0.91699604743083	-0.17403970612828248	QW947	0.963898	GXW1	0.92394678	0.970884	N2	TRUE
JU3137	0.007880425374525863	0.011043355061467393	0.0031629296869415294	0.0031953307392630897	0.625639656610198	0.9683794466403163	-0.23363607877081352	JU774	0.958292	CX11271	0.92047476	0.965746	N2	TRUE
JU2879	0.004654184104372255	0.0015446895156485938	-0.0031094945887236614	0.0031094945887236614	2.019005002873443	0.8247304504407403	-0.28660456614411717	MY23	0.951498	MY23	0.90902508	0.951498	MY23	TRUE
JU2829	0.005202746787665529	0.008240847080318065	0.0030381002926525374	0.003061167879009587	0.6838807314642535	0.9318181818181819	-0.2863713974661183	JU2593	0.962052	JU2593	0.91704118	0.962052	JU2593	TRUE
NIC266	0.004010955874532372	9.680395289522941e-4	-0.0030429163455800777	0.0030429163455800777	9.214659033893227	0.8783479214945901	-0.12724773765531447	EG4725	0.951942	EG4725	0.91496932	0.951942	EG4725	TRUE
JU774	0.010790601142535184	0.008773620736468738	-0.002016980406066447	0.003000940057874749	0.39150379605786906	0.7954545454545455	-0.23363607877081352	JU3137	0.963368	LKC34	0.92315136	0.96569	N2	TRUE
JU2519	0.013599173015679753	0.01651183178317539	0.0029126587674956354	0.002983639228619124	0.2816755470214283	0.9713438735177865	-0.47598853526000684	NIC258	0.96697	NIC258	0.90588422	0.96697	NIC258	TRUE
JU2878	0.010294138949046211	0.0075127562501760775	-0.002781382698870134	0.002874774408074118	0.7279804246875664	0.9539405180931617	-0.12710681289478523	ED3077	0.95733	JU2464	0.92116168	0.964486	N2	TRUE
JU561	7.933774475177944e-5	0.002902597361761449	0.0028232596170096698	0.0028328102578707476	5.370696733799485	-0.29347826086956524	-0.2288018535430595	NIC523	0.966524	JU1652	0.92697826	0.977108	N2	TRUE
XZ1515	0.0034933669954564663	7.004129903101433e-4	-0.002792954005146323	0.002792954005146323	8.137807692051934	0.5123350307663737	-0.12202945853689501	QX1212	0.970726	CX11254	0.93050372	0.97777	N2	TRUE
MY18	0.005007591539073075	0.006717889968830509	0.0017102984297574341	0.0027917874296690365	0.6961285600368923	0.8448616600790515	-0.3619471105764073	MY2741	0.969872	MY2741	0.91861576	0.969872	MY2741	TRUE
QX1212	0.006136802548181643	0.00870226256579835	0.002565460017616708	0.002565460017616708	0.48237114291421973	0.959486166007905	-0.15508461984000213	MY2741	0.965374	XZ1515	0.91761762	0.965374	XZ1515	TRUE
NIC527	0.009174539248393631	0.006705500505078827	-0.0024690387433148036	0.002517376294856743	0.577424801229489	0.9405675201759678	-0.33595943006918166	NIC526	0.966852	NIC526	0.92150726	0.966852	NIC526	TRUE
ECA372	0.01021210682466952	0.007695118491553793	-0.002516988333115727	0.002516988333115727	0.4095483313384051	0.9938226149703739	-0.2355306008654021	XZ1513	0.943714	XZ1515	0.90302026	0.943714	XZ1515	TRUE
