locus	gene	transcript	cross	h2	H2	p1	p2	delta	sd207	z	n.eQTL	classes	best.logP	max.var.exp	hyperdivergent	coding.changes
JU1793xJU2466 X:7.15 Mb	ist-1	C54D1.3b.1	JU1793xJU2466	0.0782469875076057	0.197968822323293	-0.638159030133803	0.567501038619915	-1.205660068753718	0.3490283925657211	-3.454332353568329	0	NA	NA	NA	NA	1
JU1793xJU2466 X:7.15 Mb	C55B6.1	C55B6.1a.2	JU1793xJU2466	0.0529923081523374	0.0107631381927187	2.39969102306127	-0.399467527173201	2.799158550234471	0.8771163192611364	3.191319655974958	0	NA	NA	NA	NA	0
JU1793xJU2466 X:7.15 Mb	C54D1.7	C54D1.7.2	JU1793xJU2466	0.0527626914592829	0.125215703116616	-1	1.76798853350034	-2.76798853350034	0.967581084784753	-2.8607303067691774	0	NA	NA	NA	NA	0
JU1793xJU2466 X:7.15 Mb	alh-10	C54D1.4.1	JU1793xJU2466	0.129843260022998	0.562183334316004	2.75624655121942	3.71734585899674	-0.96109930777732	0.356734499822514	-2.694158564017485	0	NA	NA	NA	NA	1
JU1793xJU2466 X:7.15 Mb	C55B6.1	C55B6.1a.1	JU1793xJU2466	0.148251349112554	0.185006567170608	0.900392843200843	2.5994253688427	-1.699032525641857	0.8107903686802808	-2.095526280618458	0	NA	NA	NA	NA	0
JU1793xJU2466 X:7.15 Mb	clec-86	C54D1.2.1	JU1793xJU2466	0.255369560490018	0.652528032676957	1.54994310572261	3.01744538485336	-1.4675022791307497	0.7102457985438048	-2.066189313811535	0	NA	NA	NA	NA	0
JU1793xJU2466 X:7.15 Mb	ist-1	C54D1.3c.1	JU1793xJU2466	0.0449548705268605	0.0174160296287108	0.516343885203138	-0.187258041950681	0.703601927153819	0.35201030571345987	1.9988105908653664	0	NA	NA	NA	NA	1
JU1793xJU2466 X:7.15 Mb	C54D1.7	C54D1.7.1	JU1793xJU2466	0	0.207089054521672	2.56832169684324	1.44665889981592	1.12166279702732	0.8194323826131188	1.3688289855599889	0	NA	NA	NA	NA	0
JU1793xJU2466 X:7.15 Mb	dnj-7	C55B6.2.1	JU1793xJU2466	0.0119458124717795	0	2.8422762559344	1.79441861337976	1.04785764255464	1.0552665095232439	0.9929791508573971	0	NA	NA	NA	NA	0
JU1793xJU2466 X:7.15 Mb	C55B6.1	C55B6.1b.1	JU1793xJU2466	0.0380470397116403	0.167542797681506	-0.47689669975571	-0.109734297555284	-0.36716240220042595	0.3861756515382963	-0.9507652819069955	0	NA	NA	NA	NA	0
JU1793xJU2466 X:7.15 Mb	pgp-10	C54D1.1.1	JU1793xJU2466	0.105847790262004	0.61956632202201	0.333899308658281	0.605050317584431	-0.27115100892614996	0.3648767282594572	-0.7431304545499525	0	NA	NA	NA	NA	0
JU1793xJU2466 X:7.15 Mb	dnj-7	C55B6.2.2	JU1793xJU2466	0.0713214284781714	0.040833545562744	3.58984267636658	3.22048435215256	0.36935832421402015	0.502760692852263	0.7346603055194625	0	NA	NA	NA	NA	0
JU1793xJU2466 X:7.15 Mb	lam-2	C54D1.5.1	JU1793xJU2466	0.0792195783226335	0.504184535088482	3.89630492725164	4.21203534374388	-0.31573041649223965	0.446264152029532	-0.7074967035921492	0	NA	NA	NA	NA	0
JU1793xJU2466 X:7.15 Mb	ist-1	C54D1.3d.1	JU1793xJU2466	0.0515772575453124	0.193892489403847	-0.0622822666478373	-0.283289862587279	0.2210075959394417	0.3166847953467736	0.6978787715319132	0	NA	NA	NA	NA	1
JU1793xJU2466 X:7.15 Mb	bar-1	C54D1.6.2	JU1793xJU2466	0.127591104036459	0.239396043849583	1.73941601615006	1.60510806955271	0.13430794659735001	0.7725970958347755	0.17383956957828453	0	NA	NA	NA	NA	1
N2xXZ1516 I:1.88 Mb	tub-2	Y71G12A.3a.1	N2xXZ1516	0.179084002305779	0.398385486878877	3.15583383314502	4.19395927757901	-1.03812544443399	0.31014709539830093	-3.3472035038754617	2	Distant eQTL	8.9021483083932	0.165032307489581	No/Yes	1
