ref_size	fraction	n_samples	leak_median	leak_mean	leak_min	leak_max	n_absent	used_median	top_absent_max
102	0.015625	23	0	0	0	0	0	0	0
102	0.03125	23	0	0	0	0	0	0	0
102	0.0625	23	0	0	0	0	0	0	0
102	0.125	23	0	0	0	0	0	0	0
102	0.25	23	0	0	0	0	0	0	0
102	0.5	23	0	0	0	0	0	0	0
102	1	23	0	0	0	0	0	0	0
150	0.015625	23	0.050341656917178054	0.05132771043344837	0.032724140947778514	0.07266533264439307	48	19	0.01918652741193906
150	0.03125	23	0.043571703834003266	0.04270330773899275	0.027829027887965596	0.05285987033021522	48	18	0.01613077460610861
150	0.0625	23	0.04051421099017934	0.0408343621900867	0.024953235602771913	0.051999139606545765	48	19	0.0151850233240599
150	0.125	23	0.03956309371122175	0.03987588380925417	0.02627199774577439	0.051701734338351096	48	19	0.015246808913587857
150	0.25	23	0.038898071646860675	0.03948528048803264	0.02507940776866295	0.057405478082565554	48	20	0.01502853172176449
150	0.5	23	0.037806180686114146	0.038049032199909585	0.027758088036540386	0.04831541534606877	48	20	0.015324298827650042
150	1	23	0.036163415041313485	0.03757478964915838	0.02713355840513511	0.04901027103209246	48	20	0.015258595284753016
250	0.015625	23	0.10985887225732577	0.10584505141131062	0.07738750839182304	0.1278676823378366	148	41	0.020580920396072348
250	0.03125	23	0.08651401295924392	0.09020184698470758	0.06844416334344793	0.10727108239895228	148	40	0.01709154536265463
250	0.0625	23	0.08489911481785578	0.08221905127290093	0.06197836686278867	0.10817054613828385	148	40	0.016233802716577518
250	0.125	23	0.08237140816163183	0.07811406389841632	0.053036264801129926	0.09374720553161767	148	42	0.01672151058688143
250	0.25	23	0.07776059821422268	0.07657417172242097	0.06010590644703348	0.09197757362796927	148	44	0.016032991982072014
250	0.5	23	0.07536794003057846	0.07431003420711256	0.057636087829749674	0.0881704297043601	148	43	0.015135613966188679
250	1	23	0.07473920301465276	0.07352785270982601	0.056884000585449596	0.0877406380844969	148	43	0.015153274260838637
400	0.015625	23	0.1667093615087813	0.16513301306091657	0.12836347854379132	0.19855061352655118	298	60	0.019153842513642456
400	0.03125	23	0.14640209300481097	0.14428538819249703	0.11450127676672482	0.1768173610096476	298	64	0.01721651861759616
400	0.0625	23	0.13004756393385833	0.13051995183847429	0.11199091091555737	0.1557051234724016	298	64	0.014453164438478853
400	0.125	23	0.12113701313348739	0.12264745519464074	0.09705366813346401	0.14541050721606932	298	69	0.015205460989608788
400	0.25	23	0.12135408080790396	0.12121928972780849	0.10526825305056742	0.13620349834602918	298	66	0.01494405571318735
400	0.5	23	0.12007853051751327	0.11883277694210798	0.10183983636178384	0.13543751632136364	298	68	0.015257353900449596
400	1	23	0.11805863085433611	0.11716541248312232	0.10029502953789002	0.1334776674345848	298	68	0.015148985207232244
540	0.015625	23	0.20112759406108963	0.20241165287089677	0.16561160794399352	0.24438073592950776	438	75	0.020839574688590726
540	0.03125	23	0.17772154565794124	0.1748903937067313	0.14394522022433442	0.2187490106782454	438	80	0.018809797432392677
540	0.0625	23	0.15957481735440238	0.16161412928079613	0.14159520270496007	0.19362226394669754	438	81	0.014552501634807095
540	0.125	23	0.15237228257172913	0.15466485505654853	0.12445662204986944	0.18319762433296172	438	82	0.015346279243061057
540	0.25	23	0.15166251229200467	0.15459653511695334	0.13954240130557188	0.1735751251678048	438	83	0.014943961240092141
540	0.5	23	0.15271410009231615	0.1517775368631298	0.13524896805274647	0.1706764202158754	438	84	0.015310994018489513
540	1	23	0.14869699573610087	0.14949541777860945	0.13245719565440708	0.16821971213914771	438	84	0.015192359803637423
