ref_size	fraction	n	zero_frac	rho	p	rho_nonzero	rho_support
150	0.015625	48	0.020833333333333332	0.48284845853234915	5.918446438303291e-4	0.4700508788159112	0.14214398724729388
150	0.03125	48	0.10416666666666667	0.39871842525525714	0.0050001326675278525	0.48655995167623073	-0.0024614693277495037
150	0.0625	48	0.10416666666666667	0.3040078649658035	0.035666184186657665	0.3349441256418001	0.07630554916023463
150	0.125	48	0.20833333333333334	0.3504110905010938	0.014618523644419786	0.4360433307801729	0.10368355682174085
150	0.25	48	0.20833333333333334	0.3066301498332273	0.03402671036111132	0.43319838056680154	0.04073282589425534
150	0.5	48	0.25	0.2987345924062735	0.03916052768501837	0.4465894465894466	0.05209463982067663
150	1	48	0.25	0.30409551349322	0.03561035222116347	0.4635778635778636	0.04514868784458641
250	0.015625	148	0.060810810810810814	0.3570177766396055	8.421834977591734e-6	0.37465481031324005	0.06319948483453333
250	0.03125	148	0.14189189189189189	0.23395216449470269	0.004211826701585835	0.3305153262092238	-0.02062237644328431
250	0.0625	148	0.22297297297297297	0.19337258828020554	0.01853250638565662	0.3794523790736211	-0.05300381615372954
250	0.125	148	0.28378378378378377	0.189131397953382	0.02132433251750585	0.31567624757538354	0.03297532595892374
250	0.25	148	0.33783783783783783	0.18927279364673605	0.02122572145142655	0.2927337757971042	0.06620731439296737
250	0.5	148	0.40540540540540543	0.11941516028474489	0.14828705891165156	0.4194463034060089	-0.041553878965963624
250	1	148	0.4189189189189189	0.13610117667863203	0.09906828445861404	0.39236756450775984	-0.0048082275234725275
400	0.015625	298	0.1644295302013423	0.30632569487252054	6.812432431534828e-8	0.41558181111542947	0.024783923012051744
400	0.03125	298	0.21476510067114093	0.2375021959011437	3.4412251171599634e-5	0.4012779537754427	-0.013108651694916908
400	0.0625	298	0.31543624161073824	0.16046298170711415	0.005496591060930651	0.3333130729162986	0.003861496758460677
400	0.125	298	0.37583892617449666	0.1442618138894716	0.012669295881556894	0.40219591680692246	-0.021745787217794472
400	0.25	298	0.46308724832214765	0.13732786618926549	0.017695364834324247	0.3518692136411578	0.03183990242376076
400	0.5	298	0.47651006711409394	0.11806873225271819	0.04167554096550502	0.3891008518910717	0.005076726167453992
400	1	298	0.47651006711409394	0.12608673937861986	0.029544883943022522	0.34045297213573356	0.029913632648228904
540	0.015625	438	0.2054794520547945	0.2395440717413338	3.915825083451603e-7	0.37651354867110487	0.00216744748541195
540	0.03125	438	0.2762557077625571	0.16947726147697037	3.672494281461341e-4	0.36890837738493787	-0.028833251320988938
540	0.0625	438	0.3493150684931507	0.10898321603678393	0.022540740414044528	0.28866478259793593	-0.017441314409693806
540	0.125	438	0.4246575342465753	0.08840386636288748	0.0645315849523255	0.27924739963541284	-0.0063929164429553315
540	0.25	438	0.5091324200913242	0.08654709357425594	0.0703707158054015	0.328801205293914	0.0011197156655093432
540	0.5	438	0.5205479452054794	0.06164846010624067	0.197834789804348	0.30733382357228706	-0.013626427230373162
540	1	438	0.5684931506849316	0.05100609683513383	0.2868209611095226	0.35300307506354545	-0.021272964075864386
