ref_size	fraction	rho_asis	rho_renorm	rmse_asis	rmse_renorm
102	0.015625	0.9367544581093916	0.9367544581093916	1.9570747530956521e-4	1.9570747530956521e-4
102	0.03125	0.9395724550363725	0.9395724550363725	1.7206406251938603e-4	1.7206406251938603e-4
102	0.0625	0.9524893368781437	0.9524893368781437	1.6148176854394677e-4	1.6148176854394677e-4
102	0.125	0.9696778430209947	0.9696778430209947	1.4593158324484898e-4	1.45931583244849e-4
102	0.25	0.9727636134116251	0.9727636134116251	1.4096335945687862e-4	1.4096335945687862e-4
102	0.5	0.9755688592212891	0.9755688592212891	1.400259293423065e-4	1.400259293423065e-4
102	1	0.9742809963723069	0.9742809963723069	1.4010508268819016e-4	1.4010508268819013e-4
150	0.015625	0.936448431293792	0.9363974268245253	1.86655832272919e-4	1.9198673366418062e-4
150	0.03125	0.9461677988680417	0.9455174898118471	1.6999709258114088e-4	1.7303260860643244e-4
150	0.0625	0.9552053248665914	0.9554858494475578	1.5969299239280385e-4	1.6089912164098013e-4
150	0.125	0.9711983219525464	0.9718486310087409	1.451965176134953e-4	1.4705543764023958e-4
150	0.25	0.9747813973405982	0.9746538857609522	1.401097751755117e-4	1.4302214946874158e-4
150	0.5	0.976040345128984	0.9761296040883592	1.370956322510284e-4	1.3947777493591594e-4
150	1	0.975721563131215	0.9753772785736246	1.3720996241439572e-4	1.393949698925323e-4
250	0.015625	0.9384376055951901	0.9386416234722567	1.8622975289075622e-4	2.0999621900381863e-4
250	0.03125	0.9450584481251216	0.9447524203339713	1.6739188787878113e-4	1.7971612036045347e-4
250	0.0625	0.9554603472129244	0.9547335335258751	1.587954636563174e-4	1.6584814858027928e-4
250	0.125	0.9714150916379445	0.9711090638467942	1.4692545488059926e-4	1.5505368038429106e-4
250	0.25	0.9725626958547584	0.972384179643254	1.4099171736284727e-4	1.5113984342408153e-4
250	0.5	0.9742806685012994	0.9743061710611208	1.3837356521964055e-4	1.4629162374023882e-4
250	1	0.9734385764044539	0.9730305276424195	1.380374893506747e-4	1.459137837241011e-4
400	0.015625	0.9483069703982809	0.9484727349233976	1.8540314008305028e-4	2.3705837758608277e-4
400	0.03125	0.9412586030516715	0.9410035798923797	1.668935863024823e-4	1.9695538770324008e-4
400	0.0625	0.9543637511236921	0.9548737958163582	1.6255749568837673e-4	1.8562938500790965e-4
400	0.125	0.9691546539771749	0.97082507164548415	1.4629287998950294e-4	1.6748318211549015e-4
400	0.25	0.972233557404071	0.9722463089278846	1.4087425384992354e-4	1.6580639085757643e-4
400	0.5	0.9728256384581331	0.9731826925079154	1.3865414114103928e-4	1.60453861074067e-4
400	1	0.9739223044681791	0.9742793585179617	1.3735231007506755e-4	1.5912996506706265e-4
540	0.015625	0.9548865469336749	0.9540194709561425	1.8689357426862214e-4	2.478482467824158e-4
540	0.03125	0.9366171815525581	0.9345132404883996	1.711162710794704e-4	2.1386086309938245e-4
540	0.0625	0.9523393593229068	0.9519950780578625	1.662717290866832e-4	2.0458070608180928e-4
540	0.125	0.9662785957831318	0.9686631307362702	1.5219377705699225e-4	1.845152424046846e-4
540	0.25	0.9723100665469524	0.9714174598800023	1.4471893456129763e-4	1.818564446227266e-4
540	0.5	0.9737692813039867	0.9743431181697084	1.415195384816116e-4	1.7659459601875233e-4
540	1	0.9747511799408883	0.9743941258911059	1.4219133508715454e-4	1.7560345830593086e-4
