ref_size	fraction	n	rho_ibs	p	median_gap_permille
102	0.015625	98	0.5040662336329031	1.2138497643881592e-7	2.921196572120163
102	0.03125	98	0.4909637505177773	2.8574938708222067e-7	2.7953120985440187
102	0.0625	98	0.3657473680856821	2.1269952264494672e-4	2.5631122256790366
102	0.125	98	0.369126597307588	1.8382034070922522e-4	2.401190374758745
102	0.25	98	0.32338586063220476	0.001162105487757347	2.3549631355488145
102	0.5	98	0.3327329361780804	8.153099652267902e-4	2.2932785806379545
102	1	98	0.3221744388356725	0.001215744715191006	2.299853197578998
150	0.015625	98	0.4065340272036674	3.271167368675965e-5	3.0750643139492797
150	0.03125	98	0.3841227239678196	9.432699572642287e-5	2.81532065359266
150	0.0625	98	0.25239654335541123	0.012166633378934881	2.611403190695185
150	0.125	98	0.27712867571724725	0.005734969270242211	2.476835228988156
150	0.25	98	0.20710211997348732	0.040742455528645465	2.3521791871055044
150	0.5	98	0.2128085542255737	0.03539332026982228	2.408162558286424
150	1	98	0.21065987451277693	0.03733378570227192	2.337685805035764
250	0.015625	98	0.3674306067924428	1.9782749692516367e-4	3.1708372189834026
250	0.03125	98	0.32344961967412755	0.001159342927117803	3.013173764466563
250	0.0625	98	0.23446750076673303	0.020135018035090914	2.741000584844851
250	0.125	98	0.2535824615351745	0.011753683417808638	2.5109083660384903
250	0.25	98	0.17519709539534153	0.08444059660736493	2.543163753193728
250	0.5	98	0.18884790627100304	0.0625598771694667	2.496919077835897
250	1	98	0.18807004595954543	0.06366828235003957	2.4596876653729725
400	0.015625	98	0.32265263165009317	0.001194308093976093	3.350018040525355
400	0.03125	98	0.295555038832923	0.0031306313712530396	3.1419714220854704
400	0.0625	98	0.18931972318123141	0.061895253682984805	2.8572586544929424
400	0.125	98	0.2101306744648181	0.03782514961986042	2.87912629611313
400	0.25	98	0.143783015440001	0.15781240572201222	2.692992571620685
400	0.5	98	0.14605921323664328	0.1512674667094045	2.701915156701288
400	1	98	0.14425483235022937	0.15643869568332586	2.72010600294157
540	0.015625	98	0.33699841608271264	6.909764549531504e-4	3.5449999687903317
540	0.03125	98	0.2887902044849188	0.003927704389370188	3.384632306649018
540	0.0625	98	0.20055406636802053	0.04769488238413865	3.004447588406585
540	0.125	98	0.2285634134846861	0.023593506838565717	3.034628604763435
540	0.25	98	0.1755987773594549	0.08371947810957808	2.842299709159596
540	0.5	98	0.18178978033015422	0.07321375787496731	2.8751896607781857
540	1	98	0.17767094622194438	0.08007704632762437	2.8511984051736645
