ref_size	fraction	n	rho	rmse	alt_per_marker
102	0.015625	98	0.9367544581093916	1.9570747530956521e-4	0.04028209174581996
102	0.03125	98	0.9395724550363725	1.7206406251938603e-4	0.08037974180835371
102	0.0625	98	0.9524893368781437	1.6148176854394677e-4	0.16097053016932433
102	0.125	98	0.9696778430209947	1.4593158324484898e-4	0.32196966848083525
102	0.25	98	0.9727636134116251	1.4096335945687862e-4	0.6441153086667418
102	0.5	98	0.9755688592212891	1.400259293423065e-4	1.2878958950408734
102	1	98	0.9742809963723069	1.4010508268819016e-4	2.5760762899724106
150	0.015625	98	0.936448431293792	1.86655832272919e-4	0.04028209174581996
150	0.03125	98	0.9461677988680417	1.6999709258114088e-4	0.08037974180835371
150	0.0625	98	0.9552053248665914	1.5969299239280385e-4	0.16097053016932433
150	0.125	98	0.9711983219525464	1.451965176134953e-4	0.32196966848083525
150	0.25	98	0.9747813973405982	1.401097751755117e-4	0.6441153086667418
150	0.5	98	0.976040345128984	1.370956322510284e-4	1.2878958950408734
150	1	98	0.975721563131215	1.3720996241439572e-4	2.5760762899724106
250	0.015625	98	0.9384376055951901	1.8622975289075622e-4	0.04028209174581996
250	0.03125	98	0.9450584481251216	1.6739188787878113e-4	0.08037974180835371
250	0.0625	98	0.9554603472129244	1.587954636563174e-4	0.16097053016932433
250	0.125	98	0.9714150916379445	1.4692545488059926e-4	0.32196966848083525
250	0.25	98	0.9725626958547584	1.4099171736284727e-4	0.6441153086667418
250	0.5	98	0.9742806685012994	1.3837356521964055e-4	1.2878958950408734
250	1	98	0.9734385764044539	1.380374893506747e-4	2.5760762899724106
400	0.015625	98	0.9483069703982809	1.8540314008305028e-4	0.04028209174581996
400	0.03125	98	0.9412586030516715	1.668935863024823e-4	0.08037974180835371
400	0.0625	98	0.9543637511236921	1.6255749568837673e-4	0.16097053016932433
400	0.125	98	0.9691546539771749	1.4629287998950294e-4	0.32196966848083525
400	0.25	98	0.972233557404071	1.4087425384992354e-4	0.6441153086667418
400	0.5	98	0.9728256384581331	1.3865414114103928e-4	1.2878958950408734
400	1	98	0.9739223044681791	1.3735231007506755e-4	2.5760762899724106
540	0.015625	98	0.9548865469336749	1.8689357426862214e-4	0.04028209174581996
540	0.03125	98	0.9366171815525581	1.711162710794704e-4	0.08037974180835371
540	0.0625	98	0.9523393593229068	1.662717290866832e-4	0.16097053016932433
540	0.125	98	0.9662785957831318	1.5219377705699225e-4	0.32196966848083525
540	0.25	98	0.9723100665469524	1.4471893456129763e-4	0.6441153086667418
540	0.5	98	0.9737692813039867	1.415195384816116e-4	1.2878958950408734
540	1	98	0.9747511799408883	1.4219133508715454e-4	2.5760762899724106
