trait	depth	n.strains	n.measured	n.zero.fitness	r2.recomputed	r2.reported	agrees
Albendazole_q75.TOF	500	327	199	129	0.9982892991001263	1	TRUE
Albendazole_q75.TOF	100	327	199	129	0.9709133151267475	0.97	TRUE
Albendazole_q75.TOF	50	327	199	129	0.9664713111578733	0.97	TRUE
Albendazole_q75.TOF	30	327	199	129	0.9515865401560785	0.95	TRUE
Albendazole_q75.TOF	10	327	199	129	0.9039049898620299	0.9	TRUE
Albendazole_q75.TOF	5	327	199	129	0.8360117887777433	0.84	TRUE
Albendazole_q75.TOF	3	327	199	129	0.7687231728917897	0.77	TRUE
Albendazole_q75.TOF	1	327	199	129	0.5632851158991937	0.56	TRUE
PC1	500	327	84	244	0.9998157902177082	1	TRUE
PC1	100	327	84	244	0.9991879143778781	1	TRUE
PC1	50	327	84	244	0.9981954275123324	1	TRUE
PC1	30	327	84	244	0.9964987725242093	1	TRUE
PC1	10	327	84	244	0.9861718992034655	0.99	TRUE
PC1	5	327	84	244	0.9804151507521696	0.98	TRUE
PC1	3	327	84	244	0.9792468998428018	0.98	TRUE
PC1	1	327	84	244	0.9135132076721943	0.91	TRUE
amsacrine_f.L1	500	327	135	193	0.9994811854181604	1	TRUE
amsacrine_f.L1	100	327	135	193	0.9973011361775176	1	TRUE
amsacrine_f.L1	50	327	135	193	0.9951685053274734	1	TRUE
amsacrine_f.L1	30	327	135	193	0.9905740817612809	0.99	TRUE
amsacrine_f.L1	10	327	135	193	0.9722838595364475	0.97	TRUE
amsacrine_f.L1	5	327	135	193	0.9504826640434402	0.95	TRUE
amsacrine_f.L1	3	327	135	193	0.9278229030755334	0.93	TRUE
amsacrine_f.L1	1	327	135	193	0.7855906445285028	0.79	TRUE
assay_norm	500	327	152	176	0.9994194186076231	1	TRUE
assay_norm	100	327	152	176	0.9964787282194376	1	TRUE
assay_norm	50	327	152	176	0.9951490639464904	1	TRUE
assay_norm	30	327	152	176	0.9895418234854466	0.99	TRUE
assay_norm	10	327	152	176	0.9625919657612476	0.96	TRUE
assay_norm	5	327	152	176	0.9346899437623536	0.93	TRUE
assay_norm	3	327	152	176	0.8936704128430646	0.89	TRUE
assay_norm	1	327	152	176	0.8127608840983023	0.81	TRUE
etoposide_median.TOF	500	327	137	191	0.9994537610555523	1	TRUE
etoposide_median.TOF	100	327	137	191	0.9966095988045076	1	TRUE
etoposide_median.TOF	50	327	137	191	0.9955775152022096	1	TRUE
etoposide_median.TOF	30	327	137	191	0.9905266312354043	0.99	TRUE
etoposide_median.TOF	10	327	137	191	0.9664679575986376	0.97	TRUE
etoposide_median.TOF	5	327	137	191	0.9322077649447759	0.93	TRUE
etoposide_median.TOF	3	327	137	191	0.8902262032599059	0.89	TRUE
etoposide_median.TOF	1	327	137	191	0.7170828383552763	0.72	TRUE
mtDNA_ratio	500	327	327	1	0.9964089168346534	1	TRUE
mtDNA_ratio	100	327	327	1	0.9869475927766095	0.99	TRUE
mtDNA_ratio	50	327	327	1	0.9643943936794186	0.96	TRUE
mtDNA_ratio	30	327	327	1	0.9476549868151509	0.95	TRUE
mtDNA_ratio	10	327	327	1	0.8850680673025649	0.89	TRUE
mtDNA_ratio	5	327	327	1	0.7797950191252373	0.78	TRUE
mtDNA_ratio	3	327	327	1	0.69041977811394994	0.69	TRUE
mtDNA_ratio	1	327	327	1	0.5210104245195589	0.52	TRUE
value	500	327	131	197	0.9996948154442838	1	TRUE
value	100	327	131	197	0.9984546302416887	1	TRUE
value	50	327	131	197	0.9970599480616491	1	TRUE
value	30	327	131	197	0.9930298689547837	0.99	TRUE
value	10	327	131	197	0.9858725812245154	0.99	TRUE
value	5	327	131	197	0.9790853248941179	0.98	TRUE
value	3	327	131	197	0.9593724651819528	0.96	TRUE
value	1	327	131	197	0.858436955082506	0.86	TRUE
