rep	trait	arm	depth	r2	n.neg	min.coef
1	Albendazole_q75.TOF	fcnnls.raw	500	0.998391865523982	0	0
1	Albendazole_q75.TOF	fcnnls.raw	100	0.992577495082096	0	0
1	Albendazole_q75.TOF	fcnnls.raw	50	0.9799061271838972	0	0
1	Albendazole_q75.TOF	fcnnls.raw	30	0.9698866187970486	0	0
1	Albendazole_q75.TOF	fcnnls.raw	10	0.9181787666929081	0	0
1	Albendazole_q75.TOF	fcnnls.raw	5	0.8446149796478402	0	0
1	Albendazole_q75.TOF	fcnnls.raw	3	0.7746870394377628	0	0
1	Albendazole_q75.TOF	fcnnls.raw	1	0.6050544540354421	0	0
1	Albendazole_q75.TOF	fcnnls.ne	500	0.9978804642041483	0	0
1	Albendazole_q75.TOF	fcnnls.ne	100	0.9902117727354481	0	0
1	Albendazole_q75.TOF	fcnnls.ne	50	0.9717238605746149	0	0
1	Albendazole_q75.TOF	fcnnls.ne	30	0.9656426004604441	0	0
1	Albendazole_q75.TOF	fcnnls.ne	10	0.9032069835791566	0	0
1	Albendazole_q75.TOF	fcnnls.ne	5	0.8300448716591371	0	0
1	Albendazole_q75.TOF	fcnnls.ne	3	0.7590206942199574	0	0
1	Albendazole_q75.TOF	fcnnls.ne	1	0.5430273142234046	0	0
1	Albendazole_q75.TOF	rcppml.ne	500	0.9983917322756208	0	0
1	Albendazole_q75.TOF	rcppml.ne	100	0.9925774950820951	0	0
1	Albendazole_q75.TOF	rcppml.ne	50	0.9799057959591303	0	0
1	Albendazole_q75.TOF	rcppml.ne	30	0.9698996461356352	0	0
1	Albendazole_q75.TOF	rcppml.ne	10	0.9181742938191233	0	0
1	Albendazole_q75.TOF	rcppml.ne	5	0.8446156693451962	0	0
1	Albendazole_q75.TOF	rcppml.ne	3	0.7746306966108927	0	0
1	Albendazole_q75.TOF	rcppml.ne	1	0.6045274300111753	0	0
1	amsacrine_f.L1	fcnnls.raw	500	0.9995943699084521	0	0
1	amsacrine_f.L1	fcnnls.raw	100	0.9975582353055327	0	0
1	amsacrine_f.L1	fcnnls.raw	50	0.9959452602629009	0	0
1	amsacrine_f.L1	fcnnls.raw	30	0.9904250946316729	0	0
1	amsacrine_f.L1	fcnnls.raw	10	0.9788830620492236	0	0
1	amsacrine_f.L1	fcnnls.raw	5	0.95679432577977	0	0
1	amsacrine_f.L1	fcnnls.raw	3	0.9330593310333801	0	0
1	amsacrine_f.L1	fcnnls.raw	1	0.8337611764015836	0	0
1	amsacrine_f.L1	fcnnls.ne	500	0.9993835848798881	0	0
1	amsacrine_f.L1	fcnnls.ne	100	0.9960083320763937	0	0
1	amsacrine_f.L1	fcnnls.ne	50	0.9904272915258547	0	0
1	amsacrine_f.L1	fcnnls.ne	30	0.9832129848842933	0	0
1	amsacrine_f.L1	fcnnls.ne	10	0.9651366344212602	0	0
1	amsacrine_f.L1	fcnnls.ne	5	0.9277794702833675	0	0
1	amsacrine_f.L1	fcnnls.ne	3	0.8862754751711704	0	0
1	amsacrine_f.L1	fcnnls.ne	1	0.7850371973598946	0	0
1	amsacrine_f.L1	rcppml.ne	500	0.9995944846867698	0	0
1	amsacrine_f.L1	rcppml.ne	100	0.997557971728963	0	0
1	amsacrine_f.L1	rcppml.ne	50	0.9959436447626195	0	0
1	amsacrine_f.L1	rcppml.ne	30	0.9904277476961543	0	0
1	amsacrine_f.L1	rcppml.ne	10	0.9788990599011221	0	0
1	amsacrine_f.L1	rcppml.ne	5	0.95681848953079	0	0
1	amsacrine_f.L1	rcppml.ne	3	0.9330507105945905	0	0
1	amsacrine_f.L1	rcppml.ne	1	0.8332957488604378	0	0
1	assay_norm	fcnnls.raw	500	0.9993415580931673	0	0
1	assay_norm	fcnnls.raw	100	0.9967332210001683	0	0
1	assay_norm	fcnnls.raw	50	0.9926829138973157	0	0
1	assay_norm	fcnnls.raw	30	0.9932872478284129	0	0
1	assay_norm	fcnnls.raw	10	0.9593813959784719	0	0
1	assay_norm	fcnnls.raw	5	0.9192373504116005	0	0
1	assay_norm	fcnnls.raw	3	0.9213175475399933	0	0
1	assay_norm	fcnnls.raw	1	0.7550863969403888	0	0
1	assay_norm	fcnnls.ne	500	0.9989855042960609	0	0
1	assay_norm	fcnnls.ne	100	0.9957059574871304	0	0
1	assay_norm	fcnnls.ne	50	0.991332124089409	0	0
1	assay_norm	fcnnls.ne	30	0.9869124426059482	0	0
1	assay_norm	fcnnls.ne	10	0.9366828209706014	0	0
1	assay_norm	fcnnls.ne	5	0.8764890153268629	0	0
1	assay_norm	fcnnls.ne	3	0.884897752207072	0	0
1	assay_norm	fcnnls.ne	1	0.7350138309218683	0	0
1	assay_norm	rcppml.ne	500	0.9993409633314593	0	0
1	assay_norm	rcppml.ne	100	0.9967309918768968	0	0
1	assay_norm	rcppml.ne	50	0.9926823106990867	0	0
1	assay_norm	rcppml.ne	30	0.9932869585746188	0	0
1	assay_norm	rcppml.ne	10	0.9593766156164075	0	0
1	assay_norm	rcppml.ne	5	0.9192003400802086	0	0
1	assay_norm	rcppml.ne	3	0.9213211960798444	0	0
1	assay_norm	rcppml.ne	1	0.7561193211888196	0	0
1	etoposide_median.TOF	fcnnls.raw	500	0.9994876536381359	0	0
1	etoposide_median.TOF	fcnnls.raw	100	0.9975707626670032	0	0
1	etoposide_median.TOF	fcnnls.raw	50	0.9947181626850178	0	0
1	etoposide_median.TOF	fcnnls.raw	30	0.9910427447940606	0	0
1	etoposide_median.TOF	fcnnls.raw	10	0.9728385610395119	0	0
1	etoposide_median.TOF	fcnnls.raw	5	0.9404999376534656	0	0
1	etoposide_median.TOF	fcnnls.raw	3	0.8856204076781155	0	0
1	etoposide_median.TOF	fcnnls.raw	1	0.6775168021556507	0	0
1	etoposide_median.TOF	fcnnls.ne	500	0.9990241916904462	0	0
1	etoposide_median.TOF	fcnnls.ne	100	0.9962051124494824	0	0
1	etoposide_median.TOF	fcnnls.ne	50	0.9909413946453786	0	0
1	etoposide_median.TOF	fcnnls.ne	30	0.9862632632773213	0	0
1	etoposide_median.TOF	fcnnls.ne	10	0.9660539656276057	0	0
1	etoposide_median.TOF	fcnnls.ne	5	0.9079182901780557	0	0
1	etoposide_median.TOF	fcnnls.ne	3	0.8501517568474023	0	0
1	etoposide_median.TOF	fcnnls.ne	1	0.6247417796212436	0	0
1	etoposide_median.TOF	rcppml.ne	500	0.9994877597026376	0	0
1	etoposide_median.TOF	rcppml.ne	100	0.9975707626670023	0	0
1	etoposide_median.TOF	rcppml.ne	50	0.9947177970706425	0	0
1	etoposide_median.TOF	rcppml.ne	30	0.9910480489142675	0	0
1	etoposide_median.TOF	rcppml.ne	10	0.9728496240136865	0	0
1	etoposide_median.TOF	rcppml.ne	5	0.9404999376534681	0	0
1	etoposide_median.TOF	rcppml.ne	3	0.8855425908718777	0	0
1	etoposide_median.TOF	rcppml.ne	1	0.6774955389301636	0	0
1	mtDNA_ratio	fcnnls.raw	500	0.9973181818371961	0	0
1	mtDNA_ratio	fcnnls.raw	100	0.981851290237663	0	0
1	mtDNA_ratio	fcnnls.raw	50	0.9676758514828895	0	0
1	mtDNA_ratio	fcnnls.raw	30	0.9422389116057539	0	0
1	mtDNA_ratio	fcnnls.raw	10	0.8734554820559723	2	-0.0020484023635653644
1	mtDNA_ratio	fcnnls.raw	5	0.7946090760735868	0	0
1	mtDNA_ratio	fcnnls.raw	3	0.7131672152484199	0	0
1	mtDNA_ratio	fcnnls.raw	1	0.4458635675484534	0	0
1	mtDNA_ratio	fcnnls.ne	500	0.9973322942930405	0	0
1	mtDNA_ratio	fcnnls.ne	100	0.9810351712402499	1	-0.00270533737492213
1	mtDNA_ratio	fcnnls.ne	50	0.9650547238977899	7	-0.03141614195690724
1	mtDNA_ratio	fcnnls.ne	30	0.9358237098536178	6	-0.013178194458104904
1	mtDNA_ratio	fcnnls.ne	10	0.8421064136945255	20	-0.02390480075998235
1	mtDNA_ratio	fcnnls.ne	5	0.7940421896065246	0	0
1	mtDNA_ratio	fcnnls.ne	3	0.7028525289834884	0	0
1	mtDNA_ratio	fcnnls.ne	1	0.47056141023145903	0	0
1	mtDNA_ratio	rcppml.ne	500	0.9973181818371966	0	0
1	mtDNA_ratio	rcppml.ne	100	0.9824593521860164	0	0
1	mtDNA_ratio	rcppml.ne	50	0.9680120472075556	0	0
1	mtDNA_ratio	rcppml.ne	30	0.9433616162066649	0	0
1	mtDNA_ratio	rcppml.ne	10	0.8743697799540635	0	0
1	mtDNA_ratio	rcppml.ne	5	0.7946226758162435	0	0
1	mtDNA_ratio	rcppml.ne	3	0.714076332661317	0	0
1	mtDNA_ratio	rcppml.ne	1	0.4462862237146397	0	0
1	PC1	fcnnls.raw	500	0.9998143598072728	0	0
1	PC1	fcnnls.raw	100	0.9992794374519015	0	0
1	PC1	fcnnls.raw	50	0.998324607040111	0	0
1	PC1	fcnnls.raw	30	0.9972495515779319	0	0
1	PC1	fcnnls.raw	10	0.9894174574062381	0	0
1	PC1	fcnnls.raw	5	0.9812151659375814	0	0
1	PC1	fcnnls.raw	3	0.969735145921228	0	0
1	PC1	fcnnls.raw	1	0.9045002038611574	0	0
1	PC1	fcnnls.ne	500	0.9996665483122567	0	0
1	PC1	fcnnls.ne	100	0.998018954226069	0	0
1	PC1	fcnnls.ne	50	0.9962842292731536	0	0
1	PC1	fcnnls.ne	30	0.9941161968967273	0	0
1	PC1	fcnnls.ne	10	0.9796613519574493	0	0
1	PC1	fcnnls.ne	5	0.9609591251898573	0	0
1	PC1	fcnnls.ne	3	0.9429417301988388	0	0
1	PC1	fcnnls.ne	1	0.8512956267172087	0	0
1	PC1	rcppml.ne	500	0.9998146158351893	0	0
1	PC1	rcppml.ne	100	0.999279744095951	0	0
1	PC1	rcppml.ne	50	0.9983240674850177	0	0
1	PC1	rcppml.ne	30	0.9972508057830533	0	0
1	PC1	rcppml.ne	10	0.9894171779837485	0	0
1	PC1	rcppml.ne	5	0.981219842719089	0	0
1	PC1	rcppml.ne	3	0.9697191967682746	0	0
1	PC1	rcppml.ne	1	0.9046201508580543	0	0
1	value	fcnnls.raw	500	0.9996993706266737	0	0
1	value	fcnnls.raw	100	0.9985269152391981	0	0
1	value	fcnnls.raw	50	0.9974943616346614	0	0
1	value	fcnnls.raw	30	0.9949828105018073	0	0
1	value	fcnnls.raw	10	0.9900762191062119	0	0
1	value	fcnnls.raw	5	0.9729642118176763	0	0
1	value	fcnnls.raw	3	0.9477326488581933	0	0
1	value	fcnnls.raw	1	0.8784500933139784	0	0
1	value	fcnnls.ne	500	0.9994921938619996	0	0
1	value	fcnnls.ne	100	0.9975482677879771	0	0
1	value	fcnnls.ne	50	0.9961281563003249	0	0
1	value	fcnnls.ne	30	0.9898157715844451	0	0
1	value	fcnnls.ne	10	0.9855900976367373	0	0
1	value	fcnnls.ne	5	0.9510753786114791	0	0
1	value	fcnnls.ne	3	0.9230539123834152	0	0
1	value	fcnnls.ne	1	0.851252564925376	0	0
1	value	rcppml.ne	500	0.9996999922747094	0	0
1	value	rcppml.ne	100	0.9985262068205121	0	0
1	value	rcppml.ne	50	0.9974943585403415	0	0
1	value	rcppml.ne	30	0.9949863211816391	0	0
1	value	rcppml.ne	10	0.9900726629890092	0	0
1	value	rcppml.ne	5	0.9729711758653724	0	0
1	value	rcppml.ne	3	0.9477973281546822	0	0
1	value	rcppml.ne	1	0.8782862214821103	0	0
2	Albendazole_q75.TOF	fcnnls.ne	500	0.9976071333264489	0	0
2	Albendazole_q75.TOF	fcnnls.ne	100	0.9900875737946195	0	0
2	Albendazole_q75.TOF	fcnnls.ne	50	0.9788466443774204	0	0
2	Albendazole_q75.TOF	fcnnls.ne	30	0.9692162373242322	0	0
2	Albendazole_q75.TOF	fcnnls.ne	10	0.8674061463606545	0	0
2	Albendazole_q75.TOF	fcnnls.ne	5	0.8323869129991517	0	0
2	Albendazole_q75.TOF	fcnnls.ne	3	0.7472593821432416	0	0
2	Albendazole_q75.TOF	fcnnls.ne	1	0.509729438251607	0	0
2	Albendazole_q75.TOF	rcppml.ne	500	0.9979263291824931	0	0
2	Albendazole_q75.TOF	rcppml.ne	100	0.9915558622899886	0	0
2	Albendazole_q75.TOF	rcppml.ne	50	0.9810192876220282	0	0
2	Albendazole_q75.TOF	rcppml.ne	30	0.9755622991177504	0	0
2	Albendazole_q75.TOF	rcppml.ne	10	0.8904436519677376	0	0
2	Albendazole_q75.TOF	rcppml.ne	5	0.8406587117203759	0	0
2	Albendazole_q75.TOF	rcppml.ne	3	0.7941461701437295	0	0
2	Albendazole_q75.TOF	rcppml.ne	1	0.5748966857330597	0	0
2	amsacrine_f.L1	fcnnls.ne	500	0.9993827900083827	0	0
2	amsacrine_f.L1	fcnnls.ne	100	0.9970775403618404	0	0
2	amsacrine_f.L1	fcnnls.ne	50	0.9926868897071378	0	0
2	amsacrine_f.L1	fcnnls.ne	30	0.984301060715637	0	0
2	amsacrine_f.L1	fcnnls.ne	10	0.9490991889923263	0	0
2	amsacrine_f.L1	fcnnls.ne	5	0.9292619521141319	0	0
2	amsacrine_f.L1	fcnnls.ne	3	0.9024751009588011	0	0
2	amsacrine_f.L1	fcnnls.ne	1	0.7136242584522499	0	0
2	amsacrine_f.L1	rcppml.ne	500	0.9996700175795333	0	0
2	amsacrine_f.L1	rcppml.ne	100	0.9978306012757979	0	0
2	amsacrine_f.L1	rcppml.ne	50	0.9948443230940066	0	0
2	amsacrine_f.L1	rcppml.ne	30	0.9924734814559271	0	0
2	amsacrine_f.L1	rcppml.ne	10	0.9708034000549083	0	0
2	amsacrine_f.L1	rcppml.ne	5	0.9637146024541008	0	0
2	amsacrine_f.L1	rcppml.ne	3	0.9323595302380523	0	0
2	amsacrine_f.L1	rcppml.ne	1	0.7418410589534036	0	0
2	assay_norm	fcnnls.ne	500	0.9990774667386587	0	0
2	assay_norm	fcnnls.ne	100	0.9966932364515266	0	0
2	assay_norm	fcnnls.ne	50	0.9937777759644946	0	0
2	assay_norm	fcnnls.ne	30	0.9844827962117456	0	0
2	assay_norm	fcnnls.ne	10	0.9493740182061878	0	0
2	assay_norm	fcnnls.ne	5	0.9262809697295851	0	0
2	assay_norm	fcnnls.ne	3	0.8583185664630952	0	0
2	assay_norm	fcnnls.ne	1	0.6041213354473387	0	0
2	assay_norm	rcppml.ne	500	0.999380693136256	0	0
2	assay_norm	rcppml.ne	100	0.9977831581429091	0	0
2	assay_norm	rcppml.ne	50	0.9945270811821848	0	0
2	assay_norm	rcppml.ne	30	0.990393078504183	0	0
2	assay_norm	rcppml.ne	10	0.9636187696325451	0	0
2	assay_norm	rcppml.ne	5	0.9452913023850243	0	0
2	assay_norm	rcppml.ne	3	0.899735946142173	0	0
2	assay_norm	rcppml.ne	1	0.7087108689607706	0	0
2	etoposide_median.TOF	fcnnls.ne	500	0.9988989931506554	0	0
2	etoposide_median.TOF	fcnnls.ne	100	0.9933346221036852	0	0
2	etoposide_median.TOF	fcnnls.ne	50	0.9885793651326994	0	0
2	etoposide_median.TOF	fcnnls.ne	30	0.9843782600844917	0	0
2	etoposide_median.TOF	fcnnls.ne	10	0.95681638808194025	0	0
2	etoposide_median.TOF	fcnnls.ne	5	0.846365691952855	0	0
2	etoposide_median.TOF	fcnnls.ne	3	0.8155588658090226	0	0
2	etoposide_median.TOF	fcnnls.ne	1	0.6817572189325686	0	0
2	etoposide_median.TOF	rcppml.ne	500	0.9994340472169988	0	0
2	etoposide_median.TOF	rcppml.ne	100	0.9969120427763833	0	0
2	etoposide_median.TOF	rcppml.ne	50	0.9949240136398974	0	0
2	etoposide_median.TOF	rcppml.ne	30	0.9883296472409098	0	0
2	etoposide_median.TOF	rcppml.ne	10	0.9612896718964636	0	0
2	etoposide_median.TOF	rcppml.ne	5	0.9212443617052202	0	0
2	etoposide_median.TOF	rcppml.ne	3	0.8864163292325111	0	0
2	etoposide_median.TOF	rcppml.ne	1	0.7778369990496756	0	0
2	mtDNA_ratio	fcnnls.ne	500	0.9964033620030113	0	0
2	mtDNA_ratio	fcnnls.ne	100	0.9830956248817851	0	0
2	mtDNA_ratio	fcnnls.ne	50	0.9683947053274978	1	-0.0014409606080416834
2	mtDNA_ratio	fcnnls.ne	30	0.9327031733583309	12	-0.06993604014373125
2	mtDNA_ratio	fcnnls.ne	10	0.8368347811352721	16	-0.0235281010579449
2	mtDNA_ratio	fcnnls.ne	5	0.7748014564281458	0	0
2	mtDNA_ratio	fcnnls.ne	3	0.6787022773388818	0	0
2	mtDNA_ratio	fcnnls.ne	1	0.5292312438022203	0	0
2	mtDNA_ratio	rcppml.ne	500	0.9964506577761131	0	0
2	mtDNA_ratio	rcppml.ne	100	0.9831375809082645	0	0
2	mtDNA_ratio	rcppml.ne	50	0.9681759328410362	0	0
2	mtDNA_ratio	rcppml.ne	30	0.948875152142808	0	0
2	mtDNA_ratio	rcppml.ne	10	0.8656686778133929	0	0
2	mtDNA_ratio	rcppml.ne	5	0.7860604005920623	0	0
2	mtDNA_ratio	rcppml.ne	3	0.6819317572259328	0	0
2	mtDNA_ratio	rcppml.ne	1	0.5480860835383269	0	0
2	PC1	fcnnls.ne	500	0.9997213239406797	0	0
2	PC1	fcnnls.ne	100	0.998681832690297	0	0
2	PC1	fcnnls.ne	50	0.9941385134843793	0	0
2	PC1	fcnnls.ne	30	0.9944039690747346	0	0
2	PC1	fcnnls.ne	10	0.9851982752361941	0	0
2	PC1	fcnnls.ne	5	0.9726837662761464	0	0
2	PC1	fcnnls.ne	3	0.9305027722574031	0	0
2	PC1	fcnnls.ne	1	0.8192539913915303	0	0
2	PC1	rcppml.ne	500	0.9998191428936091	0	0
2	PC1	rcppml.ne	100	0.9992236765556298	0	0
2	PC1	rcppml.ne	50	0.9983243245453728	0	0
2	PC1	rcppml.ne	30	0.9978556547837844	0	0
2	PC1	rcppml.ne	10	0.9917040275301576	0	0
2	PC1	rcppml.ne	5	0.98151128739576	0	0
