strain	slope_nnls	slope_baugh	resid	resid_z	rmsd	bias	rho	mean_frq	n
CB4854	-9.509003555408215e-5	-1.7608336217843785e-4	8.09933266243557e-5	0.4231242586466111	0.0038771213347806675	-0.002295413112816573	0.8596837944664032	0.0049483519033338514	23
CB4856	0.002871172876339614	0.002646875005327749	2.242978710118651e-4	1.4536968062519484	0.004922978986283438	8.459999045865919e-4	0.9940711462450593	0.027147975982099216	23
CX11254	3.551578289270559e-4	3.322005793299635e-4	2.2957249597092388e-5	0.005758654431902747	0.0016503081499945145	-0.0012565135929573546	0.9529995848956794	0.004618732858540213	23
CX11264	-5.203163961646177e-4	-4.876053970582878e-4	-3.271099910632987e-5	-0.39457874681532423	0.0011570381898461666	-5.999705951167646e-4	0.933794466403162	0.00607757289236764	23
CX11271	-6.178169354728525e-4	-7.944404322380274e-4	1.766234967651749e-4	1.110847236945588	0.0018485471357970306	-4.089419141491218e-4	0.834817421233702	0.006687405747721344	23
CX11276	7.638562135966165e-5	1.278512369014412e-4	-5.146561554177956e-5	-0.5294522982567743	0.0026139804783380884	0.002067898729215685	0.9436758893280632	0.014663154456007601	23
CX11285	3.666165229674943e-5	-3.822728986193596e-6	4.048438128294303e-5	0.13180476714175007	0.005596626795261965	-0.005011955932012995	0.9454633211621908	0.004308425952429615	23
CX11307	2.5930663277630504e-4	4.108455394465809e-4	-1.5153890667027586e-4	-1.2491279165446632	0.0023823292051841144	-0.0016214252330507713	0.9713438735177865	0.009267801686204573	23
DL200	3.0945141693321883e-4	3.947591447303457e-4	-8.530772779712689e-5	-0.7728273565454284	0.0025592209569246737	0.0022175278124824827	0.9762845849802371	0.015782282528817297	23
DL226	-5.753723328399568e-4	-8.162989908765483e-4	2.409266580365915e-4	1.5732824863914303	0.004091602383803765	-0.0027224190461085217	0.8633013099877367	0.004474682277622377	23
DL238	0.003943621511768808	0.0041845168013955325	-2.4089528962672416e-4	-1.8917330455153787	0.003162705776806819	-3.752383189855442e-4	0.9950592885375494	0.04278782259059442	23
ECA189	7.325629949879724e-4	7.684711694620422e-4	-3.590817447406982e-5	-0.4175711869919805	0.0018969363900823008	-0.0015959877694854366	0.9720781122062285	0.009525621440251585	23
ECA191	3.362556715095519e-5	5.556559978192997e-5	-2.1940032630974776e-5	-0.3171194979958158	0.002208436889947419	3.945342633531833e-4	0.8843873517786561	0.004572787776981964	23
ECA36	4.0860194937979406e-5	1.1783958330348014e-4	-7.697938836550072e-5	-0.7129342246000533	8.807674459798763e-4	5.944254872969647e-4	0.8389328063241107	0.0041654707499035135	23
ECA363	-4.323622732211252e-4	-3.8154971876836987e-4	-5.0812554452755315e-5	-0.5247558189292403	0.002364288804522808	1.837064848563595e-4	0.9644268774703558	0.010588423181932493	23
ECA369	5.011961599850855e-4	5.009117210067547e-4	2.844389783308171e-7	-0.1572925335162379	0.0017221867229758958	-8.926501662048733e-4	0.9762845849802371	0.010620085408501536	23
