strain	FULL	RESTRICTED	SYNTH	DROP3	max_ibs	nearest_extra	delta_restricted	delta_synth	is_twin
CB4854	0.003916158398172197	0.004091790705502907	0.004094641541334554	0.004624434930290987	0.9392525781945928	CX11262	1.756323073307097e-4	1.7848314316235708e-4	FALSE
CB4856	0.004961947405476829	0.004999183170152982	0.004999970824821962	0.005203017548035103	0.9104312807471632	CX11262	3.723576467615317e-5	3.802341934513315e-5	FALSE
CX11254	0.0014628500038532887	0.0012483233102108572	0.0012479434059988112	0.012746082095114615	0.9627097435466322	CX11262	-2.145266936424315e-4	-2.1490659785447746e-4	FALSE
CX11264	0.0013028236226268332	0.0028641550502121315	0.0025044619582861444	NA	0.9729344130575714	CX11262	0.0015613314275852983	0.0012016383356593112	TRUE
CX11271	0.0018954211289242775	0.0020796254418852704	0.002079292438749038	0.0026023037464202392	0.9465365134434721	CX11262	1.8420431296099294e-4	1.838713098247604e-4	FALSE
CX11276	0.00235927190985184	0.002578585400699771	0.0025758084049042175	0.0018089847134478774	0.9442149662195479	CX11262	2.1931349084793094e-4	2.1653649505237738e-4	FALSE
CX11285	0.006237004006089916	0.007973905619762333	0.007973495647706583	0.004892214338326863	0.9422191792780894	ECA348	0.0017369016136724175	0.0017364916416166675	FALSE
CX11307	0.0027747384228605136	0.0030186419467929044	0.0030191849824194573	0.0038132243257376817	0.9373723836114286	CX11262	2.439035239323907e-4	2.444465595589436e-4	FALSE
DL200	0.002504019321787687	0.0022686050817398696	0.0022679217960523477	0.0024692703852460187	0.9316331826052092	CX11262	-2.3541424004781732e-4	-2.3609752573533916e-4	FALSE
DL226	0.004180677835170364	0.0035969392073331025	0.003598276844347365	0.0027615738444617395	0.9499533588875974	CX11262	-5.837386278372617e-4	-5.82400990822999e-4	FALSE
DL238	0.00318472278389286	0.003276987127348698	0.0032776953012755507	0.0032899129401059895	0.9006875724473085	CX11262	9.226434345583788e-5	9.29725173826907e-5	FALSE
ECA189	0.002063941892044396	0.0023747173923041928	0.0023760904089844804	0.0018592984073048493	0.9275704749633419	CX11262	3.107755002597968e-4	3.1214851694008443e-4	FALSE
ECA191	0.0022045717611762516	0.002178143392708389	0.0021767743672781495	0.002188939149777622	0.8085895630608857	ECA348	-2.6428368467862774e-5	-2.7797393898102048e-5	FALSE
ECA36	8.426208864745686e-4	7.881238014063453e-4	7.841819151648068e-4	6.983878591233473e-4	0.7830994272115728	ECA348	-5.449708506822333e-5	-5.8438971309761854e-5	FALSE
ECA363	0.0023644768294487067	0.0023749549559461073	0.0023744258456741933	0.0024155509635738494	0.792618417500198	ECA348	1.0478126497400625e-5	9.949016225486648e-6	FALSE
ECA369	0.001755557148070745	0.0018074453949320285	0.0018158865152403828	0.002002953638412187	0.8266745129358357	CX11262	5.188824686128352e-5	6.032936716963782e-5	FALSE
ECA372	0.0033411873136681633	0.003380162222757378	0.0033774319696007475	0.001935267577532558	0.9390868688697654	CX11262	3.897490908921471e-5	3.6244655932584236e-5	FALSE
ECA396	0.002907838445255859	0.0028546803618622707	0.0028571326605252977	0.002827421512417385	0.8029805045000186	CX11262	-5.315808339358824e-5	-5.0705784730561195e-5	FALSE
ED3017	0.003108995796882492	0.0021826214919631265	0.0021822546953065756	0.002168055578429597	0.9374516007520778	CX11262	-9.263743049193656e-4	-9.267411015759165e-4	FALSE
ED3049	0.013863858897280005	0.014835978852779761	0.014838149005695113	0.015255948298007754	0.9301482653871213	CX11262	9.721199554997562e-4	9.742901084151077e-4	FALSE
ED3052	0.003291927561066438	0.003983795136125909	0.003981027797086155	0.004579017097703608	0.9407100119149047	CX11262	6.91867575059471e-4	6.891002360197166e-4	FALSE
ED3077	0.0034180612852068005	0.004584867403860057	0.004582430187110729	0.006216361188199781	0.9355326059367589	CX11262	0.0011668061186532563	0.0011643689019039285	FALSE
EG4724	0.0018969695004594236	0.0019110184509171662	0.0019103354206956968	0.0019002353753263081	0.9303689417075012	CX11262	1.4048950457742687e-5	1.3365920236273242e-5	FALSE
EG4725	0.004335581952230901	0.004004347619937851	0.004006290762424334	0.0035780022264330154	0.9240913874801351	NIC260	-3.3123433229304954e-4	-3.2929118980656695e-4	FALSE
GXW1	0.0034302411446484253	0.0032752360261696207	0.0032740493574292947	0.003290131646501154	0.9367030796067597	CX11262	-1.5500511847880462e-4	-1.5619178721913056e-4	FALSE
JU1212	0.0028854834324979627	0.0032100419440900586	0.003209500010837754	0.003319820753362619	0.9232531407979591	CX11262	3.245585115920959e-4	3.240165783397913e-4	FALSE
JU1400	0.002551746960012754	0.002321243069262372	0.0023210240365973338	0.0022677928037382953	0.9354186302548043	NIC260	-2.3050389075038183e-4	-2.3072292341542013e-4	FALSE
JU1581	0.0029906380758105227	0.004003571704841001	0.004004367853084533	0.0036001872843343767	0.9264355681728162	CX11262	0.001012933629030478	0.00101372977727401	FALSE
JU1652	0.0035515528830367526	0.003451657367156532	0.0034516122097451207	0.003568183067260267	0.9307779608214656	CX11262	-9.98955158802205e-5	-9.994067329163183e-5	FALSE
JU1793	0.0043973380896915205	0.004198208121812172	0.004196164558788267	0.005276076907620423	0.9164162165570291	CX11262	-1.9912996787934886e-4	-2.0117353090325345e-4	FALSE
JU1896	0.0027573145673043882	0.003692212989503471	0.003691470432497468	0.0034088580176064344	0.9267136365032584	CX11262	9.34898422199083e-4	9.341558651930798e-4	FALSE
JU2001	0.0016856821053030941	0.0016856821053030941	0.0016856821053030941	0.0016856821053030941	0.9242587134813023	CX11262	0	0	FALSE
JU2007	0.002271712870103256	0.0023809935838349375	0.0023814288762934485	0.0031336025706050073	0.9417244763181166	CX11262	1.0928071373168162e-4	1.0971600619019261e-4	FALSE
