strain	rmsd	bias	mean_f	zero_frac	n	nn_ibs_wild	nn_partner_wild	nn_ibs	nn_partner	mean_ibs	rel
CB4854	0.0039161583981722	-0.00238182845955552	0.00724376501615043	0	23	0.963792	JU561	0.974848	N2	0.92402734	0.540624715108908
CB4856	0.00496194740547683	0.00104706327075832	0.0263019760775126	0	23	0.918814	XZ1515	0.925948	N2	0.89425942	0.188653027090202
CX11254	0.00146285000385329	-0.000973646382250678	0.00587524645149757	0.260869565217391	23	0.970726	XZ1515	0.970726	XZ1515	0.92015746	0.24898530060478
CX11264	0.00130282362262683	-0.000889926933191991	0.0066775434874844	0.0434782608695652	23	0.97288	CX11262	0.97288	CX11262	0.91553836	0.195105224708561
CX11271	0.00189542112892428	-0.000150226155290231	0.00709634766187047	0.130434782608696	23	0.967984	LKC34	0.975898	N2	0.92874052	0.267098121348902
CX11276	0.00235927190985184	0.0016855689141951	0.0125952557267919	0	23	0.967878	CX11271	0.969992	N2	0.92327842	0.187314331763295
CX11285	0.00623700400608992	-0.005637038481218	0.00932038188444261	0.260869565217391	23	0.959286	CX11271	0.959286	CX11271	0.9172559	0.669179018994983
CX11307	0.00277473842286051	-0.00215356920008022	0.0108892269192553	0	23	0.959232	CX11254	0.959232	CX11254	0.91537662	0.254815006008734
DL200	0.00250401932178769	0.00215335003452699	0.0135647547163348	0.0434782608695652	23	0.968892	ED3017	0.968892	ED3017	0.92186248	0.184597464101015
DL226	0.00418067783517036	-0.00285292290054792	0.0071971013237309	0.217391304347826	23	0.960792	XZ1515	0.967026	N2	0.9218052	0.580883559522148
DL238	0.00318472278389286	-0.000491081846723838	0.04316306090958	0	23	0.91234	XZ1515	0.919654	N2	0.8890066	0.0737835250045026
ECA189	0.0020639418920444	-0.00180482948100551	0.011121609209737	0.0869565217391304	23	0.931822	XZ1515	0.931822	XZ1515	0.89681178	0.18557942948017
ECA191	0.00220457176117625	0.00037661610461002	0.00417825351362878	0.0434782608695652	23	0.917952	ECA396	0.917952	ECA396	0.80383734	0.527629966440595
ECA36	0.000842620886474569	0.000552966748102603	0.00357104526260655	0.0434782608695652	23	0.94802	QX1211	0.94802	QX1211	0.7850031	0.235959172878008
ECA363	0.00236447682944871	0.000196594295696278	0.0104047166970761	0	23	0.914534	QX1211	0.914534	QX1211	0.79178112	0.227250476710544
ECA369	0.00175555714807075	-0.00095509567735163	0.0115127355747064	0	23	0.840052	JU1212	0.847526	N2	0.81750644	0.1524882715041
ECA372	0.00334118731366816	-0.0032691955020884	0.0105232482904429	0.0869565217391304	23	0.943714	XZ1515	0.943714	XZ1515	0.90302026	0.317505319788243
ECA396	0.00290783844525586	-0.00170454259793203	0.0212646497827985	0	23	0.917952	ECA191	0.917952	ECA191	0.79984902	0.136745183906489
ED3017	0.00310899579688249	0.0027218648560407	0.00246789266500313	0	23	0.968912	ED3077	0.97679	N2	0.92830152	1.25977755879369
ED3049	0.01386385889728	-0.0134377145153173	0.020780641695131	0.304347826086957	23	0.957964	JU561	0.963548	N2	0.9202129	0.667152588484712
ED3052	0.00329192756106644	0.00241370325783173	0.00912760013256674	0.0434782608695652	23	0.972086	LKC34	0.97348	N2	0.92583262	0.360656417158442
ED3077	0.0034180612852068	-0.00147671908073014	0.0246764157564578	0	23	0.968912	ED3017	0.969698	N2	0.924536	0.138515306231712
EG4724	0.00189696950045942	0.000754640656978231	0.0117966219340508	0	23	0.954932	NIC252	0.954932	NIC252	0.91854068	0.160806162227157
EG4725	0.0043355819522309	-0.00303567266816878	0.0230179849387282	0	23	0.951942	NIC266	0.951942	NIC266	0.90684794	0.188356277222869
