strain	nnls_obs	mip_obs	in_nnls	in_mip	status
CB4854	23	23	TRUE	TRUE	both
CB4856	23	23	TRUE	TRUE	both
CX11254	23	23	TRUE	TRUE	both
CX11264	23	23	TRUE	TRUE	both
CX11271	23	23	TRUE	TRUE	both
CX11276	23	23	TRUE	TRUE	both
CX11285	23	23	TRUE	TRUE	both
CX11307	23	23	TRUE	TRUE	both
DL200	23	23	TRUE	TRUE	both
DL226	23	23	TRUE	TRUE	both
DL238	23	23	TRUE	TRUE	both
ECA189	23	23	TRUE	TRUE	both
ECA191	23	23	TRUE	TRUE	both
ECA36	23	23	TRUE	TRUE	both
ECA363	23	23	TRUE	TRUE	both
ECA369	23	23	TRUE	TRUE	both
ECA372	23	23	TRUE	TRUE	both
ECA396	23	23	TRUE	TRUE	both
ED3017	23	23	TRUE	TRUE	both
ED3049	23	23	TRUE	TRUE	both
ED3052	23	23	TRUE	TRUE	both
ED3077	23	23	TRUE	TRUE	both
EG4724	23	23	TRUE	TRUE	both
EG4725	23	23	TRUE	TRUE	both
GXW1	23	23	TRUE	TRUE	both
JU1212	23	23	TRUE	TRUE	both
JU1400	23	23	TRUE	TRUE	both
JU1581	23	23	TRUE	TRUE	both
JU1652	23	23	TRUE	TRUE	both
JU1793	23	23	TRUE	TRUE	both
JU1896	23	23	TRUE	TRUE	both
JU2001	23	23	TRUE	TRUE	both
JU2007	23	23	TRUE	TRUE	both
JU2017	23	23	TRUE	TRUE	both
JU2106	23	23	TRUE	TRUE	both
JU2234	23	23	TRUE	TRUE	both
JU2316	23	23	TRUE	TRUE	both
JU2464	23	23	TRUE	TRUE	both
JU2519	23	23	TRUE	TRUE	both
JU2526	23	23	TRUE	TRUE	both
JU2576	23	23	TRUE	TRUE	both
JU258	23	23	TRUE	TRUE	both
JU2592	23	23	TRUE	TRUE	both
JU2593	23	23	TRUE	TRUE	both
JU2619	23	23	TRUE	TRUE	both
JU2811	23	23	TRUE	TRUE	both
JU2829	23	23	TRUE	TRUE	both
JU2838	23	23	TRUE	TRUE	both
JU2841	23	23	TRUE	TRUE	both
JU2878	23	23	TRUE	TRUE	both
JU2879	23	23	TRUE	TRUE	both
JU3137	23	23	TRUE	TRUE	both
JU561	23	23	TRUE	TRUE	both
JU774	23	23	TRUE	TRUE	both
JU775	23	23	TRUE	TRUE	both
JU782	23	23	TRUE	TRUE	both
KR314	23	23	TRUE	TRUE	both
LKC34	23	23	TRUE	TRUE	both
MY10	23	23	TRUE	TRUE	both
MY16	23	23	TRUE	TRUE	both
MY18	23	23	TRUE	TRUE	both
MY2147	23	23	TRUE	TRUE	both
MY23	23	23	TRUE	TRUE	both
MY2453	23	23	TRUE	TRUE	both
MY2741	23	23	TRUE	TRUE	both
NIC195	23	23	TRUE	TRUE	both
NIC199	23	23	TRUE	TRUE	both
NIC251	23	23	TRUE	TRUE	both
NIC252	23	23	TRUE	TRUE	both
NIC256	23	23	TRUE	TRUE	both
NIC258	23	23	TRUE	TRUE	both
NIC261	23	23	TRUE	TRUE	both
NIC262	23	23	TRUE	TRUE	both
NIC265	23	23	TRUE	TRUE	both
NIC266	23	23	TRUE	TRUE	both
NIC268	23	23	TRUE	TRUE	both
NIC271	23	23	TRUE	TRUE	both
NIC3	23	23	TRUE	TRUE	both
NIC501	23	23	TRUE	TRUE	both
NIC523	23	23	TRUE	TRUE	both
NIC526	23	23	TRUE	TRUE	both
NIC527	23	23	TRUE	TRUE	both
NIC528	23	23	TRUE	TRUE	both
PS2025	23	23	TRUE	TRUE	both
QG2075	23	23	TRUE	TRUE	both
QG556	23	23	TRUE	TRUE	both
QW947	23	23	TRUE	TRUE	both
QX1211	23	23	TRUE	TRUE	both
QX1212	23	23	TRUE	TRUE	both
QX1791	23	23	TRUE	TRUE	both
QX1792	23	23	TRUE	TRUE	both
QX1793	23	23	TRUE	TRUE	both
QX1794	23	23	TRUE	TRUE	both
WN2001	23	23	TRUE	TRUE	both
XZ1513	23	23	TRUE	TRUE	both
XZ1514	23	23	TRUE	TRUE	both
XZ1515	23	23	TRUE	TRUE	both
XZ1516	23	23	TRUE	TRUE	both
CX11262	23	0	TRUE	FALSE	NNLS only (not on the MIP panel)
ECA348	23	0	TRUE	FALSE	NNLS only (not on the MIP panel)
N2	23	23	TRUE	TRUE	both, excluded (reference strain)
NIC260	23	0	TRUE	FALSE	NNLS only (not on the MIP panel)
PB306	0	NA	FALSE	TRUE	MIP only (not in the NNLS genotype reference)
