s	label	n	coverage	median_width_kb	median_displacement_kb	median_peak_LOD
0.15	clears genome threshold	50	0.32	190	361.566	10.9194682671846
0.15	2 LOD (config LOD.drop)	50	0.06	30	361.566	10.9194682671846
0.15	1.5 LOD (classical)	50	0.04	20	361.566	10.9194682671846
0.15	10% drop (shipped tables)	50	0	10	361.566	10.9194682671846
0.15	5% drop (Figure 2)	50	0	0	361.566	10.9194682671846
0.3	clears genome threshold	50	1	1490	271.566	38.9392460203041
0.3	10% drop (shipped tables)	50	0.06	30	271.566	38.9392460203041
0.3	5% drop (Figure 2)	50	0.02	10	271.566	38.9392460203041
0.3	1.5 LOD (classical)	50	0.02	0	271.566	38.9392460203041
0.3	2 LOD (config LOD.drop)	50	0.02	10	271.566	38.9392460203041
0.6	clears genome threshold	50	1	2245	126.566	181.07693112359
0.6	10% drop (shipped tables)	50	0.38	110	126.566	181.07693112359
0.6	5% drop (Figure 2)	50	0.08	40	126.566	181.07693112359
0.6	1.5 LOD (classical)	50	0	0	126.566	181.07693112359
0.6	2 LOD (config LOD.drop)	50	0	0	126.566	181.07693112359
1	clears genome threshold	50	1	2770	136.566	603.482710101834
1	10% drop (shipped tables)	50	0.86	455	136.566	603.482710101834
1	5% drop (Figure 2)	50	0.34	135	136.566	603.482710101834
1	2 LOD (config LOD.drop)	50	0.04	0	136.566	603.482710101834
1	1.5 LOD (classical)	50	0.02	0	136.566	603.482710101834
