strain	panel	private_nondiv	private_div	div_mb
AB1	RNAi panel (93)	547	43	1.343
CB4851	optimised	1658	31	0.665
CB4854	Baugh panel (102)	1885	117	1.193
CB4856	optimised	7882	257	3.615
CB4856	Baugh panel (102)	15527	1084	3.615
CB4856	naive: most private	9548	316	3.615
CB4932	RNAi panel (93)	511	6	0.893
CX11254	Baugh panel (102)	661	20	2.28
CX11262	RNAi panel (93)	1771	429	2.707
CX11262	Baugh panel (102)	359	13	2.707
CX11264	Baugh panel (102)	843	20	2.776
CX11271	RNAi panel (93)	821	19	1.081
CX11271	Baugh panel (102)	807	19	1.081
CX11276	RNAi panel (93)	2104	125	2.139
CX11276	Baugh panel (102)	1777	102	2.139
CX11285	RNAi panel (93)	1872	49	2.35
CX11285	Baugh panel (102)	1195	32	2.35
CX11292	RNAi panel (93)	320	5	0.984
CX11307	Baugh panel (102)	692	87	2.391
DL200	RNAi panel (93)	774	3	1.468
DL200	Baugh panel (102)	787	5	1.468
DL226	RNAi panel (93)	2145	154	2.515
DL226	Baugh panel (102)	1223	23	2.515
DL238	optimised	9914	411	3.807
DL238	Baugh panel (102)	19093	4079	3.807
DL238	naive: most private	12763	500	3.807
ECA1185	naive: most private	4070	443	7.163
ECA1187	naive: most private	4462	223	6.391
ECA1194	optimised	9626	1560	6.869
ECA1194	naive: most private	2557	798	6.869
ECA1202	naive: most private	3993	207	5.201
ECA1206	optimised	14878	2099	6.056
ECA1206	naive: most private	3630	1337	6.056
ECA1208	naive: most private	5847	198	5.23
ECA1212	optimised	15944	1015	5.056
ECA1212	naive: most private	3492	145	5.056
ECA1223	naive: most private	2480	115	5.281
ECA1225	naive: most private	2985	169	5.154
ECA1229	naive: most private	13705	1170	5.711
ECA1232	optimised	10817	823	7.076
ECA1232	naive: most private	2919	123	7.076
ECA1240	optimised	12901	877	6.826
ECA1240	naive: most private	6234	333	6.826
ECA1242	naive: most private	3989	453	6.727
ECA1247	naive: most private	2770	95	5.563
ECA1251	naive: most private	2795	251	6.799
ECA1252	naive: most private	3813	443	6.471
ECA1260	naive: most private	8045	541	3.986
ECA1261	naive: most private	6884	397	5.359
ECA1269	optimised	8285	305	4.03
ECA1269	naive: most private	8075	214	4.03
ECA1276	naive: most private	4761	231	5.572
ECA1278	naive: most private	4080	284	5.424
ECA1281	naive: most private	6122	271	5.518
ECA1283	naive: most private	3794	200	5.93
ECA1284	naive: most private	7083	458	5.112
ECA1286	naive: most private	4354	309	5.764
ECA1287	optimised	14740	1025	5.316
ECA1287	naive: most private	5199	292	5.316
ECA1289	naive: most private	8870	540	5.585
ECA1293	naive: most private	3524	141	5.546
ECA1409	optimised	4329	369	6.761
ECA1493	naive: most private	26784	9468	14.234
ECA1693	optimised	6262	754	4.526
ECA1693	naive: most private	3221	286	4.526
ECA1713	optimised	16699	9351	14.465
ECA1713	naive: most private	12854	6020	14.465
ECA1717	naive: most private	5214	1785	9.308
ECA1757	optimised	3821	46	3.258
ECA1761	optimised	4522	2972	9.88
ECA1761	naive: most private	2112	2588	9.88
ECA1821	optimised	17223	2595	7.359
ECA1821	naive: most private	5471	530	7.359
ECA1825	optimised	834	354	6.111
ECA1843	naive: most private	4408	815	7.383
ECA1851	optimised	3065	1614	12.118
ECA1875	optimised	2036	47	3.287
ECA189	Baugh panel (102)	6185	1098	3.667
ECA189	naive: most private	6742	272	3.667
ECA1891	naive: most private	2143	216	5.551
ECA191	RNAi panel (93)	27412	2135	5.715
ECA191	Baugh panel (102)	26469	1717	5.715
ECA191	naive: most private	6030	397	5.715
ECA1919	naive: most private	5343	203	5.584
ECA1943	optimised	3811	144	3.464
ECA1969	optimised	15332	1396	5.512
ECA1969	naive: most private	4399	201	5.512
ECA2041	optimised	4964	144	3.352
ECA2043	naive: most private	5836	348	7.541
ECA2073	naive: most private	3970	570	5.364
ECA2081	naive: most private	5095	172	5.41
ECA2091	optimised	20476	5293	10.888
ECA2091	naive: most private	20515	4821	10.888
ECA2151	optimised	2460	7780	8.832
ECA2151	naive: most private	7316	8295	8.832
ECA2159	optimised	3365	795	10.223
ECA2191	naive: most private	8410	9714	14.179
ECA2195	optimised	34675	12447	14.357
ECA2195	naive: most private	6168	6522	14.357
ECA2199	optimised	73727	27531	12.99
ECA2199	naive: most private	73159	25884	12.99
ECA2251	naive: most private	3406	100	5.007
ECA2291	naive: most private	5548	1596	8.223
