strain	rmsd	mean_f	zero_frac	nn_ibs_wild	nn_partner_wild	nn_ibs	nn_partner	mean_ibs	n_private	n_private_div	n_private_nondiv	n_shared_div	pc1	pc2	pc1_abs	rel	div_frac
CB4854	0.0039161583981722	0.00724376501615043	0	0.963792	JU561	0.974848	N2	0.92402734	1689	81	1608	5827	-10.0705369379063	-10.1539159432029	3.79300741633632	0.540624715108908	0.0479573712255773
CB4856	0.00496194740547683	0.0263019760775126	0	0.918814	XZ1515	0.925948	N2	0.89425942	14040	896	13144	23248	1.83822802752336	1.00294176574786	8.11575754909336	0.188653027090202	0.0638176638176638
CX11254	0.00146285000385329	0.00587524645149757	0.260869565217391	0.970726	XZ1515	0.970726	XZ1515	0.92015746	561	19	542	14221	-7.46839001734286	-10.6027778419102	1.19086049577286	0.24898530060478	0.0338680926916221
CX11264	0.00130282362262683	0.0066775434874844	0.0434782608695652	0.97288	CX11262	0.97288	CX11262	0.91553836	721	10	711	16757	-6.73010476722706	-9.60713183687034	0.452575245657057	0.195105224708561	0.013869625520111
CX11271	0.00189542112892428	0.00709634766187047	0.130434782608696	0.967984	LKC34	0.975898	N2	0.92874052	709	13	696	4054	-11.6096002217497	-5.66740166534288	5.33207070017967	0.267098121348902	0.0183356840620592
CX11276	0.00235927190985184	0.0125952557267919	0	0.967878	CX11271	0.969992	N2	0.92327842	1660	74	1586	8912	-8.89965303998333	-8.75812169895266	2.62212351841333	0.187314331763295	0.0445783132530121
CX11285	0.00623700400608992	0.00932038188444261	0.260869565217391	0.959286	CX11271	0.959286	CX11271	0.9172559	1042	18	1024	14025	-8.83994227348078	-9.54715884628003	2.56241275191078	0.669179018994983	0.017274472168906
CX11307	0.00277473842286051	0.0108892269192553	0	0.959232	CX11254	0.959232	CX11254	0.91537662	635	71	564	19354	-5.32539888893167	-4.23876592191635	0.952130632638331	0.254815006008734	0.111811023622047
DL200	0.00250401932178769	0.0135647547163348	0.0434782608695652	0.968892	ED3017	0.968892	ED3017	0.92186248	656	4	652	7003	-8.99893805416165	-0.0940256391360031	2.72140853259165	0.184597464101015	0.00609756097560976
DL226	0.00418067783517036	0.0071971013237309	0.217391304347826	0.960792	XZ1515	0.967026	N2	0.9218052	996	16	980	11071	-11.1216938778045	-11.8380794248431	4.84416435623454	0.580883559522148	0.0160642570281124
DL238	0.00318472278389286	0.04316306090958	0	0.91234	XZ1515	0.919654	N2	0.8890066	20069	3446	16623	28218	3.17346068705435	0.136771441442366	9.45099020862435	0.0737835250045026	0.171707608749813
ECA189	0.0020639418920444	0.011121609209737	0.0869565217391304	0.931822	XZ1515	0.931822	XZ1515	0.89681178	6129	845	5284	30772	0.793174787519607	-6.11708013260486	7.07070430908961	0.18557942948017	0.137869146679719
ECA191	0.00220457176117625	0.00417825351362878	0.0434782608695652	0.917952	ECA396	0.917952	ECA396	0.80383734	26496	1587	24909	52136	55.361236501519	-8.56613321008326	61.638766023089	0.527629966440595	0.0598958333333333
ECA36	0.000842620886474569	0.00357104526260655	0.0434782608695652	0.94802	QX1211	0.94802	QX1211	0.7850031	10652	2744	7908	81205	83.0088926709015	-11.8496863771601	89.2864221924715	0.235959172878008	0.257604205782952
ECA363	0.00236447682944871	0.0104047166970761	0	0.914534	QX1211	0.914534	QX1211	0.79178112	18090	3250	14840	67514	79.1202151702158	-14.4020410590133	85.3977446917858	0.227250476710544	0.179657269209508
ECA369	0.00175555714807075	0.0115127355747064	0	0.840052	JU1212	0.847526	N2	0.81750644	44920	19407	25513	96853	17.696487265546	-4.73211234057368	23.974016787116	0.1524882715041	0.432034728406055
ECA372	0.00334118731366816	0.0105232482904429	0.0869565217391304	0.943714	XZ1515	0.943714	XZ1515	0.90302026	2454	26	2428	24727	-2.50320912538242	-8.03997126455964	3.77432039618758	0.317505319788243	0.0105949470252649
