strain	depth	abs_err	rel_err	mean_input	n_obs	n_private
AB1	500	9.36694595010411e-05	0.0389036613173053	0.00640116530232596	60	423
AB1	100	0.000263782762263271	0.0710661707887048	0.00640116530232596	60	423
AB1	50	0.000380593500939748	0.113538510271429	0.00640116530232596	60	423
AB1	30	0.000371475257195498	0.0972424386113401	0.00640116530232596	60	423
AB1	10	0.000594978886117818	0.184658172705345	0.00640116530232596	60	423
AB1	5	0.0009278328139144	0.263586670356325	0.00640116530232596	60	423
AB1	3	0.00111478139061513	0.264656288990872	0.00640116530232596	60	423
AB1	1	0.00196658655046674	0.48149223928305	0.00640116530232596	60	423
BRC20067	500	0.000196422969309158	0.0333160387637129	0.00671469526962908	50	680
BRC20067	100	0.000384670780901781	0.0754570286358213	0.00671469526962908	50	680
BRC20067	50	0.00037128544951357	0.0633560902633948	0.00671469526962908	50	680
BRC20067	30	0.000632726359446222	0.12014913743022	0.00671469526962908	50	680
BRC20067	10	0.00107669318994459	0.201657324761874	0.00671469526962908	50	680
BRC20067	5	0.00169579482986714	0.294740676961871	0.00671469526962908	50	680
BRC20067	3	0.0019918392493988	0.352710775839873	0.00671469526962908	50	680
BRC20067	1	0.00273097126514475	0.478804382688079	0.00671469526962908	50	680
BRC20263	500	7.08282658946097e-05	0.0213271943260385	0.00493346457843493	30	415
BRC20263	100	0.000266752690992978	0.0901924667464269	0.00493346457843493	30	415
BRC20263	50	0.000285004499158043	0.0953524889060575	0.00493346457843493	30	415
BRC20263	30	0.000376666915685561	0.14103926667509	0.00493346457843493	30	415
BRC20263	10	0.000708495580364099	0.240488574696221	0.00493346457843493	30	415
BRC20263	5	0.000948023582242754	0.293139097481409	0.00493346457843493	30	415
BRC20263	3	0.00106672349564202	0.393146491124216	0.00493346457843493	30	415
BRC20263	1	0.00178735861031945	0.525080136687809	0.00493346457843493	30	415
CB4851	500	0.00013779144252439	0.0291183419648717	0.00519121278546788	20	435
CB4851	100	0.000290435614499308	0.0691365385336555	0.00519121278546788	20	435
CB4851	50	0.000452608146155621	0.097848406654194	0.00519121278546788	20	435
CB4851	30	0.000531814002069336	0.118795854640316	0.00519121278546788	20	435
CB4851	10	0.000904487523913205	0.195729478021743	0.00519121278546788	20	435
CB4851	5	0.00145807964781323	0.309242393464791	0.00519121278546788	20	435
CB4851	3	0.00156632290386424	0.352646592443087	0.00519121278546788	20	435
CB4851	1	0.002262434690317	0.472041015353874	0.00519121278546788	20	435
CB4852	500	0.000186432743236663	0.0411887919241128	0.00570287938034761	70	303
