trait	depth	r2_all	r2_present	n_present	frac_zero	drop
Albendazole_q75.TOF	500	0.998337969183934	0.99368891287349	198	0.394495412844037	0.00464905631044321
Albendazole_q75.TOF	100	0.991174847974408	0.967882438377273	198	0.394495412844037	0.0232924095971344
Albendazole_q75.TOF	50	0.983008108629062	0.938294254745778	198	0.394495412844037	0.0447138538832836
Albendazole_q75.TOF	30	0.970973590892184	0.900768236223522	198	0.394495412844037	0.0702053546686627
Albendazole_q75.TOF	10	0.918973350090143	0.76357938642135	198	0.394495412844037	0.155393963668793
Albendazole_q75.TOF	5	0.846823526213485	0.622452962558355	198	0.394495412844037	0.22437056365513
Albendazole_q75.TOF	3	0.773256097323094	0.534334773622589	198	0.394495412844037	0.238921323700505
Albendazole_q75.TOF	1	0.555990327594546	0.30833445859508	198	0.394495412844037	0.247655868999467
PC1	500	0.999821565663023	0.999238702233668	83	0.746177370030581	0.000582863429354652
PC1	100	0.999082618708785	0.996050331156769	83	0.746177370030581	0.00303228755201557
PC1	50	0.998392762542229	0.992859583155775	83	0.746177370030581	0.00553317938645448
PC1	30	0.997322340210437	0.988641730514306	83	0.746177370030581	0.00868060969613105
PC1	10	0.991192647838608	0.96469750074852	83	0.746177370030581	0.0264951470900883
PC1	5	0.9807328691769	0.927248054655381	83	0.746177370030581	0.0534848145215188
PC1	3	0.96770666099549	0.887659132069128	83	0.746177370030581	0.0800475289263618
PC1	1	0.911699324612465	0.723239265031034	83	0.746177370030581	0.188460059581431
amsacrine_f.L1	500	0.999553695520395	0.998383445924381	134	0.590214067278288	0.00117024959601486
amsacrine_f.L1	100	0.997590269651643	0.991795397305546	134	0.590214067278288	0.00579487234609666
amsacrine_f.L1	50	0.995334845675715	0.983934030032429	134	0.590214067278288	0.0114008156432854
amsacrine_f.L1	30	0.992365519420845	0.974293967532533	134	0.590214067278288	0.0180715518883118
amsacrine_f.L1	10	0.975499499452402	0.920457849593262	134	0.590214067278288	0.0550416498591393
amsacrine_f.L1	5	0.952388363416878	0.861642811008511	134	0.590214067278288	0.090745552408367
amsacrine_f.L1	3	0.929634227317736	0.806579443903652	134	0.590214067278288	0.123054783414083
amsacrine_f.L1	1	0.811369165669737	0.591389406440116	134	0.590214067278288	0.219979759229621
assay_norm	500	0.999362150108202	0.99834922428786	151	0.53822629969419	0.00101292582034218
assay_norm	100	0.996660036628801	0.991508727188797	151	0.53822629969419	0.00515130944000442
assay_norm	50	0.993683097334863	0.984489565793996	151	0.53822629969419	0.00919353154086733
assay_norm	30	0.989743237538472	0.974145232763885	151	0.53822629969419	0.0155980047745872
assay_norm	10	0.963893706030347	0.914725752376873	151	0.53822629969419	0.0491679536534737
assay_norm	5	0.936597458418468	0.865455577769452	151	0.53822629969419	0.0711418806490165
assay_norm	3	0.894370971787217	0.789755476395861	151	0.53822629969419	0.104615495391356
assay_norm	1	0.757689449708155	0.583055041685045	151	0.53822629969419	0.174634408023111
etoposide_median.TOF	500	0.999367352304327	0.993026704879495	136	0.584097859327217	0.00634064742483176
etoposide_median.TOF	100	0.996906925801072	0.966948945058779	136	0.584097859327217	0.0299579807422927
etoposide_median.TOF	50	0.994100138839039	0.942481097624468	136	0.584097859327217	0.0516190412145713
etoposide_median.TOF	30	0.990537743877356	0.907781923598687	136	0.584097859327217	0.0827558202786687
etoposide_median.TOF	10	0.967721354296325	0.744347287140725	136	0.584097859327217	0.2233740671556
etoposide_median.TOF	5	0.937318122851057	0.609223058051969	136	0.584097859327217	0.328095064799088
etoposide_median.TOF	3	0.902447290376629	0.493833437606557	136	0.584097859327217	0.408613852770071
etoposide_median.TOF	1	0.753280429996071	0.267476226506044	136	0.584097859327217	0.485804203490027
mtDNA_ratio	500	0.996630120595097	0.996615197186097	326	0.00305810397553517	1.49234089996675e-05
mtDNA_ratio	100	0.982476236654968	0.982549227793841	326	0.00305810397553517	-7.29911388727134e-05
mtDNA_ratio	50	0.967322933708341	0.967197543812708	326	0.00305810397553517	0.000125389895633599
mtDNA_ratio	30	0.950423279492126	0.950403402457211	326	0.00305810397553517	1.98770349152388e-05
mtDNA_ratio	10	0.867280694210647	0.866732943544334	326	0.00305810397553517	0.000547750666312519
mtDNA_ratio	5	0.770297546408355	0.769626769647942	326	0.00305810397553517	0.000670776760412939
mtDNA_ratio	3	0.719153535143704	0.719257463156189	326	0.00305810397553517	-0.000103928012485044
mtDNA_ratio	1	0.510416365069472	0.510466898892576	326	0.00305810397553517	-5.05338231041597e-05
value	500	0.999707378701734	0.999526178887256	130	0.602446483180428	0.000181199814477284
value	100	0.998531845188719	0.997621114829479	130	0.602446483180428	0.000910730359240275
value	50	0.997146251316059	0.995333789360425	130	0.602446483180428	0.00181246195563445
value	30	0.995603816992328	0.99317110500626	130	0.602446483180428	0.00243271198606843
value	10	0.985723451229435	0.978348808064615	130	0.602446483180428	0.00737464316482039
value	5	0.97145638859124	0.95702228074006	130	0.602446483180428	0.0144341078511808
value	3	0.955779596096711	0.933833768343811	130	0.602446483180428	0.0219458277528999
value	1	0.884537654083058	0.841904712488001	130	0.602446483180428	0.0426329415950578
