cross	label	chrom	lcon	rcon	peak.LOD	marker	n_discordant	n_genes	width.kb	genes_per_100kb
N2xXZ1516	ht115 vs mig6	III	12990354	13627012	939.500700565856	III:12990354-13627012	1651	60	636.658	9.424212057336906
N2xXZ1516	ht115 vs mig6	V	10412102	11201712	806.108545708514	V:10412102-11201712	2240	83	789.61	10.511518344499182
JU1793xJU2466	ht115 vs mig6	X	6654911	7585420	797.961752045622	X:6654911-7585420	1409	59	930.509	6.340615727521174
N2xXZ1516	pos1 vs mig6	I	1746038	2018167	751.118651618331	I:1746038-2018167	594	14	272.129	5.144618912354067
N2xXZ1516	pos1 vs mig6	V	13581302	13972722	730.261431098777	V:13581302-13972722	10166	101	391.42	25.803484747841193
N2xXZ1516	ht115 vs mig6	I	1748240	2035507	728.154219694012	I:1748240-2035507	662	16	287.267	5.569731295275824
N2xXZ1516	ht115 vs pos1	III	13036845	13584174	709.853070505491	III:13036845-13584174	1360	50	547.329	9.135273299971317
JU1793xJU2466	mig6 vs pos1	X	5554409	7987415	361.427266000544	X:5554409-7987415	2925	116	2433.006	4.767764649984422
JU1793xJU2466	ht115 vs mig6	III	13134217	13763178	334.664787978512	III:13134217-13763178	830	43	628.961	6.83667190811513
N2xXZ1516	ht115 vs pos1	X	11033174	11724782	183.410771429585	X:11033174-11724782	1955	68	691.608	9.832159257845486
JU1793xJU2466	ht115 vs mig6	IV	5144976	6544155	168.460753843911	IV:5144976-6544155	331	28	1399.179	2.0011735453433763
N2xXZ1516	pos1 vs mig6	IV	17381170	17492237	167.299162143721	IV:17381170-17492237	173	10	111.067	9.003574419044362
N2xXZ1516	pos1 vs mig6	III	220437	649090	165.344064713778	III:220437-649090	1076	29	428.653	6.7653789895323255
N2xXZ1516	ht115 vs mig6	IV	6849950	9594150	155.837995286978	IV:6849950-9594150	6719	311	2744.2	11.332993222068364
N2xXZ1516	ht115 vs mig6	X	8528245	10147649	154.338221955162	X:8528245-10147649	4546	125	1619.404	7.718889171571763
N2xXZ1516	ht115 vs pos1	II	3557188	3856579	148.435416653047	II:3557188-3856579	4201	73	299.391	24.38283047920612
JU1793xJU2466	ht115 vs pos1	III	13679460	13783557	139.716308730875	III:13679460-13783557	92	5	104.097	4.8032123884453926
N2xXZ1516	ht115 vs mig6	II	3530968	3892582	100.768529315558	II:3530968-3892582	4708	82	361.614	22.67611320358172
N2xXZ1516	pos1 vs mig6	X	13291327	13740359	84.5912181769091	X:13291327-13740359	1860	50	449.032	11.135063870726363
N2xXZ1516	ht115 vs pos1	IV	12292415	12826042	75.372324262476	IV:12292415-12826042	1703	56	533.627	10.494221619220916
N2xXZ1516	ht115 vs pos1	V	10429245	11132057	74.7480108386512	V:10429245-11132057	1897	72	702.812	10.244560422986517
JU1793xJU2466	mig6 vs pos1	III	322302	968553	70.2087911260375	III:322302-968553	1217	44	646.251	6.808500102901195
JU1793xJU2466	ht115 vs pos1	IV	4691159	7592922	56.7000979266207	IV:4691159-7592922	583	47	2901.763	1.6197049862445692
N2xXZ1516	pos1 vs mig6	II	753292	1015936	43.681076559782	II:753292-1015936	1705	53	262.644	20.17940634470995
JU1793xJU2466	mig6 vs pos1	V	1437127	1786512	39.5709605655503	V:1437127-1786512	764	35	349.385	10.017602358429812
JU1793xJU2466	ht115 vs mig6	I	6908784	10518865	39.0711377758988	I:6908784-10518865	76	12	3610.081	0.33240251396021303
JU1793xJU2466	ht115 vs mig6	II	14197089	15242948	31.1509949997116	II:14197089-15242948	14	2	1045.859	0.19123036661729736
JU1793xJU2466	ht115 vs mig6	V	117208	413122	30.6568127687936	V:117208-413122	220	21	295.914	7.096656460998805
N2xXZ1516	ht115 vs pos1	I	13188544	13600804	29.8973739759935	I:13188544-13600804	1660	48	412.26	11.64313782564401
JU1793xJU2466	mig6 vs pos1	IV	3526403	3748200	17.5032821097865	IV:3526403-3748200	457	8	221.797	3.6069018066069427
JU1793xJU2466	mig6 vs pos1	I	6870033	8471837	16.5501052022681	I:6870033-8471837	33	5	1601.804	0.3121480530701634
JU1793xJU2466	mig6 vs pos1	II	10654104	12492283	15.5932656821912	II:10654104-12492283	2242	87	1838.179	4.732944941705894
JU1793xJU2466	ht115 vs pos1	I	623828	1151022	14.4434181248204	I:623828-1151022	1014	25	527.194	4.742087353042713
JU1793xJU2466	ht115 vs pos1	X	6538129	7335691	9.35278886743548	X:6538129-7335691	978	42	797.562	5.266048282139821
JU1793xJU2466	ht115 vs pos1	II	15138920	15242948	7.21469967229924	II:15138920-15242948	1	1	104.028	0.9612796554773714
JU1793xJU2466	ht115 vs pos1	V	14046505	14930441	5.50079307357239	V:14046505-14930441	926	68	883.936	7.69286464178402
