locus	track	kind	value	thr	rel
I:1.9	pooled GWAS · mig-6	gwas	1.9360728482349918	6.8088993545566545	0.28434446559109916
I:1.9	pooled GWAS · pos-1	gwas	-1.922597570585378	6.8088993545566545	-0.28236539717667236
I:1.9	JU1793 × JU2466 · ht115 vs mig6	cross	5.07861736469578	3.571661750971505	1.4219200245696215
I:1.9	JU1793 × JU2466 · ht115 vs pos1	cross	5.03829622593802	3.571661750971505	1.410630842791198
I:1.9	JU1793 × JU2466 · mig6 vs pos1	cross	0	3.571661750971505	0
I:1.9	N2 × XZ1516 · ht115 vs mig6	cross	-728.154219694012	3.571661750971505	-203.86987079500219
I:1.9	N2 × XZ1516 · ht115 vs pos1	cross	0.00508726343387804	3.571661750971505	0.001424340765889795
I:1.9	N2 × XZ1516 · pos1 vs mig6	cross	-751.118651618331	3.571661750971505	-210.2994919420978
III:12.4	pooled GWAS · mig-6	gwas	1.8954435846422804	6.8088993545566545	0.2783773831777688
III:12.4	pooled GWAS · pos-1	gwas	-7.043232378038574	6.8088993545566545	-1.0344156979387717
III:12.4	JU1793 × JU2466 · ht115 vs mig6	cross	-97.0170782013867	3.571661750971505	-27.16300841617986
III:12.4	JU1793 × JU2466 · ht115 vs pos1	cross	-35.4969130325314	3.571661750971505	-9.938486762604581
III:12.4	JU1793 × JU2466 · mig6 vs pos1	cross	9.05890199899624	3.571661750971505	2.5363269622416467
III:12.4	N2 × XZ1516 · ht115 vs mig6	cross	322.999762163956	3.571661750971505	90.43402894355796
III:12.4	N2 × XZ1516 · ht115 vs pos1	cross	330.547844515239	3.571661750971505	92.54735402234793
III:12.4	N2 × XZ1516 · pos1 vs mig6	cross	-0	3.571661750971505	-0
III:13.7	pooled GWAS · mig-6	gwas	0.7177142160731302	6.8088993545566545	0.10540825744366764
III:13.7	pooled GWAS · pos-1	gwas	1.6002103667762653	6.8088993545566545	0.2350174798376733
III:13.7	JU1793 × JU2466 · ht115 vs mig6	cross	-315.282258443074	3.571661750971505	-88.2732689783169
III:13.7	JU1793 × JU2466 · ht115 vs pos1	cross	-125.934769300314	3.571661750971505	-35.25943330609604
III:13.7	JU1793 × JU2466 · mig6 vs pos1	cross	17.3699302983951	3.571661750971505	4.863262959789072
III:13.7	N2 × XZ1516 · ht115 vs mig6	cross	814.792869312072	3.571661750971505	228.12710892638287
III:13.7	N2 × XZ1516 · ht115 vs pos1	cross	589.316464425668	3.571661750971505	164.9978372855077
III:13.7	N2 × XZ1516 · pos1 vs mig6	cross	47.7606333469822	3.571661750971505	13.372104268829807
IV:9.0	pooled GWAS · mig-6	gwas	-1.1633283345774488	6.8088993545566545	-0.170854094619408
IV:9.0	pooled GWAS · pos-1	gwas	1.0982841208242102	6.8088993545566545	0.1613012711208921
IV:9.0	JU1793 × JU2466 · ht115 vs mig6	cross	-72.8403762222215	3.571661750971505	-20.393973814124095
IV:9.0	JU1793 × JU2466 · ht115 vs pos1	cross	-37.5703919490718	3.571661750971505	-10.519022955869914
IV:9.0	JU1793 × JU2466 · mig6 vs pos1	cross	3.01070209653083	3.571661750971505	0.84294155114546
IV:9.0	N2 × XZ1516 · ht115 vs mig6	cross	155.837995286978	3.571661750971505	43.6317899489193
IV:9.0	N2 × XZ1516 · ht115 vs pos1	cross	23.3345494388069	3.571661750971505	6.533247285373486
IV:9.0	N2 × XZ1516 · pos1 vs mig6	cross	58.1692735956476	3.571661750971505	16.28633326765205
V:13.8	pooled GWAS · mig-6	gwas	-5.299043738789531	6.8088993545566545	-0.7782526165911533
V:13.8	pooled GWAS · pos-1	gwas	3.5167936800246458	6.8088993545566545	0.516499583397592
V:13.8	JU1793 × JU2466 · ht115 vs mig6	cross	0.634062969796846	3.571661750971505	0.17752604081962087
V:13.8	JU1793 × JU2466 · ht115 vs pos1	cross	4.82168946051786	3.571661750971505	1.3499849080631285
V:13.8	JU1793 × JU2466 · mig6 vs pos1	cross	1.50518715293246	3.571661750971505	0.42142488787552285
V:13.8	N2 × XZ1516 · ht115 vs mig6	cross	611.087551037142	3.571661750971505	171.0933435594577
V:13.8	N2 × XZ1516 · ht115 vs pos1	cross	-3.62229481666992	3.571661750971505	-1.0141763328189302
V:13.8	N2 × XZ1516 · pos1 vs mig6	cross	730.261431098777	3.571661750971505	204.45985146833775
V:14.6	pooled GWAS · mig-6	gwas	-7.710450733263291	6.8088993545566545	-1.132407799228711
V:14.6	pooled GWAS · pos-1	gwas	-2.374199807755136	6.8088993545566545	-0.34869068907095435
V:14.6	JU1793 × JU2466 · ht115 vs mig6	cross	2.29162357438975	3.571661750971505	0.6416127097607773
V:14.6	JU1793 × JU2466 · ht115 vs pos1	cross	5.4323548302878	3.571661750971505	1.5209600485852783
V:14.6	JU1793 × JU2466 · mig6 vs pos1	cross	0.43838275981629	3.571661750971505	0.12273915907547747
V:14.6	N2 × XZ1516 · ht115 vs mig6	cross	489.801624548457	3.571661750971505	137.13550125938696
V:14.6	N2 × XZ1516 · ht115 vs pos1	cross	-0.0347586661710155	3.571661750971505	-0.009731791136593776
V:14.6	N2 × XZ1516 · pos1 vs mig6	cross	511.736192848919	3.571661750971505	143.27677941779478
X:6.9	pooled GWAS · mig-6	gwas	-2.7287428778356646	6.8088993545566545	-0.4007612296412539
X:6.9	pooled GWAS · pos-1	gwas	-2.7902378832295973	6.8088993545566545	-0.4097927929221502
X:6.9	JU1793 × JU2466 · ht115 vs mig6	cross	767.037420060736	3.571661750971505	214.75645610956835
X:6.9	JU1793 × JU2466 · ht115 vs pos1	cross	9.35278886743547	3.571661750971505	2.618609913128385
X:6.9	JU1793 × JU2466 · mig6 vs pos1	cross	-339.942533686083	3.571661750971505	-95.17769525448969
X:6.9	N2 × XZ1516 · ht115 vs mig6	cross	-29.4639203524821	3.571661750971505	-8.24935909579562
X:6.9	N2 × XZ1516 · ht115 vs pos1	cross	-11.9309456716041	3.571661750971505	-3.3404466893761255
X:6.9	N2 × XZ1516 · pos1 vs mig6	cross	-3.67875683243524	3.571661750971505	-1.0299846651029048
X:9.7	pooled GWAS · mig-6	gwas	-0.9737209313660516	6.8088993545566545	-0.14300709713302162
X:9.7	pooled GWAS · pos-1	gwas	-1.7556286066971067	6.8088993545566545	-0.2578432306422923
X:9.7	JU1793 × JU2466 · ht115 vs mig6	cross	-469.747471923524	3.571661750971505	-131.52070511597324
X:9.7	JU1793 × JU2466 · ht115 vs pos1	cross	-6.41397090798373	3.571661750971505	-1.7957946063171033
X:9.7	JU1793 × JU2466 · mig6 vs pos1	cross	247.581311974886	3.571661750971505	69.31824154612148
X:9.7	N2 × XZ1516 · ht115 vs mig6	cross	-154.338221955162	3.571661750971505	-43.21188083199128
