strain	n_alt	n_private	n_shared2	private_frac	markers
CB4854	34378	1689	2060	0.0491302577229624	1237106
CB4856	88863	14040	4445	0.157996016339759	1237106
CX11254	44655	561	583	0.0125629828686597	1237106
CX11262	53041	289	868	0.00544861522218661	1237106
CX11264	54482	721	1318	0.0132337285709042	1237106
CX11271	31133	709	182	0.0227732630970353	1237106
CX11276	38251	1660	785	0.0433975582337717	1237106
CX11285	53292	1042	966	0.0195526533063124	1237106
CX11307	52992	635	2047	0.011982940821256	1237106
DL200	45304	656	242	0.0144799576196362	1237106
DL226	41790	996	971	0.0238334529791816	1237106
DL238	96489	20069	3438	0.207992620920519	1237106
ECA189	88372	6129	2924	0.0693545466889965	1237106
ECA191	217212	26496	47776	0.121982210927573	1237106
ECA348	65333	409	1791	0.00626023602161235	1237106
ECA36	247996	10652	17202	0.0429523056823497	1237106
ECA363	236370	18090	11820	0.0765325548927529	1237106
ECA369	188011	44920	31385	0.238922190722883	1237106
ECA372	77141	2454	3212	0.0318118769525933	1237106
ECA396	223617	28627	47762	0.128017995054043	1237106
ED3017	32008	454	37	0.0141839540114971	1237106
ED3049	46879	1144	697	0.0244032509225879	1237106
ED3052	35219	525	37	0.0149067264828644	1237106
ED3077	40152	617	77	0.0153666068938035	1237106
EG4724	53470	699	261	0.0130727510753694	1237106
EG4725	72392	1952	571	0.0269643054481158	1237106
GXW1	37244	904	631	0.0242723660186876	1237106
JU1212	49657	1012	324	0.0203798054654933	1237106
JU1400	53165	1237	571	0.0232671870591555	1237106
JU1581	49302	1177	1295	0.0238732708612227	1237106
JU1652	43808	871	1413	0.0198822132943755	1237106
JU1793	77341	413	1620	0.00533998784603251	1237106
JU1896	46058	1367	1938	0.0296799687350732	1237106
JU2001	58749	3245	1413	0.0552349827231102	1237106
JU2007	38580	941	639	0.0243908761016071	1237106
JU2017	50810	2416	1413	0.0475496949419406	1237106
JU2106	68434	484	74	0.00707250781775141	1237106
JU2234	44507	1126	1402	0.0252993911070169	1237106
JU2316	106497	387	416	0.00363390518042762	1237106
JU2464	37906	810	206	0.0213686487627289	1237106
JU2519	81049	250	111	0.00308455378844896	1237106
JU2526	119708	322	381	0.00268987870484846	1237106
JU2576	48165	1909	1267	0.0396345894321603	1237106
JU258	77957	1570	1415	0.0201393075669921	1237106
JU2592	35137	925	81	0.0263255257990153	1237106
JU2593	49290	1062	572	0.0215459525258673	1237106
JU2619	38341	1281	395	0.0334107091625153	1237106
JU2811	55634	3201	1032	0.0575367580975662	1237106
JU2829	53525	490	789	0.00915460065390005	1237106
JU2838	52359	1306	1544	0.0249431807330163	1237106
JU2841	50354	1778	1005	0.0353100051634428	1237106
JU2878	43848	2660	1398	0.0606641123882503	1237106
JU2879	64750	1320	1352	0.0203861003861004	1237106
JU3137	44650	1214	1154	0.0271892497200448	1237106
JU561	31609	699	370	0.0221139548862666	1237106
JU774	41270	854	921	0.0206929973346256	1237106
JU775	98348	155	215	0.00157603611664701	1237106
JU782	71750	266	184	0.00370731707317073	1237106
KR314	39359	954	503	0.0242384206915826	1237106
LKC34	32534	1068	237	0.032827196164013	1237106
MY10	61368	3823	866	0.062296310780863	1237106
MY16	66616	276	2659	0.00414314879308274	1237106
MY18	47168	805	754	0.0170666553595658	1237106
MY2147	40188	1056	1650	0.0262765004478949	1237106
MY23	86264	1128	3845	0.0130761383659464	1237106
MY2453	42410	606	271	0.0142890827634992	1237106
MY2741	46860	440	1234	0.00938967136150235	1237106
N2	6234	13	1	0.00208533846647417	1237106
NIC195	83137	920	2318	0.0110660716648424	1237106
NIC199	81385	2592	1418	0.0318486207532101	1237106
NIC251	123647	3396	5572	0.0274652842365767	1237106
NIC252	63485	1356	584	0.0213593762306057	1237106
NIC256	67036	187	50	0.00278954591562742	1237106
NIC258	99659	211	76	0.00211721971924262	1237106
NIC260	66939	227	72	0.00339114716383573	1237106
NIC261	80658	249	101	0.00308710853232165	1237106
NIC262	78051	208	99	0.0026649242162176	1237106
NIC265	104952	815	435	0.00776545468404604	1237106
NIC266	60167	608	400	0.0101052071733675	1237106
NIC268	62575	5026	2457	0.0803196164602477	1237106
NIC271	69721	100	37	0.00143428809110598	1237106
NIC3	38701	1373	476	0.0354771194542777	1237106
NIC501	58919	707	1375	0.0119995247712962	1237106
NIC523	54014	842	1994	0.0155885511163772	1237106
NIC526	45603	1364	189	0.0299103129180098	1237106
NIC527	44195	942	552	0.0213146283516235	1237106
NIC528	40057	718	359	0.0179244576478518	1237106
PS2025	64816	148	238	0.00228338681806961	1237106
QG2075	55634	1599	1172	0.0287414171190279	1237106
QG556	56640	1273	3052	0.0224752824858757	1237106
QW947	52567	1056	579	0.0200886487720433	1237106
QX1211	245010	11391	16488	0.046491979919187	1237106
QX1212	50915	2249	828	0.0441716586467642	1237106
QX1791	99089	14466	7547	0.145989968614074	1237106
QX1792	63642	4637	2508	0.0728606894817888	1237106
QX1793	75321	5294	2782	0.0702858432575245	1237106
QX1794	81582	3711	1951	0.0454879752886666	1237106
WN2001	63991	1466	1192	0.02290947164445	1237106
XZ1513	89259	2870	3091	0.0321536203632127	1237106
XZ1514	261919	37268	26223	0.142288264692519	1237106
XZ1515	25452	254	95	0.00997956938550998	1237106
XZ1516	369799	154060	45995	0.416604696064619	1237106
PB306	47690	0	2173	0	1237106
