strain	nn_ibs_wild	nn_partner_wild	nn_ibs	nn_partner	mean_ibs
CB4854	0.963792	JU561	0.974848	N2	0.92402734
CB4856	0.918814	XZ1515	0.925948	N2	0.89425942
CX11254	0.970726	XZ1515	0.970726	XZ1515	0.92015746
CX11262	0.97288	CX11264	0.97288	CX11264	0.91636988
CX11264	0.97288	CX11262	0.97288	CX11262	0.91553836
CX11271	0.967984	LKC34	0.975898	N2	0.92874052
CX11276	0.967878	CX11271	0.969992	N2	0.92327842
CX11285	0.959286	CX11271	0.959286	CX11271	0.9172559
CX11307	0.959232	CX11254	0.959232	CX11254	0.91537662
DL200	0.968892	ED3017	0.968892	ED3017	0.92186248
DL226	0.960792	XZ1515	0.967026	N2	0.9218052
DL238	0.91234	XZ1515	0.919654	N2	0.8890066
ECA189	0.931822	XZ1515	0.931822	XZ1515	0.89681178
ECA191	0.917952	ECA396	0.917952	ECA396	0.80383734
ECA348	0.984054	PS2025	0.984054	PS2025	0.90936968
ECA36	0.94802	QX1211	0.94802	QX1211	0.7850031
ECA363	0.914534	QX1211	0.914534	QX1211	0.79178112
ECA369	0.840052	JU1212	0.847526	N2	0.8175064400000001
ECA372	0.943714	XZ1515	0.943714	XZ1515	0.90302026
ECA396	0.917952	ECA191	0.917952	ECA191	0.79984902
ED3017	0.968912	ED3077	0.97679	N2	0.92830152
ED3049	0.957964	JU561	0.963548	N2	0.9202129
ED3052	0.972086	LKC34	0.97348	N2	0.92583262
ED3077	0.968912	ED3017	0.969698	N2	0.924536
EG4724	0.954932	NIC252	0.954932	NIC252	0.91854068
EG4725	0.951942	NIC266	0.951942	NIC266	0.90684794
GXW1	0.966286	ED3052	0.972562	N2	0.92363104
JU1212	0.963072	JU2106	0.963072	JU2106	0.91764512
JU1400	0.950838	NIC528	0.955158	N2	0.91708172
JU1581	0.960798	MY2147	0.96218	N2	0.91856074
JU1652	0.967646	JU1896	0.967646	JU1896	0.92011038
JU1793	0.972618	JU2106	0.972618	JU2106	0.90729886
JU1896	0.969328	JU2234	0.969328	JU2234	0.91797168
JU2001	0.951172	JU3137	0.951172	JU3137	0.91407852
JU2007	0.964538	CX11271	0.97066	N2	0.92557882
JU2017	0.952886	XZ1515	0.960588	N2	0.91724174
JU2106	0.972618	JU1793	0.972618	JU1793	0.91107464
JU2234	0.969328	JU1896	0.969328	JU1896	0.91944944
JU2316	0.96819	JU2526	0.96819	JU2526	0.8893943599999999
JU2464	0.963898	GXW1	0.970884	N2	0.92394678
JU2519	0.96697	NIC258	0.96697	NIC258	0.90588422
JU2526	0.96819	JU2316	0.96819	JU2316	0.88366222
JU2576	0.9559	JU1581	0.963184	N2	0.91743598
JU258	0.944074	EG4724	0.944074	EG4724	0.90565442
JU2592	0.963522	MY2147	0.9738	N2	0.92684398
JU2593	0.962052	JU2829	0.962052	JU2829	0.91830686
JU2619	0.960612	KR314	0.967316	N2	0.92454466
JU2811	0.948334	LKC34	0.953388	N2	0.91672834
JU2829	0.962052	JU2593	0.962052	JU2593	0.91704118
JU2838	0.95318	XZ1515	0.956266	N2	0.91784196
JU2841	0.957352	GXW1	0.961098	N2	0.91609772
JU2878	0.95733	JU2464	0.964486	N2	0.92116168
JU2879	0.951498	MY23	0.951498	MY23	0.90902508
JU3137	0.958292	CX11271	0.965746	N2	0.92047476
JU561	0.966524	JU1652	0.977108	N2	0.92697826
JU774	0.963368	LKC34	0.96569	N2	0.92315136
JU775	0.960818	NIC258	0.960818	NIC258	0.8950541
JU782	0.981612	NIC271	0.981612	NIC271	0.9106046799999999
