strain	nn_ibs	nn_partner	mean_ibs
AB1	0.9668847009045183	CB4852	0.9265882080636008
CB4852	0.9729119443904756	EG4347	0.9312376805673872
CB4854	0.963491138311422	ED3048	0.9255921151543695
CB4932	0.9714698961638927	JU397	0.9259238225237837
CX11254	0.9583230792478898	CX11264	0.9127572574718784
CX11262	0.9647043585260022	CX11264	0.9062622411937173
CX11264	0.9647043585260022	CX11262	0.9064515984813096
CX11271	0.9668026682209702	CX11292	0.92960499768349
CX11276	0.9548992940871706	CX11271	0.9202676293946788
CX11285	0.9493815167411437	ED3011	0.9131460888152613
CX11292	0.9755110852060531	JU1172	0.9340284268412677
CX11315	0.961695054292684	CX11264	0.9138217152086322
DL200	0.9573300520259914	JU310	0.9214653423408337
DL226	0.9525332987932561	ED3011	0.9180093930105139
CB4855	0.9815771862789543	QX1233	0.9248175181549365
CB4857	0.9747814260734409	JU1172	0.928532926823193
PB306	0.9587936878008765	CB4857	0.9117976462419081
ECA348	0.949364246702502	QG556	0.8956821965445361
ECA349	0.9732141700667055	CB4857	0.9186873186693844
ECA36	0.9305917146989616	QX1211	0.7581703824713195
ECA363	0.8977786412797099	QX1211	0.7664370083643447
ECA372	0.9288085832092049	XZ1513	0.889596142956577
ECA396	0.7912095503313689	MY2530	0.7774083369067751
ED3005	0.9672128316387107	ED3011	0.9208865405723919
ED3011	0.9687757701357856	CX11292	0.9270293093760087
ED3012	0.9809425123588714	JU1200	0.9275385711367837
ED3040	0.9611985406817348	JU2578	0.9257861220677499
ED3046	0.9954191222502861	ED3049	0.9206954460619777
ED3048	0.9781490836085746	JU2466	0.9332116766410081
ED3049	0.9954191222502861	ED3046	0.9214980941005063
ED3052	0.9604904690974246	JU323	0.9245158034265953
ED3073	0.9667853981823284	JU2466	0.9293305164776223
ED3077	0.9645273406299246	JU2466	0.9239080820076471
EG4347	0.9870388359993956	PX179	0.934530739710755
EG4349	0.9386999978412451	NIC277	0.9117708214777456
EG4724	0.9505688318977614	JU2522	0.9135965404740345
EG4946	0.9779591131835157	JU1172	0.9321103795614714
GXW1	0.9688146277227295	JU2466	0.9258967933804657
JU1088	0.9666731429311574	ED3048	0.9248628903274627
JU1172	0.9779591131835157	EG4946	0.9270537326850937
JU1200	0.98476350840835	NIC2	0.9327706775181779
JU1212	0.9536472162856464	JU2565	0.9054716515253647
JU1213	0.9474602249422533	NIC1	0.9144005169770739
JU1242	0.982522720894588	JU792	0.9210944452683479
JU1246	0.949303801567256	JU1212	0.9116811501232598
JU1400	0.9325777691427585	NIC528	0.9088782432896255
JU1409	0.9595233469334887	JU2862	0.9306138131951526
JU1440	0.9760637264425879	NIC522	0.9293481952745751
JU1491	0.9614532737517	NIC236	0.9202102499467656
JU1530	0.9928027113960668	JU310	0.9300667412906058
JU1543	0.9796256719124409	JU1200	0.9282391317871284
JU1568	0.9817628391943527	JU2565	0.928158299831119
JU1581	0.955227424821363	CB4932	0.9178210576186993
JU1586	0.9768495132007858	NIC2	0.9284804013802235
JU1652	0.947296159575157	JU1896	0.917363810353005
JU1793	0.9495498996179004	JU393	0.8947229429780879
JU1808	0.9553094575049111	JU311	0.9250519410463216
JU1896	0.9566651555382856	JU1543	0.9105985537364534
JU2001	0.9334973987004296	JU3137	0.9061493728050797
JU2007	0.9585130496729486	MY2535	0.9253281594750112
JU2131	0.9513028085400341	JU397	0.9119672809409923
JU2141	0.9779850182414783	JU792	0.9230022735903682
JU2234	0.9558275586641625	JU1896	0.9147895526996124
JU2466	0.9781490836085746	ED3048	0.9316435775702563
JU2513	0.9604731990587829	JU2466	0.9254632030020232
JU2519	0.945236707467133	JU2522	0.8952622995695136
JU2522	0.967346674438184	NIC514	0.9193326458529489
JU2526	0.9444336506702934	NIC265	0.8649460751985001
