trait	depth	r2
Albendazole_q75.TOF	500	1.0
Albendazole_q75.TOF	100	0.97
Albendazole_q75.TOF	50	0.97
Albendazole_q75.TOF	30	0.95
Albendazole_q75.TOF	10	0.9
Albendazole_q75.TOF	5	0.84
Albendazole_q75.TOF	3	0.77
Albendazole_q75.TOF	1	0.56
PC1	500	1.0
PC1	100	1.0
PC1	50	1.0
PC1	30	1.0
PC1	10	0.99
PC1	5	0.98
PC1	3	0.98
PC1	1	0.91
amsacrine_f.L1	500	1.0
amsacrine_f.L1	100	1.0
amsacrine_f.L1	50	1.0
amsacrine_f.L1	30	0.99
amsacrine_f.L1	10	0.97
amsacrine_f.L1	5	0.95
amsacrine_f.L1	3	0.93
amsacrine_f.L1	1	0.79
assay_norm	500	1.0
assay_norm	100	1.0
assay_norm	50	1.0
assay_norm	30	0.99
assay_norm	10	0.96
assay_norm	5	0.93
assay_norm	3	0.89
assay_norm	1	0.81
etoposide_median.TOF	500	1.0
etoposide_median.TOF	100	1.0
etoposide_median.TOF	50	1.0
etoposide_median.TOF	30	0.99
etoposide_median.TOF	10	0.97
etoposide_median.TOF	5	0.93
etoposide_median.TOF	3	0.89
etoposide_median.TOF	1	0.72
mtDNA_ratio	500	1.0
mtDNA_ratio	100	0.99
mtDNA_ratio	50	0.96
mtDNA_ratio	30	0.95
mtDNA_ratio	10	0.89
mtDNA_ratio	5	0.78
mtDNA_ratio	3	0.69
mtDNA_ratio	1	0.52
value	500	1.0
value	100	1.0
value	50	1.0
value	30	0.99
value	10	0.99
value	5	0.98
value	3	0.96
value	1	0.86
