strain,slope_baugh,PC1_baugh,slope_nnls,PC1_nnls
CB4854,-1.7608336217843785e-4,-0.018672611409696484,-9.509003555408215e-5,-0.01782201312764403
CB4856,0.002646875005327749,0.32730770225076883,0.002871172876339614,0.3796764841217939
CX11254,3.322005793299635e-4,0.06696203327747843,3.551578289270559e-4,0.06438522725061852
CX11264,-4.876053970582878e-4,-0.028197374542232617,-5.203163961646177e-4,-0.029908838991700125
CX11271,-7.944404322380274e-4,-0.05366055733217409,-6.178169354728525e-4,-0.04903689519330065
CX11276,1.278512369014412e-4,0.0044416548102627195,7.638562135966165e-5,-0.0029603123441214615
CX11285,-3.822728986193596e-6,-0.016186704199212767,3.666165229674943e-5,-0.01490585145397482
CX11307,4.108455394465809e-4,0.043228440581240424,2.5930663277630504e-4,0.02559126843380912
DL200,3.947591447303457e-4,-0.057516099013740656,3.0945141693321883e-4,-0.05614920154652501
DL226,-8.162989908765483e-4,-0.040604542005936606,-5.753723328399568e-4,-0.025993839138283445
DL238,0.0041845168013955325,0.8684283030971709,0.003943621511768808,0.8548061824012786
ECA189,7.684711694620422e-4,0.007539285310701041,7.325629949879724e-4,0.004593790946086972
ECA191,5.556559978192997e-5,-0.028101316711287017,3.362556715095519e-5,-0.026755756896850703
ECA36,1.1783958330348014e-4,-0.02842353032030741,4.0860194937979406e-5,-0.023425775027560113
ECA363,-3.8154971876836987e-4,-0.014723311446523318,-4.323622732211252e-4,-0.028785252538203972
ECA369,5.009117210067547e-4,0.03583157459600508,5.011961599850855e-4,0.03532870559008804
ECA372,-5.715339780706032e-4,-0.015425248337005943,-5.366091593050259e-4,-0.020184130936107214
ECA396,-9.330779386082694e-4,-0.08858359477806273,-7.539206844944669e-4,-0.06726009696058076
ED3017,3.9449038631076956e-5,0.007144512391228493,4.082983333710364e-5,-0.0012331234744476568
ED3049,-6.565836138895992e-4,-0.02648515005172756,-0.0010265106614200372,-0.05581149885519244
ED3052,-5.884638658960663e-4,0.007796581233336015,-5.975015498639925e-4,-0.016090748976817237
ED3077,0.0029251235182331074,0.008290036195225765,0.002896273896566483,0.044369853941437554
EG4724,0.0016484807363895914,-0.017448763576805946,0.0015253567244113515,-0.004943658832352663
EG4725,0.00217484045251585,0.11857798554563743,0.0022710461383077703,0.1520467950166658
GXW1,-2.4189537119451954e-4,0.006820305624401477,-1.59796059584853e-4,-8.827566874471919e-4
JU1212,-3.8145972786429033e-4,-5.04394581356964e-4,-2.607607120680684e-4,-0.0016274833732309749
JU1400,-2.577851267399155e-4,-0.006641516375855289,-1.5740809625557214e-4,-0.004129030359621541
JU1581,-2.2687334680864487e-4,-0.014449339070656183,-2.8133862469469073e-4,-0.01531525877432291
JU1652,-2.61433069583973e-4,-0.051331317907782885,-4.3686544393719813e-4,-0.06905468117265416
JU1793,-5.844100598481733e-4,-0.011159663922283037,-5.117418286266265e-4,-0.018082746135367363
JU1896,-4.125589576660297e-4,-0.0378297278946959,-2.2709892437706408e-4,-0.03705130314510553
JU2001,9.36698605772507e-6,0.010715150319830323,0,0
JU2007,-5.138203061599628e-4,-0.06486052097143155,-5.578425373876833e-4,-0.05180030874347303
JU2017,-6.247631204491012e-4,-0.02934818538942994,-5.742547417668532e-4,-0.032427787609720496
JU2106,-3.291763259817161e-4,0.0016047181386039683,-4.794379134261223e-4,-0.011495807944941976
JU2234,-6.697292484352661e-5,-0.03141433453838137,-9.788686150582606e-5,-0.019594852507850466
JU2316,-2.507279281433919e-5,0.009326013094386146,5.974062530973241e-5,0.008945094447232495
JU2464,-4.3993295748761066e-4,-0.02109348153882079,-4.622241452321302e-4,-0.030978386226862054
JU2519,7.951290655595827e-4,0.10730709408522715,9.533486574019193e-4,0.10600194157312137
JU2526,0.0023015443470891443,0.0077246855797949805,0.0022849428619384333,0.024521003126836725
JU2576,-2.4001551545811968e-4,-0.0025513705047759037,-1.3266677237826018e-4,-0.0024774068131839114
JU258,-0.0015234558865863754,-0.018411138170940613,-0.0013701453225552,-0.0422933962737822
JU2592,-5.379939069576848e-4,-0.01548252836175387,-4.215276722509073e-4,-0.013048798192915483
JU2593,-7.133340072611803e-4,-0.12268637883491211,-4.389600622803866e-4,-0.09302399734763014
JU2619,-9.018910639291238e-5,-0.0028902117233909363,-6.0539151806950315e-5,0.006735716220139897
JU2811,-0.0011252303683292589,-0.03295350083540198,-0.0012580489257743854,-0.049665651435271706
JU2829,-2.215452173592667e-4,-0.020394439550838812,-2.760317367269034e-4,-0.025507429987150207
JU2838,1.696327731237938e-4,-0.04751545757378448,1.416871858384197e-4,-0.03937039648367045
JU2841,2.696067561606582e-4,-0.051590062072193826,8.936037486562396e-4,-0.034072635621585357
JU2878,2.2872808228699507e-4,-0.05945555110315591,2.2219366958070754e-4,-0.04481185606836469
JU2879,-5.0459339167254265e-5,-0.01240013846267754,1.6533560078882783e-5,-0.0036927256294022265
JU3137,-7.690800097200737e-4,-0.025816176068116238,-7.865839645296331e-4,-0.03338620924417042
JU561,-3.749764152343376e-7,-1.4990433344866762e-5,-8.332962164579758e-5,-0.013773458430858813
JU774,-9.014257450872849e-5,0.0030325241821860813,1.4114095413961171e-4,0.01100720348981499
JU775,3.8973888140213213e-7,-2.0421681370167777e-4,2.6469302087550476e-4,-0.0014907614463402848
JU782,-6.634189656575998e-4,-0.0035853936020929598,-5.258156376046578e-4,-0.014536171000035392
KR314,-3.171446214890753e-4,-0.023738545135930985,-3.1240052402851557e-4,-0.02759660869026866
LKC34,-1.541178190636019e-4,-0.001194097665653348,-1.0658425483602263e-4,-0.004495893141450682
MY10,-4.54303020582926e-4,-0.031677326066074915,-3.591922489791164e-4,-0.022591405716176537
MY16,-8.29525085237522e-4,-0.08140441466456319,-8.313518041898528e-4,-0.05932250998778918
MY18,-4.7557223382070423e-4,-0.008991974329085646,-8.677746613100207e-4,-0.035241612263919427
MY2147,-7.069613569591829e-4,-0.017121448946289208,-5.701329538379456e-4,-0.024144471868897874
MY23,-1.2224522227674732e-4,0.02620562167520933,-2.2667733120376572e-4,-8.59618047088536e-4
MY2453,-3.382603662135936e-4,-0.013907081107523693,-3.3917886709618493e-4,-0.025125559266704494
MY2741,-5.682132836697253e-4,-0.019616922699060964,-5.01323002638491e-4,-0.029593250773823625
NIC195,-8.891087605101099e-5,0.020525401041842608,2.139201929626793e-6,0.019482672379730368
NIC199,4.538495055106124e-6,-0.003918454214196046,4.234923258684724e-5,-0.005466344187941304
NIC251,2.4974811737423045e-5,0.008282180301265193,7.530517329918093e-5,0.007275387676094851
NIC252,0.0012400586561238014,0.0320236305389325,0.0010757469476578919,0.04027153247332192
NIC256,-4.319697499024839e-4,0.0020496854249979217,-1.371935042360378e-4,0.006753880416620092
NIC258,0.0019810817707484455,-0.05727176463146694,0.001664619463749744,-0.025696464013426932
NIC261,9.243629754754693e-4,-0.06799898021464644,8.998912627414425e-4,-0.04169329313726249
NIC262,4.88326732124352e-4,0.033048786742731456,2.7278280245039075e-4,0.019768010006360442
NIC265,2.617798847728468e-4,0.0305944048471748,4.0072280357754246e-4,0.02926903826945263
NIC266,-1.312324361281243e-4,0.003976768617375054,-5.645101586991503e-5,-0.004997014729486125
NIC268,-1.9748688039606417e-5,0.007464727844473798,5.685894736947756e-7,0.0062986947041133315
NIC271,-5.8668608868473605e-05,-0.04976372853956386,2.7305331788296517e-5,-0.012477424664875706
NIC3,-1.7371191494134277e-4,-0.016429713179691226,-1.9975324635026972e-4,-0.010032051544923542
NIC501,-7.29212564405152e-4,-0.054171537938170554,-5.844248576435518e-4,-0.03269025946751431
NIC523,5.633154790300437e-4,-0.01354126543848921,6.645857729770682e-4,-0.015912420803757137
NIC526,-1.7509514450937864e-4,-0.010727781062115636,-2.2907269600373203e-4,-0.008945978133607927
NIC527,-7.424926973534961e-4,-0.06138669372157362,-7.252268750253194e-4,-0.05321194629106365
NIC528,3.087764813540306e-4,0.070065000739242,3.1449528092087475e-4,0.05283132898661535
PS2025,1.975040949590599e-4,0.03596095023133395,7.66783630331985e-5,0.021627995635240007
QG2075,1.3420276321904259e-4,0.0360968600296677,1.2984168900913485e-4,0.037234162345491664
QG556,-3.2912168568437276e-4,-0.005574177116188649,-2.4783934268054255e-4,0.006112953532489674
QW947,-7.474797811219917e-4,-0.03813261256760788,-7.32696314319613e-4,-0.045764329432399636
QX1211,-3.2659724944394294e-6,-6.471866140382263e-4,3.92520686479734e-6,-6.422558641592298e-4
QX1212,-7.856144624893956e-5,0.029068080503816603,-3.12918512206745e-5,0.016170644773275386
QX1791,-4.570087752643027e-4,-0.02192245187929841,-4.0452829550472895e-4,-0.022363758311431718
QX1792,-4.8292272326626876e-4,-0.0427940526934258,-4.933437226482654e-4,-0.040952791561824894
QX1793,-8.924366761948842e-4,-0.04961107986732309,-9.025887719077794e-4,-0.05390502996278516
QX1794,-3.099457633207765e-4,-0.02057439360689019,-2.901721098259786e-4,-0.02160250496882828
WN2001,-1.5159485230759715e-4,-0.012566632839066257,-2.2675535072975303e-4,-0.01934010408073301
XZ1513,-3.1932722937302177e-4,0.0148163592483542,-4.173044030437722e-4,-0.006783070241994411
XZ1514,-3.4870731662698447e-4,-0.022145409226224815,-2.5878765993646156e-4,-0.018695974939905966
XZ1515,-1.246390083987242e-4,-0.018224741083943386,4.8716083524690886e-5,3.577227226442019e-4
XZ1516,-1.4095747640718888e-4,-0.005882797051281899,-1.0503848025765937e-4,-0.007604075540728379
