strain,slope_baugh,PC1_baugh,slope_nnls,PC1_nnls
CB4854,-1.7608336217843785e-4,-0.018669603013551844,-9.663356214857763e-5,-0.01791734150729109
CB4856,0.002646875005327749,0.3273071591335412,0.002868519887617054,0.37990838557531087
CX11254,3.322005793299635e-4,0.06696354408993653,3.6379038323103725e-4,0.0658224831267836
CX11264,-4.876053970582878e-4,-0.028196133171240575,-5.137442316870261e-4,-0.030463053178775856
CX11271,-7.944404322380274e-4,-0.05366310461157023,-6.154612158262132e-4,-0.049549486054950416
CX11276,1.278512369014412e-4,0.004439369269436449,8.363555336221474e-5,-0.0028035674555846584
CX11285,-3.822728986193596e-6,-0.016184278137479087,2.1773819458479524e-5,-0.016270394879639927
CX11307,4.108455394465809e-4,0.043227577404482374,2.6240259266325117e-4,0.02505140226703951
DL200,3.947591447303457e-4,-0.05752507427344652,3.090318339219672e-4,-0.05600913042943049
DL226,-8.162989908765483e-4,-0.040602803755518176,-5.77662140084376e-4,-0.026315148739082632
DL238,0.0041845168013955325,0.8684220070334652,0.003941330761085795,0.8547798682960912
ECA189,7.684711694620422e-4,0.007540811083826955,7.359542839204085e-4,0.004028341329559423
ECA191,5.556559978192997e-5,-0.028102323378263315,3.4054259251649834e-5,-0.026819760554752096
ECA36,1.1783958330348014e-4,-0.02842672783017996,4.197369598977927e-5,-0.023536328225789632
ECA363,-3.8154971876836987e-4,-0.01472403867309243,-4.3303535605533633e-4,-0.02863423842151395
ECA369,5.009117210067548e-4,0.035830071166599795,5.012044834914541e-4,0.03528819392645488
ECA372,-5.715339780706032e-4,-0.015421845949469314,-5.401542268790893e-4,-0.019861856721003535
ECA396,-9.330779386082694e-4,-0.0885893294676531,-7.541923123293211e-4,-0.06721353631416531
ED3017,3.9449038631076956e-5,0.007144849119431796,4.012296807739724e-5,-0.0014002111959413347
ED3049,-6.565836138895992e-4,-0.026483453715772924,-0.0010313287607339597,-0.05610592550136863
ED3052,-5.884638658960663e-4,0.0078034474212991985,-6.043457954933264e-4,-0.015945263609420442
ED3077,0.0029251235182331074,0.008297197374149103,0.002902242082636976,0.04325274055568005
EG4724,0.0016484807363895914,-0.01744138651235468,0.00152305650652748,-0.005256621081024386
EG4725,0.00217484045251585,0.11857218064619272,0.00226829803632156,0.15126725134627633
GXW1,-2.4189537119451954e-4,0.006821949851303818,-1.511705013781213e-4,-2.3764853080025873e-4
JU1212,-3.8145972786429033e-4,-5.03228432965195e-4,-0.00026218497584345823,-9.060291282344245e-4
JU1400,-2.577851267399155e-4,-0.00664115542983665,-1.5771507510689705e-4,-0.0041494299050177244
JU1581,-2.2687334680864487e-4,-0.014448691785829155,-2.7965875680486326e-4,-0.015732300464381798
JU1652,-2.61433069583973e-4,-0.051330600190985315,-4.396608370367202e-4,-0.06896670344068226
JU1793,-5.844100598481735e-4,-0.01115754189637985,-5.194975840758475e-4,-0.017903388127708884
JU1896,-4.125589576660297e-4,-0.03782915285848395,-2.2543015190897988e-4,-0.03665625106825387
JU2001,9.36698605772507e-6,0.010715596736752311,0,0
JU2007,-5.138203061599628e-4,-0.06486235078888854,-5.72304615755067e-4,-0.05197921950233532
JU2017,-6.247631204491012e-4,-0.029347070635558845,-5.705592944927491e-4,-0.033266644930747685
JU2106,-3.291763259817161e-4,0.0016070501489287453,-4.692755537619052e-4,-0.011667684392066115
JU2234,-6.697292484352661e-5,-0.031415640512657265,-9.690553327084452e-5,-0.019523466512007016
JU2316,-2.507279281433919e-5,0.009326069480806824,6.0287483309150155e-5,0.008821215170953692
JU2464,-4.3993295748761066e-4,-0.021094020760571524,-4.604407713135704e-4,-0.031175111455252875
JU2519,7.951290655595827e-4,0.10730597252194418,9.569428683230366e-4,0.10616215173834087
JU2526,0.0023015443470891443,0.007723158061232064,0.0022834915371456516,0.024246141989838158
JU2576,-2.4001551545811968e-4,-0.0025485271563026324,-1.3509343483785656e-4,-0.002575594830183865
JU258,-0.0015234558865863754,-0.01840671140987847,-0.0013714758213571711,-0.04218597211364663
JU2592,-5.379939069576848e-4,-0.01548038998228771,-4.318345706516164e-4,-0.011670964579422351
JU2593,-7.133340072611803e-4,-0.12270123636336702,-4.404957759989165e-4,-0.09244899567077709
JU2619,-9.018910639291238e-5,-0.0028902393700481924,-6.572975514557124e-5,0.007257263098556984
JU2811,-0.0011252303683292589,-0.03294909179152212,-0.0012658585712205627,-0.04913781551556488
JU2829,-2.215452173592667e-4,-0.02039528408126227,-2.733010320237091e-4,-0.025268815789902442
JU2838,1.6963277312379395e-4,-0.04751580025108949,1.4203169535257433e-4,-0.03972726614918487
JU2841,2.696067561606582e-4,-0.051588059344144246,8.904243060003185e-4,-0.03435844358440243
JU2878,2.2872808228699507e-4,-0.05945733846949924,2.2495999289649354e-4,-0.044283078947581184
JU2879,-5.0459339167254265e-5,-0.012400010025340651,1.4473684277027707e-5,-0.0035744746755742582
JU3137,-7.690800097200737e-4,-0.025812577969387317,-7.793530668202547e-4,-0.033221196939285595
JU561,-3.749764152343376e-7,-1.4988868855077354e-5,-7.380901847350094e-5,-0.013097002075478167
JU774,-9.014257450872849e-5,0.003034142865704594,1.428388818253422e-4,0.010588189029860985
JU775,3.8973888140213213e-7,-2.04226101960222e-4,2.672753989416037e-4,-0.001349512239061992
JU782,-6.634189656575998e-4,-0.0035824264082396696,-5.3563500639401e-4,-0.014478828596901729
KR314,-3.171446214890753e-4,-0.0237395179947171,-3.0943037662408497e-4,-0.028162504474776202
LKC34,-1.541178190636019e-4,-0.001193248729939653,-9.778056105472699e-5,-0.0037187797861041893
MY10,-4.54303020582926e-4,-0.03167891624053025,-3.6396661499203247e-4,-0.022478824687773687
MY16,-8.295250852375222e-4,-0.08140821990240622,-8.269064836891465e-4,-0.05886823280215096
MY18,-4.7557223382070407e-4,-0.008991783543051322,-8.638300954337846e-4,-0.035994789785421914
MY2147,-7.069613569591829e-4,-0.01711854803190913,-5.604892030442133e-4,-0.024257671832769803
MY23,-1.2224522227674732e-4,0.02620787148235354,-2.3011083429246216e-4,-0.001103811904446995
MY2453,-3.382603662135936e-4,-0.013905543784991299,-3.5875677182726145e-4,-0.026077584884879122
MY2741,-5.682132836697253e-4,-0.019614115138283972,-4.961051478563074e-4,-0.029184868638079627
NIC195,-8.891087605101099e-5,0.020527903906756073,1.668003586449697e-6,0.019591936942732306
NIC199,4.538495055106124e-6,-0.003918878655442038,4.1279485808091714e-5,-0.005458799213206942
NIC251,2.4974811737423045e-5,0.008283766807156914,7.807846689367893e-5,0.007173869975117383
NIC252,0.0012400586561238014,0.032019068800298096,0.0010712083367556754,0.03968631278098673
NIC256,-4.319697499024839e-4,0.002049262736772259,-1.2874970898295473e-4,0.006972423081629272
NIC258,0.0019810817707484455,-0.05727961293041739,0.0016649645247294974,-0.026196876419209546
NIC261,9.243629754754693e-4,-0.06801031999086443,9.000949375257217e-4,-0.041851308343832695
NIC262,4.88326732124352e-4,0.03304665473001889,2.778020467259012e-4,0.019887519842034306
NIC265,2.617798847728468e-4,0.03059803464579052,3.95500365826048e-4,0.0290421811339067
NIC266,-1.312324361281243e-4,0.003977643908615215,-4.403803220126159e-5,-0.004367682230560147
NIC268,-1.9748688039606417e-5,0.007465578605365382,-2.5075310653184412e-6,0.006149494521608013
NIC271,-5.8668608868473605e-05,-0.0497710966881506,2.1716089236997166e-5,-0.012304171371935384
NIC3,-1.7371191494134277e-4,-0.016429509057751424,-1.9969296221081744e-4,-0.010475961883332417
NIC501,-7.29212564405152e-4,-0.054174181170503904,-5.842951475757509e-4,-0.032773847339609426
NIC523,5.633154790300437e-4,-0.013540656576570796,6.603967894653418e-4,-0.016108630016960085
NIC526,-1.7509514450937864e-4,-0.010728151143051921,-2.3320662101490716e-4,-0.009951256777317891
NIC527,-7.424926973534961e-4,-0.06138894368307802,-7.089261872422391e-4,-0.05157522747679706
NIC528,3.087764813540306e-4,0.0700670524276873,3.1079925036920866e-4,0.05347335043267882
PB306,-1.0159044904395804e-4,0.0018068368131704642,-5.599645197060119e-6,0.006238194535319478
PS2025,1.975040949590599e-4,0.03595963109775557,8.221665116833586e-5,0.021622035809808735
QG2075,1.3420276321904259e-4,0.03609732907679061,1.3405127395148579e-4,0.037338784022182755
QG556,-3.2912168568437276e-4,-0.005572791577901597,-2.4585359162267325e-4,0.006469310289217684
QW947,-7.474797811219917e-4,-0.03813197408211193,-7.299348780766082e-4,-0.046206373391438564
QX1211,-3.2659724944394294e-6,-6.471742540863931e-4,3.772591954390997e-6,-5.559163733379185e-4
QX1212,-7.856144624893956e-5,0.02907022689454787,-2.2241623728628356e-5,0.01637229405787272
QX1791,-4.570087752643027e-4,-0.021920527925317772,-4.045493999329808e-4,-0.02273190475414565
QX1792,-4.8292272326626876e-4,-0.04279446381964869,-4.872526322411522e-4,-0.04143333033420518
QX1793,-8.924366761948842e-4,-0.049610114829155165,-9.023793158004435e-4,-0.05373329587568104
QX1794,-3.099457633207765e-4,-0.02057556887269429,-2.8584949385912755e-4,-0.021358098659821752
WN2001,-1.5159485230759715e-4,-0.012566928451293233,-2.2539057031368827e-4,-0.019124373604942325
XZ1513,-3.1932722937302177e-4,0.01481937752134234,-4.1277714794867585e-4,-0.006846575060269835
XZ1514,-3.4870731662698447e-4,-0.022145785311086408,-2.588391636339195e-4,-0.018664642881092267
XZ1515,-1.246390083987242e-4,-0.018224579491918896,1.3140859580409907e-7,-0.002283063747280401
XZ1516,-1.4095747640718888e-4,-0.005881737923702101,-1.0516472841990859e-4,-0.007603425270554087
