strain,slope_baugh,PC1_baugh,slope_nnls,PC1_nnls
CB4854,-1.7608336217843785e-4,-0.018669603013551844,-5.473359405991996e-5,-0.016699328710742353
CB4856,0.002646875005327749,0.3273071591335412,0.002873494694828229,0.38003699688183
CX11254,3.322005793299635e-4,0.06696354408993653,3.699503733440518e-4,0.06772588191227981
CX11264,-4.876053970582878e-4,-0.028196133171240575,-5.836930969391395e-4,-0.027019111536943537
CX11271,-7.944404322380274e-4,-0.05366310461157023,-6.071626548934495e-4,-0.05040101511038349
CX11276,1.278512369014412e-4,0.004439369269436449,1.5522743117443526e-4,-0.002449595848658308
CX11285,-3.822728986193596e-6,-0.016184278137479087,-6.766377042702894e-7,-0.014561250994233523
CX11307,4.108455394465809e-4,0.043227577404482374,2.5168309678111345e-4,0.02295195511096576
DL200,3.947591447303457e-4,-0.05752507427344652,1.9582792491923677e-4,-0.05920011919282117
DL226,-8.162989908765483e-4,-0.040602803755518176,-5.817093393249181e-4,-0.02468174303721207
DL238,0.0041845168013955325,0.8684220070334652,0.003924056697209631,0.8534017622904458
ECA189,7.684711694620422e-4,0.007540811083826955,7.258688615843852e-4,0.004983343709325748
ECA191,5.556559978192997e-5,-0.028102323378263315,3.0333331099750592e-5,-0.026790471882050887
ECA36,1.1783958330348014e-4,-0.02842672783017996,3.601901058623026e-5,-0.024286856280848042
ECA363,-3.8154971876836987e-4,-0.01472403867309243,-4.3160686997146543e-4,-0.029824922491630147
ECA369,5.009117210067548e-4,0.035830071166599795,4.94621694167738e-4,0.03563883085420718
ECA372,-5.715339780706032e-4,-0.015421845949469314,-5.367383898736163e-4,-0.017704782835482494
ECA396,-9.330779386082694e-4,-0.0885893294676531,-7.581192757481626e-4,-0.06896814413060204
ED3017,3.9449038631076956e-5,0.007144849119431796,-2.406883817149136e-6,-1.5458311595050386e-4
ED3049,-6.565836138895992e-4,-0.026483453715772924,-9.215749977818327e-4,-0.048863681093082534
ED3052,-5.884638658960663e-4,0.0078034474212991985,-6.180289940126177e-4,-0.01582731617405202
ED3077,0.0029251235182331074,0.008297197374149103,0.002819105256647845,0.047665649650848796
EG4724,0.0016484807363895914,-0.01744138651235468,0.0014671655080765171,-6.338956258058138e-4
EG4725,0.00217484045251585,0.11857218064619272,0.0023082544869385976,0.1509877336420483
GXW1,-2.4189537119451954e-4,0.006821949851303818,-1.3990341325520697e-4,4.399326143215625e-4
JU1212,-3.8145972786429033e-4,-5.03228432965195e-4,-2.9933063898573086e-4,-0.0038089972502721786
JU1400,-2.577851267399155e-4,-0.00664115542983665,-3.3693686206140464e-5,-0.004379738833201739
JU1581,-2.2687334680864487e-4,-0.014448691785829155,-2.2158768542460662e-4,-0.014068478515113995
JU1652,-2.61433069583973e-4,-0.051330600190985315,-4.923085720198036e-4,-0.07068689350107023
JU1793,-5.844100598481735e-4,-0.01115754189637985,-5.687273395468158e-4,-0.019260013143274666
JU1896,-4.125589576660297e-4,-0.03782915285848395,-2.591553469418222e-4,-0.035537304607037364
JU2001,9.36698605772507e-6,0.010715596736752311,0,0
JU2007,-5.138203061599628e-4,-0.06486235078888854,-5.908202004273946e-4,-0.0525841510867263
JU2017,-6.247631204491012e-4,-0.029347070635558845,-5.176427125219228e-4,-0.030366934960978493
JU2106,-3.291763259817161e-4,0.0016070501489287453,-3.660347998429685e-4,-0.009100646206135096
JU2234,-6.697292484352661e-5,-0.031415640512657265,-9.19109740451552e-5,-0.021371782594385033
JU2316,-2.507279281433919e-5,0.009326069480806824,8.795509320656034e-5,0.010995523295934449
JU2464,-4.3993295748761066e-4,-0.021094020760571524,-4.5510285098311674e-4,-0.031998009541807315
JU2519,7.951290655595827e-4,0.10730597252194418,9.31439741081457e-4,0.10525520506625917
JU2526,0.0023015443470891443,0.007723158061232064,0.0022548973824014634,0.025741832843417516
JU2576,-2.4001551545811968e-4,-0.0025485271563026324,-1.5644905165912792e-4,-0.0026049241270411534
JU258,-0.0015234558865863754,-0.01840671140987847,-0.0014131949843077059,-0.04277711906108075
JU2592,-5.379939069576848e-4,-0.01548038998228771,-4.50171412421518e-4,-0.012886552475603339
JU2593,-7.133340072611803e-4,-0.12270123636336702,-3.8178231429955974e-4,-0.09694616788371795
JU2619,-9.018910639291238e-5,-0.0028902393700481924,-6.293542764411303e-5,0.006669097184809676
JU2811,-0.0011252303683292589,-0.03294909179152212,-0.0012798044301981495,-0.04919951216423344
JU2829,-2.215452173592667e-4,-0.02039528408126227,-2.7544543456891403e-4,-0.02492388521087286
JU2838,1.6963277312379395e-4,-0.04751580025108949,1.2170464114435462e-4,-0.04008881023283151
JU2841,2.696067561606582e-4,-0.051588059344144246,8.696307830200101e-4,-0.031264294901076635
JU2878,2.2872808228699507e-4,-0.05945733846949924,2.509911972905724e-4,-0.046045233651314806
JU2879,-5.0459339167254265e-5,-0.012400010025340651,2.0959976844820867e-5,-0.0031097146727748037
JU3137,-7.690800097200737e-4,-0.025812577969387317,-7.894609063014311e-4,-0.03242326188894799
JU561,-3.749764152343376e-7,-1.4988868855077354e-5,-2.6891755823621735e-5,-0.013010996459950429
JU774,-9.014257450872849e-5,0.003034142865704594,8.177523721859787e-5,0.009341174521103435
JU775,3.8973888140213213e-7,-2.04226101960222e-4,2.3225078564421736e-4,-0.0025331922716104005
JU782,-6.634189656575998e-4,-0.0035824264082396696,-6.157788865210842e-4,-0.018472781387917414
KR314,-3.171446214890753e-4,-0.0237395179947171,-2.9998420913383416e-4,-0.03016813641747519
LKC34,-1.541178190636019e-4,-0.001193248729939653,-1.490262896899098e-4,-0.0036553900057236955
