strain,slope_baugh,PC1_baugh,slope_nnls,PC1_nnls
CB4854,-1.7608336217843785e-4,-0.018669603013551844,-4.8593910443754025e-5,-0.016245415647456636
CB4856,0.002646875005327749,0.3273071591335412,0.002843944393133724,0.37908300828863006
CX11254,3.322005793299635e-4,0.06696354408993653,3.550065145712866e-4,0.06682840827191222
CX11264,-4.876053970582878e-4,-0.028196133171240575,-5.838298813819346e-4,-0.02692287735634801
CX11271,-7.944404322380274e-4,-0.05366310461157023,-6.141730424824281e-4,-0.05127816480724455
CX11276,1.278512369014412e-4,0.004439369269436449,1.700761383154613e-4,-0.0010854726180372538
CX11285,-3.822728986193596e-6,-0.016184278137479087,3.948250138070667e-7,-0.014120687562681495
CX11307,4.108455394465809e-4,0.043227577404482374,2.61722458177123e-4,0.023820177505340455
DL200,3.947591447303457e-4,-0.05752507427344652,2.018974444492743e-4,-0.05862808002400838
DL226,-8.162989908765483e-4,-0.040602803755518176,-5.786093834940665e-4,-0.025809887445440348
DL238,0.0041845168013955325,0.8684220070334652,0.0038908327027742237,0.8517042148160852
ECA189,7.684711694620422e-4,0.007540811083826955,7.19794839267345e-4,0.00696492610402898
ECA191,5.556559978192997e-5,-0.028102323378263315,2.8431847689696906e-5,-0.027199196054259307
ECA36,1.1783958330348014e-4,-0.02842672783017996,3.7010538094981746e-5,-0.02472959549296727
ECA363,-3.8154971876836987e-4,-0.01472403867309243,-4.2771398799460554e-4,-0.03073014513925864
ECA369,5.009117210067548e-4,0.035830071166599795,4.909640709732195e-4,0.035407175389203446
ECA372,-5.715339780706032e-4,-0.015421845949469314,-5.348216731498975e-4,-0.01774181863326351
ECA396,-9.330779386082694e-4,-0.0885893294676531,-7.553390503237638e-4,-0.0701614491690388
ED3017,3.9449038631076956e-5,0.007144849119431796,-1.9028321046408637e-6,-8.910953388314432e-4
ED3049,-6.565836138895992e-4,-0.026483453715772924,-9.35688481732331e-4,-0.05067877466577661
ED3052,-5.884638658960663e-4,0.0078034474212991985,-5.911890040494972e-4,-0.012766828914556628
ED3077,0.0029251235182331074,0.008297197374149103,0.0028034392103530956,0.05307597647702415
EG4724,0.0016484807363895914,-0.01744138651235468,0.0014749307545619012,0.004697369059282727
EG4725,0.00217484045251585,0.11857218064619272,0.002290080981176288,0.15169663718732604
GXW1,-2.4189537119451954e-4,0.006821949851303818,-1.4117389590970861e-4,-6.913926007660938e-4
JU1212,-3.8145972786429033e-4,-5.03228432965195e-4,-2.995053810928068e-4,-0.0026913939655310924
JU1400,-2.577851267399155e-4,-0.00664115542983665,-3.245151387559226e-5,-0.005182702861613411
JU1581,-2.2687334680864487e-4,-0.014448691785829155,-2.2019474833320015e-4,-0.014051157478056728
JU1652,-2.61433069583973e-4,-0.051330600190985315,-4.858760626903466e-4,-0.07010777327341138
JU1793,-5.844100598481735e-4,-0.01115754189637985,-5.617085184137797e-4,-0.020389034399234267
JU1896,-4.125589576660297e-4,-0.03782915285848395,-2.695185845111502e-4,-0.038161832439642836
JU2001,9.36698605772507e-6,0.010715596736752311,0,0
JU2007,-5.138203061599628e-4,-0.06486235078888854,-6.000954629030901e-4,-0.05475950413527065
JU2017,-6.247631204491012e-4,-0.029347070635558845,-5.228622947143298e-4,-0.03167247191940407
JU2106,-3.291763259817161e-4,0.0016070501489287453,-3.670814744665074e-4,-0.009378714351560683
