strain,published_slope_baugh,published_pc1_baugh,delta_slope_baugh,delta_pc1_baugh,slope_nnls,pc1_nnls,delta_slope_nnls,delta_pc1_nnls
CB4854,-0.023500364,-0.36466885,-1.7608336217843785e-4,-0.4476265805399039,-0.027163247209933183,-0.08567826382080218,-1.0684757397783784e-4,-0.029117662500216218
CB4856,0.110989445,3.341500863,0.002646875005327749,4.589454410232054,0.13190305666106766,2.054302406865872,0.0021659882732871804,2.3406134924790036
CX11254,0.041327146,-2.934439545,3.3220057932996356e-4,-1.496970842080582,0.042705859822820574,-1.92780848866192,3.2555978930154703e-4,-1.5857167243600925
CX11264,-0.099393549,-3.759133896,-4.8760539705828773e-4,-2.254501838822421,-0.12226357975230648,-3.2450272559621807,-5.81532588120594e-4,-1.5978852400696688
CX11271,-0.150173707,-4.575919302,-7.944404322380274e-4,-2.6165037695495705,-0.07286972375757161,-1.744450908474953,-7.544947836681107e-4,-2.1587889633289974
CX11276,-0.009002079,3.413149192,1.2785123690144115e-4,2.235347796341231,0.010690158031671407,2.2213395842843777,2.57327785814388e-4,2.3970017616308867
CX11285,-0.002760894,0.08709019,-3.822728986193588e-6,-0.7771695954255086,0.008631237396050461,-2.477868220268088,2.7217274323099413e-5,-0.8675471343854706
CX11307,0.008974669,3.136037214,4.1084553944658084e-4,2.213016822102995,0.025557697989893702,2.601645509809723,2.2915365679289983e-4,1.7430978896201985
DL200,0.016985176,3.918008325,3.9475914473034566e-4,2.9782011694596364,0.03186667265371814,2.2222454113595913,4.6662271531026396e-4,2.9800595354115704
DL226,-0.1177276,-2.971729134,-8.162989908765484e-4,-2.3323863695456546,-0.07744570542637477,-1.7337846613732806,-6.059630917112156e-4,-1.4937804168263757
DL238,0.157499768,8.005616004,0.0041845168013955325,13.12619466399515,0.17774717248762847,5.51746090890446,0.0032746383283193976,8.484441014553184
ECA189,0.054075385,2.626910447,7.684711694620422e-4,1.3943854769186186,0.06937051295578227,1.0399322309014318,8.136261085399502e-4,0.8162409522688098
ECA191,0.01555942,-1.629147271,5.5565599781930035e-5,-1.1581158509233234,0.016236492974651063,-0.22811555777603787,5.505163496197879e-5,-0.8797181103350477
ECA36,0.038530871,-0.725183263,1.1783958330348012e-4,-0.3135986180515754,0.014963273381645135,0.3969070851248615,7.716062964461638e-5,-0.6213717591003505
