strain,Slope_pub,PC1_pub,slope_mip_m,PC1_mip_m,slope_nnls,PC1_nnls
CB4854,-0.023500364,-0.36466885,-0.026103871842923506,-0.3581948173578793,-0.026228084024770483,0.3779826344756022
CB4856,0.110989445,3.341500863,0.12302146494384258,2.1259900368027176,0.13190305666106766,0.7939555931038902
CX11254,0.041327146,-2.934439545,0.045559766078629146,-2.5073455707536483,0.2985295902095201,-3.472924646654678
CX11264,-0.099393549,-3.759133896,-0.1363227149983507,-3.7239752259449745,-0.29357801729773353,-0.9978924139352368
CX11271,-0.150173707,-4.575919302,-0.1546510641822165,-3.6297004083958293,-0.17318598239473876,-0.6956209605899438
CX11276,-0.009002079,3.413149192,-0.00442658455005921,3.7456662113266552,0.010690158031671407,1.0798326226923705
CX11285,-0.002760894,0.08709019,0.00627688111787142,-0.013869370937988235,0.14227838105083668,1.3074772573899602
CX11307,0.008974669,3.136037214,-0.01431332388894711,3.102679951834856,-0.01102928367123199,1.0069471712840712
DL200,0.016985176,3.918008325,0.017565495220866978,4.5316252282027465,-0.12693394355550014,0.8228343420667045
DL226,-0.1177276,-2.971729134,-0.13239820876275582,-2.6825347406183693,-0.20875826195027425,-1.390737617092295
DL238,0.157499768,8.005616004,0.18119093292939759,6.142660702399516,0.17774717248762847,1.862282659811636
ECA189,0.054075385,2.626910447,0.0666654355208118,2.286388876248182,-0.05161768584090542,-1.4905744966986298
ECA191,0.01555942,-1.629147271,0.029203644835040968,-1.7799887833310846,0.008783593742647805,-1.5702562195636531
ECA36,0.038530871,-0.725183263,0.0436436822266923,-1.7567051891316432,-0.16677301284146967,-0.8914936040482725
ECA363,-0.04013798,0.048049401,-0.04584999768246141,0.3409607251071401,-0.038766180355418116,0.1394893860841425
ECA369,0.010226558,3.684805729,0.022294038616613557,3.5254076993818098,0.04648842276388045,1.058631488710451
ECA372,-0.072183605,-0.849016581,-0.12117695444843231,-0.9066378352248512,-0.39375652344753576,-2.655006178860688
ECA396,-0.06761815,-0.368263227,-0.07736364270587401,0.2545428537410386,-0.06585111236695133,0.33707265418992455
ED3017,0.008042072,-0.149423671,-1.9536920714977184e-4,-0.1521281452965844,0.011191003998033296,1.0104282167658185
ED3049,-0.032966279,1.340408147,-0.04035301156580291,1.3584008212160108,-0.6600817953148197,-3.609194763066029
ED3052,-0.088646987,-1.642941615,-0.1101866985992003,-0.9789261152030204,-0.2317486120925422,0.4199327669269563
ED3077,0.100582264,6.190406368,0.1218314285805064,4.839829057389849,0.14534878680029145,1.8882318278711934
EG4724,0.060854333,2.112567334,0.08186704836360821,1.7052738205627296,0.07501291637035558,0.8253718721509008
EG4725,0.13304007,9.068871516,0.16163566195477197,7.8046728043964215,0.22878459402226375,3.3903950492127413
GXW1,-0.045601306,-0.146275055,-0.05714084069320834,0.4722249584112615,-0.022563516100857474,0.1567618066108788
JU1212,-0.071210742,-0.365241929,-0.07418944268158952,0.15105927892112783,-0.012751407317217734,-0.20068535966988854
JU1400,-0.107838182,-3.947495923,-0.10625930996365061,-3.6574862619971062,-0.02870125673222004,-1.841405262588253
JU1581,-0.113610997,-3.915228906,-0.11689204402217247,-2.8981151415243374,-0.06157856166496916,0.07476593478677054
JU1652,-0.010329181,2.131198445,-0.024000395923784865,2.329969564221415,-0.2258187082505288,0.6553724850795211
JU1793,-0.072758139,0.27439272,-0.0890323483126353,0.43434944815302723,-0.3850834922682406,-0.6567650716590387
JU1896,-0.031635115,-1.14361048,-0.02641954344905507,-1.0173592658684816,-0.01098616374296941,-0.02940643153726799
JU2001,-0.018527835,0.42774401,0.003062930121179229,0.4807618979868242,0,0.5308146584506745
JU2007,-0.057227878,-0.696571775,-0.07583714535403735,-0.5898408472398765,-0.2508148449613584,-0.4349709604492754
JU2017,-0.081088082,-2.231871314,-0.11327792325146908,-1.2026272541814071,-0.11607032179928826,-0.09032653244560261
JU2106,-0.115823526,-1.474950772,-0.12895734086263264,-1.4794805106426274,-0.4429601372453255,-2.2706730159517172
JU2234,0.007524876,-1.030498423,-0.019749900307927445,-1.1563716402931878,-0.21388818986987726,-1.1974368248431704
JU2316,-0.015299386,0.679877039,-0.006758253680371126,0.8320426214442778,0.19137989607886094,-1.9910096781799596
JU2464,-0.0683345,-1.61173903,-0.07777194618801986,-1.021576443763108,-0.08637418308828766,0.05937016646914485
JU2519,0.060697714,4.620836103,0.08180833804282335,3.9703600421420213,0.09941175816585535,1.577840635119428
JU2526,0.102001142,6.257550175,0.11846102103616854,5.350507478855359,0.0997493495052705,0.9740476061914441
JU2576,-0.016061618,0.11523178,-0.0284107320753225,0.2357007327472857,-0.028010308450330017,-0.06848772750005327
JU258,-0.150557169,-3.593657934,-0.1810123626253508,-3.046692078026838,-0.2906538845120231,-0.8836064930844427
JU2592,-0.113296238,-3.974033901,-0.14590515475458576,-3.40915905609132,-0.24034181428211335,-0.9463575690794607
JU2593,-0.036941186,0.332641003,-0.04328115041758521,0.031174791456077197,-0.17856427295846114,0.9746497033990926
JU2619,-0.062543226,-0.301216533,-0.04663075507479762,0.2639097548417677,0,1.7146741287041662
JU2811,-0.115590806,-2.647764156,-0.1491519931577123,-2.4284441831533043,-0.4435970528265211,-2.6253106611662305
JU2829,-0.053982309,-0.388233441,-0.07440407182304724,-0.7621744211109952,-0.06293031573621068,-0.3571139343539815
JU2838,0.026109881,2.34242874,0.02098567022840415,2.2925168642583387,0.016921387663657198,0.9297276075190936
JU2841,0.001767199,0.512529949,0.003533597183840936,0.16842723506118923,0.02718879345847013,0.3787842972357759
JU2878,0.017662624,3.826666166,0.023700929599181405,3.4644399679398585,0.1521097745530752,6.421348225371448
JU2879,-0.00745388,-1.170253072,-0.02257225863832982,-1.412694659461679,-0.11274701002051611,-1.3971320530585942
JU3137,-0.138941776,-3.122977472,-0.18440514619230353,-2.2095676414756777,-0.16053417045818447,-0.20979938094603295
JU561,-0.008879996,1.977281856,-0.008923279323220937,1.4784604991062975,-0.20727422509092014,-0.6377329275440783
JU774,-0.006186768,-1.949462762,-0.01709080744859753,-2.552749489442289,0.04478800337673246,-1.3160068758592285
JU775,0.00335483,1.198662497,0.005501374183890563,0.9279251724306273,0.04155467213359146,1.308677000748319
JU782,-0.046853184,1.247490661,-0.05875173995632001,1.2356543721431221,-0.4300520321962982,4.964694393094883
KR314,-0.065884839,-0.115547229,-0.09200548250269734,0.2673319225186673,-0.11493894605093115,0.07721613672360558
LKC34,-0.052590156,-0.300338232,-0.05479396840111695,-0.1361777464279205,6.745897051168739e-4,0.7227908375349817
MY10,-0.096628192,-2.545111543,-0.1165584669885632,-2.4542883478301025,-0.2836029826997732,-1.7631359366742583
MY16,-0.092011155,-4.134755978,-0.1276879754787544,-4.525290115162407,-0.1158408488477171,-1.2712699593654446
MY18,-0.143713473,-4.632549676,-0.1467544850792407,-3.6924293713137013,-0.40303473410280205,-3.932229905178095
MY2147,-0.183770125,-5.154801188,-0.20762664801316255,-3.886375912088532,-0.6429569077232301,-5.338900950111177
MY23,-0.031740423,-0.576798682,-0.032670726970981674,-0.23179605385757465,-0.08540993561072148,-0.26923906967537364
MY2453,-0.076873881,-2.118472452,-0.11374356669291706,-2.183004421204682,-0.4796194114075251,-2.2287768722104992
MY2741,-0.094199194,-0.4720837,-0.13633972712358985,-0.3978263799300794,-0.14331102564178202,0.4200393082428849
NIC195,-0.041469401,1.488699453,-0.0651602463865399,1.7721370247650994,3.0409868796568213e-4,0.18730539489245698
NIC199,-0.009938424,1.563197776,-0.004464752818295462,2.0850740622389385,0.11704744302752955,2.47781910630379
NIC251,0.004807741,0.267445575,-7.355403950766289e-4,0.1347377482406617,-0.12565760363579453,-0.5564526405779232
NIC252,0.081674275,4.816368562,0.0873473545653537,4.448868120624932,0.07502618604477089,1.6624013589313476
NIC256,-0.069860459,0.969947754,-0.0982520700285042,1.1967990826957426,-0.03756524078784287,0.35527713206709527
NIC258,0.067064897,4.092378798,0.07463685072761483,3.590415839677899,0.08846043311719966,1.412777138805186
NIC261,0.039843205,5.553744921,0.038497029113306644,4.991225719817839,-0.08078224144561551,6.379642274602438
NIC262,0.046490981,5.16491465,0.048912509492235336,4.598810606729094,-0.12874017435762677,1.3168047502022562
NIC265,0.029735928,3.995341592,0.02681267479912776,3.6296301190983713,0.02507307608431468,1.918702036196008
NIC266,-0.049629389,1.192043395,-0.0444940265897885,1.3587073298289478,-0.13302813698711902,3.0534598071047983
NIC268,-0.007329481,-0.379337597,-0.008519094114062781,0.202555975937868,-0.143617514838769,0.7972244184398407
NIC271,-0.029985181,-0.344031047,-0.02650207452848938,0.23660642821098618,-0.012523310742326706,-0.5915619999715825
NIC3,-0.066407626,-2.271555962,-0.08378853081116082,-2.3981905328731603,-0.05926763454296389,0.5080514219845685
NIC501,-0.086877748,-1.03743694,-0.11609220979712173,-0.686730416581581,-0.2167963748578581,-0.012991051239334112
NIC523,0.058972386,1.013577331,0.040197851311668725,0.9274117032535149,0.0449842108103882,0.26171094951341956
NIC526,-0.181313987,-6.003002808,-0.20313535321408327,-4.195648068325051,-0.11444368171072758,-0.7206876281466722
NIC527,-0.129641013,-2.788241582,-0.15528409162159226,-2.7015677155302638,-0.4840946340192092,-1.9148867510058056
NIC528,0.022798954,1.005680855,0.021973370838369588,0.7336622162381885,0.08226546700687874,0.32824415340143304
PB306,-0.066833746,-2.369832296,-0.04854533747534151,-2.1518796000305755,0.0013567389998752762,0.4917262857994941
PS2025,0.007838736,1.711579758,-5.719473888787672e-4,1.19137255215521,-0.16358381750982992,0.4787224290797842
QG2075,0.010933435,-3.812889426,-0.003956742042042842,-3.9864001040165933,0.08939052649213315,-1.1444509262946483
QG556,-0.106268498,-2.132962456,-0.11432107231510322,-2.1383305969251474,-0.025171272864790324,3.122566446225983
QW947,-0.070722395,0.709150363,-0.09156620845479041,1.1824449190986988,-0.3232149986358214,-0.7230857121976808
QX1211,0.015064471,0.967090986,-0.005340337743615758,-2.777448620447361,-0.0024633801667275678,-4.613288575537001
QX1212,-0.022529049,0.727977915,-0.031211844215784264,0.30517327698305746,-0.007419396007648085,-0.1882870456942795
QX1791,-0.067588091,-0.726786844,-0.07482087121193705,0.07412913535431631,-0.09963055089247316,0.35077447547053553
QX1792,-0.067896231,-0.258410559,-0.0972493184685452,-0.17765089805793896,-0.27066050677337256,0.20687937628968767
QX1793,-0.092161632,-4.693145701,-0.11597488044959722,-4.149209483186267,-0.09941398772653041,-1.0170251125281926
QX1794,-0.074146538,-2.327385864,-0.07000527174440804,-1.8519661054690004,-0.35240717408152816,-4.531027230268329
WN2001,-0.070780175,-2.48296787,-0.09101895331417421,-2.458638365117163,-0.07008692104619585,-0.8861749218180598
