strain,Slope_pub,PC1_pub,slope_mip_m,PC1_mip_m,slope_nnls,PC1_nnls
CB4854,-0.023500364,-0.36466885,-0.026103871842923506,-0.3581948173578793,-0.024488379025022995,0.4216906290896604
CB4856,0.110989445,3.341500863,0.12302146494384258,2.1259900368027176,0.13234703825667765,0.7844903966927752
CX11254,0.041327146,-2.934439545,0.045559766078629146,-2.5073455707536483,0.30268998724854906,-2.610932192682076
CX11264,-0.099393549,-3.759133896,-0.1363227149983507,-3.7239752259449745,-0.30631366630294526,-0.7689986309491761
CX11271,-0.150173707,-4.575919302,-0.1546510641822165,-3.6297004083958293,-0.1915708111462111,0.3433530650604555
CX11276,-0.009002079,3.413149192,-0.00442658455005921,3.7456662113266552,0.011627663054080984,1.1929154992992932
CX11285,-0.002760894,0.08709019,0.00627688111787142,-0.013869370937988235,0.15281887250956147,1.2585616585814647
CX11307,0.008974669,3.136037214,-0.01431332388894711,3.102679951834856,-8.677494249056363e-4,0.9742791991404063
DL200,0.016985176,3.918008325,0.017565495220866978,4.5316252282027465,-0.13842315717072376,0.7998438775900494
DL226,-0.1177276,-2.971729134,-0.13239820876275582,-2.6825347406183693,-0.3074097503876606,-2.3257640176969665
DL238,0.157499768,8.005616004,0.18119093292939759,6.142660702399516,0.17768929494685642,1.5923980318353763
ECA189,0.054075385,2.626910447,0.0666654355208118,2.286388876248182,-0.06774555117133002,-0.9081075183678823
ECA191,0.01555942,-1.629147271,0.029203644835040968,-1.7799887833310846,0.0058023146083643305,-1.8125036405615336
ECA36,0.038530871,-0.725183263,0.0436436822266923,-1.7567051891316432,-0.17312000486480725,-0.8211025807917812
ECA363,-0.04013798,0.048049401,-0.04584999768246141,0.3409607251071401,-0.03739646045611376,0.27214489713286866
ECA369,0.010226558,3.684805729,0.022294038616613557,3.5254076993818098,0.04607064907947938,1.1058000195137965
ECA372,-0.072183605,-0.849016581,-0.12117695444843231,-0.9066378352248512,-0.4823564217785613,-2.273026792390732
ECA396,-0.06761815,-0.368263227,-0.07736364270587401,0.2545428537410386,-0.06614605507723673,0.4236669654593197
ED3017,0.008042072,-0.149423671,-1.9536920714977184e-4,-0.1521281452965844,0.009328164898941855,0.8637746111180935
ED3049,-0.032966279,1.340408147,-0.04035301156580291,1.3584008212160108,-0.7026148646820647,-3.1962681509599062
ED3052,-0.088646987,-1.642941615,-0.1101866985992003,-0.9789261152030204,-0.23912028831659154,0.5125964052756372
ED3077,0.100582264,6.190406368,0.1218314285805064,4.839829057389849,0.14554152559992964,1.7216081566612629
EG4724,0.060854333,2.112567334,0.08186704836360821,1.7052738205627296,0.08305016544848645,0.9913189328915449
EG4725,0.13304007,9.068871516,0.16163566195477197,7.8046728043964215,0.22911408466010158,2.939925521560828
GXW1,-0.045601306,-0.146275055,-0.05714084069320834,0.4722249584112615,-0.023267539675874943,0.3840536829634502
JU1212,-0.071210742,-0.365241929,-0.07418944268158952,0.15105927892112783,-0.0168478162220619,-1.8868653999403677
JU1400,-0.107838182,-3.947495923,-0.10625930996365061,-3.6574862619971062,-0.02878001541229026,-2.636344615346768
JU1581,-0.113610997,-3.915228906,-0.11689204402217247,-2.8981151415243374,-0.060212336973415125,0.23042733220569278
JU1652,-0.010329181,2.131198445,-0.024000395923784865,2.329969564221415,-0.23747641744928974,0.5897332053050255
JU1793,-0.072758139,0.27439272,-0.0890323483126353,0.43434944815302723,-0.4071760705086888,-0.8900744414313067
JU1896,-0.031635115,-1.14361048,-0.02641954344905507,-1.0173592658684816,-0.011874295353624937,0.24515418264870184
JU2001,-0.018527835,0.42774401,0.003062930121179229,0.4807618979868242,0,0.606082174010267
JU2007,-0.057227878,-0.696571775,-0.07583714535403735,-0.5898408472398765,-0.26441609790319803,-0.30978568821014263
JU2017,-0.081088082,-2.231871314,-0.11327792325146908,-1.2026272541814071,-0.11633818552118999,0.031705239460432605
JU2106,-0.115823526,-1.474950772,-0.12895734086263264,-1.4794805106426274,-0.46420991836974906,-1.6684531232622666
JU2234,0.007524876,-1.030498423,-0.019749900307927445,-1.1563716402931878,-0.24031142843261924,-1.308934433560977
JU2316,-0.015299386,0.679877039,-0.006758253680371126,0.8320426214442778,0.2008845182188328,0.8282180747602094
JU2464,-0.0683345,-1.61173903,-0.07777194618801986,-1.021576443763108,-0.0901225067305689,0.28842211053243866
JU2519,0.060697714,4.620836103,0.08180833804282335,3.9703600421420213,0.09817579666540435,1.426980688395469
JU2526,0.102001142,6.257550175,0.11846102103616854,5.350507478855359,0.10026281105749461,0.9561340350830366
JU2576,-0.016061618,0.11523178,-0.0284107320753225,0.2357007327472857,-0.02769929325809108,0.30908399402246123
JU258,-0.150557169,-3.593657934,-0.1810123626253508,-3.046692078026838,-0.30457848627630935,-0.6516262116127112
JU2592,-0.113296238,-3.974033901,-0.14590515475458576,-3.40915905609132,-0.252209469339634,-0.7419021270309037
JU2593,-0.036941186,0.332641003,-0.04328115041758521,0.031174791456077197,-0.18738749164077614,1.8115393796109993
JU2619,-0.062543226,-0.301216533,-0.04663075507479762,0.2639097548417677,0.07078438766004014,1.892656053853186
JU2811,-0.115590806,-2.647764156,-0.1491519931577123,-2.4284441831533043,-0.467745105188566,-1.8785456792130648
JU2829,-0.053982309,-0.388233441,-0.07440407182304724,-0.7621744211109952,-0.06745662600887617,-0.23580501875686855
JU2838,0.026109881,2.34242874,0.02098567022840415,2.2925168642583387,0.016025549881871864,0.9272970578403477
JU2841,0.001767199,0.512529949,0.003533597183840936,0.16842723506118923,0.03056497176474978,0.6599494586300327
JU2878,0.017662624,3.826666166,0.023700929599181405,3.4644399679398585,0.1341532197994484,6.47224947446596
