transcript	strand	start	end	wbgene	label	locus	cross	chrom	peak.bp	from	to
F56A8.9.1	+	13255655	13255860	WBGene00185001	F56A8.9	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.9.1	+	13256181	13256464	WBGene00185001	F56A8.9	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3b.2	+	13256878	13257097	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3a.2	+	13256880	13257097	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3a.1	+	13256880	13257097	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3a.1	+	13257155	13257251	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3a.2	+	13257155	13257251	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3b.2	+	13257155	13257251	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3b.2	+	13257302	13257530	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3a.1	+	13257302	13257587	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3a.2	+	13257302	13257587	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3b.3	+	13257422	13257514	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3b.1	+	13260591	13260639	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3b.3	+	13260603	13260639	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3b.2	+	13260604	13260639	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3a.1	+	13260739	13260888	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3a.2	+	13260739	13260888	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3b.1	+	13260739	13260888	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3b.2	+	13260739	13260888	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3b.3	+	13260739	13260888	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3a.1	+	13261644	13261863	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
