wbgene	locus	sequence.name	biotype	strand	start	end	label	cross	chrom	peak.bp	from	to
WBGene00185001	N2xXZ1516 III:13.31 Mb	F56A8.9	protein_coding	+	13254675	13256464	F56A8.9	N2xXZ1516	III	13305359	13255359	13355359
WBGene00010139	N2xXZ1516 III:13.31 Mb	F56A8.3	protein_coding	+	13256878	13262905	F56A8.3	N2xXZ1516	III	13305359	13255359	13355359
WBGene00010140	N2xXZ1516 III:13.31 Mb	F56A8.4	protein_coding	+	13263287	13265038	F56A8.4	N2xXZ1516	III	13305359	13255359	13355359
WBGene00010141	N2xXZ1516 III:13.31 Mb	F56A8.5	protein_coding	+	13265866	13266932	F56A8.5	N2xXZ1516	III	13305359	13255359	13355359
WBGene00000774	N2xXZ1516 III:13.31 Mb	F56A8.6	protein_coding	-	13266932	13268883	cpf-2	N2xXZ1516	III	13305359	13255359	13355359
WBGene00219977	N2xXZ1516 III:13.31 Mb	F56A8.10	misc_RNA	+	13276960	13277074	F56A8.10	N2xXZ1516	III	13305359	13255359	13355359
WBGene00006798	N2xXZ1516 III:13.31 Mb	F56A8.7	protein_coding	+	13277258	13283887	unc-64	N2xXZ1516	III	13305359	13255359	13355359
WBGene00012802	N2xXZ1516 III:13.31 Mb	Y43F4B.3	protein_coding	-	13283824	13293090	set-25	N2xXZ1516	III	13305359	13255359	13355359
WBGene00010142	N2xXZ1516 III:13.31 Mb	F56A8.8	protein_coding	+	13285721	13286655	F56A8.8	N2xXZ1516	III	13305359	13255359	13355359
WBGene00169944	N2xXZ1516 III:13.31 Mb	Y43F4B.14	misc_RNA	+	13289701	13289721	21ur-12617	N2xXZ1516	III	13305359	13255359	13355359
WBGene00003804	N2xXZ1516 III:13.31 Mb	Y43F4B.4	protein_coding	+	13296853	13298993	npp-18	N2xXZ1516	III	13305359	13255359	13355359
WBGene00012803	N2xXZ1516 III:13.31 Mb	Y43F4B.5	protein_coding	+	13299378	13302760	Y43F4B.5	N2xXZ1516	III	13305359	13255359	13355359
WBGene00002229	N2xXZ1516 III:13.31 Mb	Y43F4B.6	protein_coding	-	13302717	13307259	klp-19	N2xXZ1516	III	13305359	13255359	13355359
WBGene00045072	N2xXZ1516 III:13.31 Mb	Y43F4B.11	snoRNA	-	13303339	13303413	Y43F4B.11	N2xXZ1516	III	13305359	13255359	13355359
WBGene00045113	N2xXZ1516 III:13.31 Mb	Y43F4B.12	snoRNA	-	13303428	13303563	Y43F4B.12	N2xXZ1516	III	13305359	13255359	13355359
WBGene00305736	N2xXZ1516 III:13.31 Mb	Y43F4B.15	misc_RNA	+	13307501	13307666	Y43F4B.15	N2xXZ1516	III	13305359	13255359	13355359
