cross	contrast	label	key	chrom	peak.position	peak.LOD	lod.drop.used	lcon	rcon	marker	width.kb	significant
N2xXZ1516	HT115-mig6	ht115 vs mig6	N2xXZ1516 | ht115 vs mig6	III	13305359	939.500700565856	93.9500700565856	12990354	13627012	III:12990354-13627012	636.658	TRUE
N2xXZ1516	HT115-mig6	ht115 vs mig6	N2xXZ1516 | ht115 vs mig6	V	10764743	806.108545708514	80.6108545708514	10412102	11201712	V:10412102-11201712	789.61	TRUE
N2xXZ1516	HT115-mig6	ht115 vs mig6	N2xXZ1516 | ht115 vs mig6	I	1876106	728.154219694012	72.8154219694012	1748240	2035507	I:1748240-2035507	287.267	TRUE
N2xXZ1516	HT115-mig6	ht115 vs mig6	N2xXZ1516 | ht115 vs mig6	IV	8975323	155.837995286978	15.5837995286978	6849950	9594150	IV:6849950-9594150	2744.2	TRUE
N2xXZ1516	HT115-mig6	ht115 vs mig6	N2xXZ1516 | ht115 vs mig6	X	9705058	154.338221955162	15.4338221955162	8528245	10147649	X:8528245-10147649	1619.404	TRUE
N2xXZ1516	HT115-mig6	ht115 vs mig6	N2xXZ1516 | ht115 vs mig6	II	3645041	100.768529315558	10.0768529315558	3530968	3892582	II:3530968-3892582	361.614	TRUE
N2xXZ1516	HT115-par1	ht115 vs par1	N2xXZ1516 | ht115 vs par1	IV	9014773	140.995448406108	14.0995448406108	8546454	10072797	IV:8546454-10072797	1526.343	TRUE
N2xXZ1516	HT115-par1	ht115 vs par1	N2xXZ1516 | ht115 vs par1	V	14545025	90.0208350799356	9.00208350799356	14378442	14781641	V:14378442-14781641	403.199	TRUE
N2xXZ1516	HT115-par1	ht115 vs par1	N2xXZ1516 | ht115 vs par1	I	9625037	83.6503777847494	8.36503777847494	8963200	10002606	I:8963200-10002606	1039.406	TRUE
N2xXZ1516	HT115-par1	ht115 vs par1	N2xXZ1516 | ht115 vs par1	II	8624608	63.8850892350342	6.38850892350342	8466876	8806838	II:8466876-8806838	339.962	TRUE
N2xXZ1516	HT115-par1	ht115 vs par1	N2xXZ1516 | ht115 vs par1	III	565487	18.5069030868817	1.85069030868817	402314	702378	III:402314-702378	300.064	TRUE
N2xXZ1516	HT115-par1	ht115 vs par1	N2xXZ1516 | ht115 vs par1	X	15725045	18.4413308346394	1.84413308346394	15408110	15901587	X:15408110-15901587	493.477	TRUE
N2xXZ1516	HT115-pos1	ht115 vs pos1	N2xXZ1516 | ht115 vs pos1	III	13314989	709.853070505491	70.9853070505491	13036845	13584174	III:13036845-13584174	547.329	TRUE
N2xXZ1516	HT115-pos1	ht115 vs pos1	N2xXZ1516 | ht115 vs pos1	X	11384777	183.410771429585	18.3410771429585	11033174	11724782	X:11033174-11724782	691.608	TRUE
