trait	chr	peak	lp	af	lo	hi	n
published_slope_baugh	V	15917359	7.10151884859308	0.273	15917359	15917359	1
published_pc1_baugh	V	2069474	7.90159026794132	0.212	2069474	2069474	1
published_pc1_baugh	V	15933722	7.97578369481517	0.242	15928451	16569761	75
delta_slope_baugh	IV	16218716	14.3217552124906	0.071	15139539	16459878	37
delta_slope_baugh	V	4542814	7.17411529134681	0.131	4542814	4542814	1
delta_slope_baugh	V	6619227	7.98697813398464	0.152	6619227	6636891	7
delta_slope_baugh	V	16967976	8.05160962985994	0.051	15969863	16987232	10
delta_pc1_baugh	II	2480629	8.77616101625001	0.051	2480629	2481380	2
delta_pc1_baugh	II	13689591	8.26297402790666	0.071	13689591	13689592	2
delta_pc1_baugh	IV	16218716	8.00866221863507	0.071	16218716	16459878	31
delta_pc1_baugh	V	15933722	7.90513842646312	0.242	15933722	16130492	18
slope_nnls	V	15973150	8.23412485066657	0.273	15917359	15973279	8
delta_slope_nnls	I	8098616	7.22839466270765	0.051	8098616	8098616	1
delta_slope_nnls	II	2480629	7.83539705071895	0.051	2480629	2481380	2
delta_slope_nnls	III	9415180	7.01998626004349	0.071	9415180	9415180	1
delta_slope_nnls	IV	16218716	11.2894209874141	0.071	15139539	16459878	37
delta_slope_nnls	V	4542814	7.03627293092587	0.131	4542814	4542814	1
delta_slope_nnls	V	6619227	7.03663454053224	0.152	6619227	6636891	6
delta_slope_nnls	V	16967976	8.30368136244787	0.051	16967976	16987232	8
delta_pc1_nnls	V	15933722	7.54828631105728	0.242	15933722	15933722	1
