key	cross	label	chrom	marker	cross_LOD	gwas_gene	n_snp	best_neglog10p	best_ps	gwas_sig
N2xXZ1516 | ht115 vs mig6	N2xXZ1516	ht115 vs mig6	III	III:12990354-13627012	939.500700565856	mig-6	708	1.6509959601180617	13217496	FALSE
N2xXZ1516 | ht115 vs mig6	N2xXZ1516	ht115 vs mig6	III	III:12990354-13627012	939.500700565856	pos-1	708	5.754373838231758	13201395	FALSE
N2xXZ1516 | mig6 vs par1	N2xXZ1516	mig6 vs par1	III	III:12993488-13733893	825.0090546587	mig-6	805	1.6509959601180617	13217496	FALSE
N2xXZ1516 | mig6 vs par1	N2xXZ1516	mig6 vs par1	III	III:12993488-13733893	825.0090546587	pos-1	805	5.754373838231758	13201395	FALSE
N2xXZ1516 | ht115 vs mig6	N2xXZ1516	ht115 vs mig6	V	V:10412102-11201712	806.108545708514	mig-6	651	3.0905614921972315	10733311	FALSE
N2xXZ1516 | ht115 vs mig6	N2xXZ1516	ht115 vs mig6	V	V:10412102-11201712	806.108545708514	pos-1	651	2.695039241200292	10425744	FALSE
JU1793xJU2466 | ht115 vs mig6	JU1793xJU2466	ht115 vs mig6	X	X:6654911-7585420	797.961752045622	mig-6	2591	2.7287428778356646	6857697	FALSE
JU1793xJU2466 | ht115 vs mig6	JU1793xJU2466	ht115 vs mig6	X	X:6654911-7585420	797.961752045622	pos-1	2591	3.3633779243728528	7229970	FALSE
N2xXZ1516 | pos1 vs mig6	N2xXZ1516	pos1 vs mig6	I	I:1746038-2018167	751.118651618331	mig-6	860	1.9360728482349918	1918663	FALSE
N2xXZ1516 | pos1 vs mig6	N2xXZ1516	pos1 vs mig6	I	I:1746038-2018167	751.118651618331	pos-1	860	3.6110590980824995	1988632	FALSE
N2xXZ1516 | pos1 vs mig6	N2xXZ1516	pos1 vs mig6	V	V:13581302-13972722	730.261431098777	mig-6	1505	5.3885624221896204	13754366	FALSE
N2xXZ1516 | pos1 vs mig6	N2xXZ1516	pos1 vs mig6	V	V:13581302-13972722	730.261431098777	pos-1	1505	3.5167936800246458	13827266	FALSE
N2xXZ1516 | ht115 vs mig6	N2xXZ1516	ht115 vs mig6	I	I:1748240-2035507	728.154219694012	mig-6	939	1.9360728482349918	1918663	FALSE
N2xXZ1516 | ht115 vs mig6	N2xXZ1516	ht115 vs mig6	I	I:1748240-2035507	728.154219694012	pos-1	939	3.6110590980824995	1988632	FALSE
N2xXZ1516 | ht115 vs pos1	N2xXZ1516	ht115 vs pos1	III	III:13036845-13584174	709.853070505491	mig-6	622	1.6509959601180617	13217496	FALSE
N2xXZ1516 | ht115 vs pos1	N2xXZ1516	ht115 vs pos1	III	III:13036845-13584174	709.853070505491	pos-1	622	5.754373838231758	13201395	FALSE
N2xXZ1516 | mig6 vs rpn12	N2xXZ1516	mig6 vs rpn12	I	I:1740710-2023025	671.661655906809	mig-6	898	1.9360728482349918	1918663	FALSE
N2xXZ1516 | mig6 vs rpn12	N2xXZ1516	mig6 vs rpn12	I	I:1740710-2023025	671.661655906809	pos-1	898	3.6110590980824995	1988632	FALSE
N2xXZ1516 | pos1 vs par1	N2xXZ1516	pos1 vs par1	III	III:13047929-13670776	609.257997057845	mig-6	656	1.6509959601180617	13217496	FALSE
N2xXZ1516 | pos1 vs par1	N2xXZ1516	pos1 vs par1	III	III:13047929-13670776	609.257997057845	pos-1	656	5.754373838231758	13201395	FALSE
N2xXZ1516 | mig6 vs par1	N2xXZ1516	mig6 vs par1	I	I:1738586-2015951	493.021843480466	mig-6	874	1.9360728482349918	1918663	FALSE
N2xXZ1516 | mig6 vs par1	N2xXZ1516	mig6 vs par1	I	I:1738586-2015951	493.021843480466	pos-1	874	3.6110590980824995	1988632	FALSE
N2xXZ1516 | mig6 vs rpn12	N2xXZ1516	mig6 vs rpn12	III	III:13007680-13635875	477.761423148998	mig-6	703	1.6509959601180617	13217496	FALSE
N2xXZ1516 | mig6 vs rpn12	N2xXZ1516	mig6 vs rpn12	III	III:13007680-13635875	477.761423148998	pos-1	703	5.754373838231758	13201395	FALSE
N2xXZ1516 | mig6 vs par1	N2xXZ1516	mig6 vs par1	V	V:10377267-11127872	440.475106394845	mig-6	638	3.0905614921972315	10733311	FALSE
N2xXZ1516 | mig6 vs par1	N2xXZ1516	mig6 vs par1	V	V:10377267-11127872	440.475106394845	pos-1	638	2.8264504170079428	10385720	FALSE
JU1793xJU2466 | mig6 vs pos1	JU1793xJU2466	mig6 vs pos1	X	X:5554409-7987415	361.427266000544	mig-6	7254	2.7287428778356646	6857697	FALSE
JU1793xJU2466 | mig6 vs pos1	JU1793xJU2466	mig6 vs pos1	X	X:5554409-7987415	361.427266000544	pos-1	7254	3.3633779243728528	7229970	FALSE
JU1793xJU2466 | ht115 vs mig6	JU1793xJU2466	ht115 vs mig6	III	III:13134217-13763178	334.664787978512	mig-6	631	1.6509959601180617	13217496	FALSE
JU1793xJU2466 | ht115 vs mig6	JU1793xJU2466	ht115 vs mig6	III	III:13134217-13763178	334.664787978512	pos-1	631	5.754373838231758	13201395	FALSE
N2xXZ1516 | mig6 vs rpn12	N2xXZ1516	mig6 vs rpn12	V	V:12129340-12743230	310.699599091571	mig-6	1268	4.8702621060931754	12384618	FALSE
N2xXZ1516 | mig6 vs rpn12	N2xXZ1516	mig6 vs rpn12	V	V:12129340-12743230	310.699599091571	pos-1	1268	2.0886687082015585	12275533	FALSE
N2xXZ1516 | pos1 vs rpn12	N2xXZ1516	pos1 vs rpn12	III	III:13063487-13577925	309.352016731439	mig-6	557	1.6509959601180617	13217496	FALSE
N2xXZ1516 | pos1 vs rpn12	N2xXZ1516	pos1 vs rpn12	III	III:13063487-13577925	309.352016731439	pos-1	557	5.754373838231758	13201395	FALSE
N2xXZ1516 | pos1 vs par1	N2xXZ1516	pos1 vs par1	II	II:10657335-10852766	226.023829692705	mig-6	448	2.696750577332468	10660408	FALSE
N2xXZ1516 | pos1 vs par1	N2xXZ1516	pos1 vs par1	II	II:10657335-10852766	226.023829692705	pos-1	448	1.7853010292131162	10767435	FALSE
N2xXZ1516 | mig6 vs par1	N2xXZ1516	mig6 vs par1	II	II:13231343-13534595	204.293445483838	mig-6	1296	3.485765264641867	13501418	FALSE
N2xXZ1516 | mig6 vs par1	N2xXZ1516	mig6 vs par1	II	II:13231343-13534595	204.293445483838	pos-1	1296	2.0578286829442063	13501418	FALSE
N2xXZ1516 | mig6 vs rpn12	N2xXZ1516	mig6 vs rpn12	II	II:13265123-13490981	199.089770439666	mig-6	1007	2.9603170584153373	13340088	FALSE
N2xXZ1516 | mig6 vs rpn12	N2xXZ1516	mig6 vs rpn12	II	II:13265123-13490981	199.089770439666	pos-1	1007	1.7686333883094691	13289001	FALSE
N2xXZ1516 | mig6 vs vha5	N2xXZ1516	mig6 vs vha5	I	I:1736492-1972984	197.652216418533	mig-6	754	1.9360728482349918	1918663	FALSE
N2xXZ1516 | mig6 vs vha5	N2xXZ1516	mig6 vs vha5	I	I:1736492-1972984	197.652216418533	pos-1	754	3.0104975006243295	1822641	FALSE
N2xXZ1516 | mig6 vs rpn12	N2xXZ1516	mig6 vs rpn12	IV	IV:6730318-8520854	196.187700369613	mig-6	1738	1.2003049903452616	6950345	FALSE
N2xXZ1516 | mig6 vs rpn12	N2xXZ1516	mig6 vs rpn12	IV	IV:6730318-8520854	196.187700369613	pos-1	1738	1.3958121924419358	8404885	FALSE
N2xXZ1516 | ht115 vs pos1	N2xXZ1516	ht115 vs pos1	X	X:11033174-11724782	183.410771429585	mig-6	1165	1.1541598887228546	11044959	FALSE
N2xXZ1516 | ht115 vs pos1	N2xXZ1516	ht115 vs pos1	X	X:11033174-11724782	183.410771429585	pos-1	1165	4.623795454984519	11326216	FALSE
JU1793xJU2466 | ht115 vs mig6	JU1793xJU2466	ht115 vs mig6	IV	IV:5144976-6544155	168.460753843911	mig-6	2521	2.8157271695904966	5797144	FALSE
JU1793xJU2466 | ht115 vs mig6	JU1793xJU2466	ht115 vs mig6	IV	IV:5144976-6544155	168.460753843911	pos-1	2521	1.954365692822622	6156878	FALSE
N2xXZ1516 | pos1 vs mig6	N2xXZ1516	pos1 vs mig6	IV	IV:17381170-17492237	167.299162143721	mig-6	1535	1.3741172689088181	17437873	FALSE
N2xXZ1516 | pos1 vs mig6	N2xXZ1516	pos1 vs mig6	IV	IV:17381170-17492237	167.299162143721	pos-1	1535	1.8939009366505464	17382629	FALSE
N2xXZ1516 | pos1 vs mig6	N2xXZ1516	pos1 vs mig6	III	III:220437-649090	165.344064713778	mig-6	2254	1.3710400162022922	418683	FALSE
N2xXZ1516 | pos1 vs mig6	N2xXZ1516	pos1 vs mig6	III	III:220437-649090	165.344064713778	pos-1	2254	1.9992176721059824	610190	FALSE
N2xXZ1516 | ht115 vs mig6	N2xXZ1516	ht115 vs mig6	IV	IV:6849950-9594150	155.837995286978	mig-6	2994	1.2003049903452616	6950345	FALSE
N2xXZ1516 | ht115 vs mig6	N2xXZ1516	ht115 vs mig6	IV	IV:6849950-9594150	155.837995286978	pos-1	2994	1.5533670066981624	9402626	FALSE
N2xXZ1516 | ht115 vs mig6	N2xXZ1516	ht115 vs mig6	X	X:8528245-10147649	154.338221955162	mig-6	4132	1.7381319205199925	9155538	FALSE
N2xXZ1516 | ht115 vs mig6	N2xXZ1516	ht115 vs mig6	X	X:8528245-10147649	154.338221955162	pos-1	4132	4.427777886384439	9784214	FALSE
N2xXZ1516 | par1 vs rpn12	N2xXZ1516	par1 vs rpn12	IV	IV:7811403-10012131	151.454661480371	mig-6	2560	1.1633283345774488	8997761	FALSE
N2xXZ1516 | par1 vs rpn12	N2xXZ1516	par1 vs rpn12	IV	IV:7811403-10012131	151.454661480371	pos-1	2560	1.5533670066981624	9402626	FALSE
N2xXZ1516 | ht115 vs pos1	N2xXZ1516	ht115 vs pos1	II	II:3557188-3856579	148.435416653047	mig-6	2801	3.724358384704819	3762277	FALSE
N2xXZ1516 | ht115 vs pos1	N2xXZ1516	ht115 vs pos1	II	II:3557188-3856579	148.435416653047	pos-1	2801	3.5269647850927424	3807080	FALSE
N2xXZ1516 | ht115 vs par1	N2xXZ1516	ht115 vs par1	IV	IV:8546454-10072797	140.995448406108	mig-6	1842	1.1633283345774488	8997761	FALSE
N2xXZ1516 | ht115 vs par1	N2xXZ1516	ht115 vs par1	IV	IV:8546454-10072797	140.995448406108	pos-1	1842	1.5533670066981624	9402626	FALSE
JU1793xJU2466 | ht115 vs pos1	JU1793xJU2466	ht115 vs pos1	III	III:13679460-13783557	139.716308730875	mig-6	93	0.7177142160731302	13718059	FALSE
JU1793xJU2466 | ht115 vs pos1	JU1793xJU2466	ht115 vs pos1	III	III:13679460-13783557	139.716308730875	pos-1	93	1.9522599272388828	13780179	FALSE
N2xXZ1516 | ht115 vs vha5	N2xXZ1516	ht115 vs vha5	III	III:13023295-13617062	138.095210601364	mig-6	675	1.6509959601180617	13217496	FALSE
N2xXZ1516 | ht115 vs vha5	N2xXZ1516	ht115 vs vha5	III	III:13023295-13617062	138.095210601364	pos-1	675	5.754373838231758	13201395	FALSE
N2xXZ1516 | pos1 vs par1	N2xXZ1516	pos1 vs par1	I	I:13118472-14019441	135.695625309635	mig-6	2507	2.327517915261982	13198095	FALSE
N2xXZ1516 | pos1 vs par1	N2xXZ1516	pos1 vs par1	I	I:13118472-14019441	135.695625309635	pos-1	2507	2.68707301120289	13184427	FALSE
N2xXZ1516 | ht115 vs vha5	N2xXZ1516	ht115 vs vha5	V	V:11548977-12309161	135.405359575919	mig-6	744	5.35319774886013	12053650	FALSE
N2xXZ1516 | ht115 vs vha5	N2xXZ1516	ht115 vs vha5	V	V:11548977-12309161	135.405359575919	pos-1	744	2.0886687082015585	12275533	FALSE
N2xXZ1516 | pos1 vs par1	N2xXZ1516	pos1 vs par1	X	X:11086501-11625610	134.457488066227	mig-6	913	1.1175363130709108	11216137	FALSE
N2xXZ1516 | pos1 vs par1	N2xXZ1516	pos1 vs par1	X	X:11086501-11625610	134.457488066227	pos-1	913	4.623795454984519	11326216	FALSE
N2xXZ1516 | pos1 vs rpn12	N2xXZ1516	pos1 vs rpn12	X	X:10981801-11623483	130.042595388986	mig-6	1116	1.1541598887228546	11044959	FALSE
N2xXZ1516 | pos1 vs rpn12	N2xXZ1516	pos1 vs rpn12	X	X:10981801-11623483	130.042595388986	pos-1	1116	4.623795454984519	11326216	FALSE
N2xXZ1516 | pos1 vs rpn12	N2xXZ1516	pos1 vs rpn12	II	II:10704614-10884941	127.41916293263	mig-6	386	3.432777715894343	10876498	FALSE
N2xXZ1516 | pos1 vs rpn12	N2xXZ1516	pos1 vs rpn12	II	II:10704614-10884941	127.41916293263	pos-1	386	1.7853010292131162	10767435	FALSE
N2xXZ1516 | pos1 vs rpn12	N2xXZ1516	pos1 vs rpn12	V	V:1150725-1715329	126.973632412318	mig-6	2616	1.682340245257388	1648170	FALSE
N2xXZ1516 | pos1 vs rpn12	N2xXZ1516	pos1 vs rpn12	V	V:1150725-1715329	126.973632412318	pos-1	2616	2.936943371401861	1176642	FALSE
N2xXZ1516 | pos1 vs vha5	N2xXZ1516	pos1 vs vha5	V	V:13518979-14035679	121.591625229714	mig-6	1778	5.6208208903117285	14021483	FALSE
N2xXZ1516 | pos1 vs vha5	N2xXZ1516	pos1 vs vha5	V	V:13518979-14035679	121.591625229714	pos-1	1778	3.5167936800246458	13827266	FALSE
N2xXZ1516 | mig6 vs vha5	N2xXZ1516	mig6 vs vha5	III	III:12945401-13676530	121.513410759136	mig-6	846	1.6509959601180617	13217496	FALSE
N2xXZ1516 | mig6 vs vha5	N2xXZ1516	mig6 vs vha5	III	III:12945401-13676530	121.513410759136	pos-1	846	5.754373838231758	13201395	FALSE
N2xXZ1516 | mig6 vs rpn12	N2xXZ1516	mig6 vs rpn12	X	X:9705058-10225726	118.418029531974	mig-6	1312	1.164681686443525	9887773	FALSE
N2xXZ1516 | mig6 vs rpn12	N2xXZ1516	mig6 vs rpn12	X	X:9705058-10225726	118.418029531974	pos-1	1312	4.427777886384439	9784214	FALSE
N2xXZ1516 | pos1 vs vha5	N2xXZ1516	pos1 vs vha5	II	II:9107944-9605573	116.355440422384	mig-6	1015	3.3083421014902306	9254578	FALSE
N2xXZ1516 | pos1 vs vha5	N2xXZ1516	pos1 vs vha5	II	II:9107944-9605573	116.355440422384	pos-1	1015	2.565294921290213	9477947	FALSE
N2xXZ1516 | pos1 vs par1	N2xXZ1516	pos1 vs par1	V	V:16053013-16563416	114.854389180977	mig-6	6240	6.769891238834424	16464805	FALSE
N2xXZ1516 | pos1 vs par1	N2xXZ1516	pos1 vs par1	V	V:16053013-16563416	114.854389180977	pos-1	6240	4.783837265831205	16200689	FALSE
N2xXZ1516 | par1 vs vha5	N2xXZ1516	par1 vs vha5	III	III:13071837-13783557	103.825654876524	mig-6	721	1.6509959601180617	13217496	FALSE
N2xXZ1516 | par1 vs vha5	N2xXZ1516	par1 vs vha5	III	III:13071837-13783557	103.825654876524	pos-1	721	5.754373838231758	13201395	FALSE
N2xXZ1516 | ht115 vs mig6	N2xXZ1516	ht115 vs mig6	II	II:3530968-3892582	100.768529315558	mig-6	3335	3.724358384704819	3762277	FALSE
N2xXZ1516 | ht115 vs mig6	N2xXZ1516	ht115 vs mig6	II	II:3530968-3892582	100.768529315558	pos-1	3335	3.5269647850927424	3807080	FALSE
N2xXZ1516 | ht115 vs rpn12	N2xXZ1516	ht115 vs rpn12	V	V:10506298-11020251	97.6740460650292	mig-6	411	3.0905614921972315	10733311	FALSE
N2xXZ1516 | ht115 vs rpn12	N2xXZ1516	ht115 vs rpn12	V	V:10506298-11020251	97.6740460650292	pos-1	411	2.695039241200292	11011575	FALSE
N2xXZ1516 | pos1 vs vha5	N2xXZ1516	pos1 vs vha5	X	X:9440025-10241136	94.9947974569763	mig-6	2179	1.5134697794791592	9460073	FALSE
N2xXZ1516 | pos1 vs vha5	N2xXZ1516	pos1 vs vha5	X	X:9440025-10241136	94.9947974569763	pos-1	2179	4.427777886384439	9784214	FALSE
N2xXZ1516 | mig6 vs par1	N2xXZ1516	mig6 vs par1	IV	IV:17415336-17492237	93.3089364522409	mig-6	970	1.3741172689088181	17437873	FALSE
N2xXZ1516 | mig6 vs par1	N2xXZ1516	mig6 vs par1	IV	IV:17415336-17492237	93.3089364522409	pos-1	970	1.8939009366505464	17417146	FALSE
N2xXZ1516 | mig6 vs vha5	N2xXZ1516	mig6 vs vha5	X	X:9539356-10203392	92.5765795526092	mig-6	1706	1.164681686443525	9887773	FALSE
N2xXZ1516 | mig6 vs vha5	N2xXZ1516	mig6 vs vha5	X	X:9539356-10203392	92.5765795526092	pos-1	1706	4.427777886384439	9784214	FALSE
N2xXZ1516 | mig6 vs par1	N2xXZ1516	mig6 vs par1	X	X:9150357-10278185	91.8611000768637	mig-6	2984	1.7381319205199925	9155538	FALSE
N2xXZ1516 | mig6 vs par1	N2xXZ1516	mig6 vs par1	X	X:9150357-10278185	91.8611000768637	pos-1	2984	4.427777886384439	9784214	FALSE
N2xXZ1516 | mig6 vs vha5	N2xXZ1516	mig6 vs vha5	II	II:13220651-13499798	90.1871850010017	mig-6	1225	2.9603170584153373	13340088	FALSE
N2xXZ1516 | mig6 vs vha5	N2xXZ1516	mig6 vs vha5	II	II:13220651-13499798	90.1871850010017	pos-1	1225	1.7735880290266344	13227153	FALSE
N2xXZ1516 | ht115 vs par1	N2xXZ1516	ht115 vs par1	V	V:14378442-14781641	90.0208350799356	mig-6	1440	7.710450733263291	14647434	TRUE
N2xXZ1516 | ht115 vs par1	N2xXZ1516	ht115 vs par1	V	V:14378442-14781641	90.0208350799356	pos-1	1440	3.244817824689639	14592728	FALSE
N2xXZ1516 | pos1 vs vha5	N2xXZ1516	pos1 vs vha5	I	I:13101681-14145823	88.7376281160814	mig-6	3009	2.327517915261982	13198095	FALSE
N2xXZ1516 | pos1 vs vha5	N2xXZ1516	pos1 vs vha5	I	I:13101681-14145823	88.7376281160814	pos-1	3009	2.68707301120289	13184427	FALSE
N2xXZ1516 | par1 vs rpn12	N2xXZ1516	par1 vs rpn12	V	V:1107286-1536966	86.5341616640899	mig-6	1509	1.6240841113728581	1275186	FALSE
N2xXZ1516 | par1 vs rpn12	N2xXZ1516	par1 vs rpn12	V	V:1107286-1536966	86.5341616640899	pos-1	1509	2.936943371401861	1176642	FALSE
N2xXZ1516 | pos1 vs mig6	N2xXZ1516	pos1 vs mig6	X	X:13291327-13740359	84.5912181769091	mig-6	1629	2.017414966875885	13440626	FALSE
