cross	label	marker	peak.LOD	gene	n_sites	rank	n_genes_in_interval	changes	class
JU1793xJU2466	ht115 vs mig6	X:6654911-7585420	797.961752045622	sid-5	0	NA	59	NA	dsRNA uptake
N2xXZ1516	pos1 vs mig6	V:13581302-13972722	730.261431098777	rde-12	6	44	101	217H>217Q, 230H>230Q, 236H>236Q, 261K>261N, 274K>274N, 274K>277N, 280K>280N, 280K>283N, 313P>313S, 326P>326S, 332P>332S, 48Y>48D, 63D>63E, 76D>76E, 779K>777M, 779K>779M, 792K>790M, 792K>792M, 798K>796M, 798K>798M, 82D>82E	RNAi machinery
JU1793xJU2466	mig6 vs pos1	X:5554409-7987415	361.427266000544	sid-5	0	NA	116	NA	dsRNA uptake
JU1793xJU2466	ht115 vs mig6	III:13134217-13763178	334.664787978512	sid-2	2	5	43	5V>5L, 96T>96K	dsRNA uptake
N2xXZ1516	ht115 vs mig6	IV:6849950-9594150	155.837995286978	nrde-4	2	65	311	14R>14Q, 507D>507G, 512D>512G	RNAi machinery
N2xXZ1516	ht115 vs mig6	IV:6849950-9594150	155.837995286978	rde-8	0	NA	311	NA	RNAi machinery
N2xXZ1516	ht115 vs mig6	IV:6849950-9594150	155.837995286978	vha-5	0	NA	311	NA	RNAi target
JU1793xJU2466	ht115 vs pos1	III:13679460-13783557	139.716308730875	sid-2	2	1	5	5V>5L, 96T>96K	dsRNA uptake
JU1793xJU2466	ht115 vs pos1	IV:4691159-7592922	56.7000979266207	drh-1	0	NA	47	NA	RNAi machinery
JU1793xJU2466	ht115 vs pos1	IV:4691159-7592922	56.7000979266207	rde-8	0	NA	47	NA	RNAi machinery
N2xXZ1516	pos1 vs mig6	II:753292-1015936	43.681076559782	alg-2	2	31	53	19E>19*, start_lost	RNAi machinery
JU1793xJU2466	ht115 vs mig6	I:6908784-10518865	39.0711377758988	rde-2	0	NA	12	NA	RNAi machinery
JU1793xJU2466	ht115 vs mig6	I:6908784-10518865	39.0711377758988	rrf-1	0	NA	12	NA	RNAi machinery
JU1793xJU2466	ht115 vs mig6	I:6908784-10518865	39.0711377758988	drh-3	0	NA	12	NA	RNAi machinery
JU1793xJU2466	ht115 vs mig6	I:6908784-10518865	39.0711377758988	rsd-6	0	NA	12	NA	RNAi machinery
JU1793xJU2466	ht115 vs mig6	I:6908784-10518865	39.0711377758988	mut-16	0	NA	12	NA	RNAi machinery
JU1793xJU2466	mig6 vs pos1	I:6870033-8471837	16.5501052022681	rde-2	0	NA	5	NA	RNAi machinery
JU1793xJU2466	mig6 vs pos1	I:6870033-8471837	16.5501052022681	rrf-1	0	NA	5	NA	RNAi machinery
JU1793xJU2466	mig6 vs pos1	I:6870033-8471837	16.5501052022681	drh-3	0	NA	5	NA	RNAi machinery
JU1793xJU2466	mig6 vs pos1	I:6870033-8471837	16.5501052022681	rsd-6	0	NA	5	NA	RNAi machinery
JU1793xJU2466	mig6 vs pos1	II:10654104-12492283	15.5932656821912	rpn-12	0	NA	87	NA	RNAi target
JU1793xJU2466	ht115 vs pos1	X:6538129-7335691	9.35278886743548	sid-5	0	NA	42	NA	dsRNA uptake
JU1793xJU2466	ht115 vs pos1	V:14046505-14930441	5.50079307357239	par-1	1	25	68	175N>175D, 286N>286D, 622N>622D, 643N>643D, 677N>677D, 684N>684D, 687N>687D, 709N>709D, 773N>773D, 781N>781D, 872N>872D	RNAi target
